Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.37624213117860505
5,0.01,0.31,0.3664881687417304
5,0.01,0.61,0.33818602108629153
5,0.01,symmetric,0.3615981087909246
5,0.31,0.01,0.3646610807126845
5,0.31,0.31,0.364135360593309
5,0.31,0.61,0.3513890335300218
5,0.31,symmetric,0.3688613700016199
5,0.61,0.01,0.3492174353752551
5,0.61,0.31,0.32519489440655314
5,0.61,0.61,0.341961716938319
5,0.61,symmetric,0.32047550047928264
5,symmetric,0.01,0.3657239695025677
5,symmetric,0.31,0.3597492737206511
5,symmetric,0.61,0.33979350668261976
5,symmetric,symmetric,0.36239822167901653
5,asymmetric,0.01,0.3771455890458332
5,asymmetric,0.31,0.3439618465487203
5,asymmetric,0.61,0.2895595853078897
5,asymmetric,symmetric,0.3684828890404225
6,0.01,0.01,0.3706862588539179
6,0.01,0.31,0.3444073601986232
6,0.01,0.61,0.3344783588190146
6,0.01,symmetric,0.3632442194306827
6,0.31,0.01,0.37371786362283954
6,0.31,0.31,0.3400077911450973
6,0.31,0.61,0.32291711419998365
6,0.31,symmetric,0.35739746086408103
6,0.61,0.01,0.353228108956901
6,0.61,0.31,0.3491626509235519
6,0.61,0.61,0.3350603744409408
6,0.61,symmetric,0.35588485261248737
6,symmetric,0.01,0.36724033907074777
6,symmetric,0.31,0.35192692937223874
6,symmetric,0.61,0.3379496568477254
6,symmetric,symmetric,0.3565437751757745
6,asymmetric,0.01,0.3513758392361008
6,asymmetric,0.31,0.32644737347996583
6,asymmetric,0.61,0.3092438012575481
6,asymmetric,symmetric,0.35462140824628935
7,0.01,0.01,0.36793071185718523
7,0.01,0.31,0.36703091869051263
7,0.01,0.61,0.35116419205005
7,0.01,symmetric,0.38312970857690887
7,0.31,0.01,0.36489540436613216
7,0.31,0.31,0.35873597323902356
7,0.31,0.61,0.3444908564757491
7,0.31,symmetric,0.3760706091655029
7,0.61,0.01,0.34710883296052547
7,0.61,0.31,0.34762686851375496
7,0.61,0.61,0.31306973580643266
7,0.61,symmetric,0.35378572925466745
7,symmetric,0.01,0.3612907739447869
7,symmetric,0.31,0.36124111478896975
7,symmetric,0.61,0.3455954076449236
7,symmetric,symmetric,0.36149594506980565
7,asymmetric,0.01,0.3750965565143208
7,asymmetric,0.31,0.3275261862939073
7,asymmetric,0.61,0.31480245671046053
7,asymmetric,symmetric,0.3551784908550086
8,0.01,0.01,0.3541153713902325
8,0.01,0.31,0.3542510518524115
8,0.01,0.61,0.32560002171890673
8,0.01,symmetric,0.3651407363598856
8,0.31,0.01,0.3501905424020795
8,0.31,0.31,0.35436637591450626
