Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.32048988773019904
5,0.01,0.31,0.30986750221816767
5,0.01,0.61,0.3124615075539573
5,0.01,symmetric,0.30755830491428104
5,0.31,0.01,0.30450044038335977
5,0.31,0.31,0.3061434647388317
5,0.31,0.61,0.3371083558426126
5,0.31,symmetric,0.31184219477387026
5,0.61,0.01,0.2936122047150277
5,0.61,0.31,0.2978451558273972
5,0.61,0.61,0.3327134592616267
5,0.61,symmetric,0.2963630818639666
5,symmetric,0.01,0.3154711189766227
5,symmetric,0.31,0.30845990982011245
5,symmetric,0.61,0.3160391427502368
5,symmetric,symmetric,0.31249290694107934
5,asymmetric,0.01,0.3339421560345659
5,asymmetric,0.31,0.3376690761842579
5,asymmetric,0.61,0.34147585316973755
5,asymmetric,symmetric,0.346960175008868
6,0.01,0.01,0.3255112016353147
6,0.01,0.31,0.31623685822680264
6,0.01,0.61,0.3114055574015114
6,0.01,symmetric,0.3100655113424779
6,0.31,0.01,0.31160212555470046
6,0.31,0.31,0.2944857991455854
6,0.31,0.61,0.3130297359727287
6,0.31,symmetric,0.2942559804249461
6,0.61,0.01,0.31478474517456684
6,0.61,0.31,0.30600028511257743
6,0.61,0.61,0.2982424724650789
6,0.61,symmetric,0.2931480957033849
6,symmetric,0.01,0.30814560257815343
6,symmetric,0.31,0.30716319951729193
6,symmetric,0.61,0.3060646048317677
6,symmetric,symmetric,0.30587241690487726
6,asymmetric,0.01,0.3341832769433643
6,asymmetric,0.31,0.34698807039192
6,asymmetric,0.61,0.42433407582557164
6,asymmetric,symmetric,0.31881687807139586
7,0.01,0.01,0.317487674780195
7,0.01,0.31,0.3166830996438174
7,0.01,0.61,0.31929498979736776
7,0.01,symmetric,0.33142232745896966
7,0.31,0.01,0.3221514406113177
7,0.31,0.31,0.32340622542251246
7,0.31,0.61,0.31890432412435804
7,0.31,symmetric,0.318885089154043
7,0.61,0.01,0.3149364519109514
7,0.61,0.31,0.3289952158544945
7,0.61,0.61,0.34628210707302126
7,0.61,symmetric,0.31394030735453343
7,symmetric,0.01,0.3146346212218861
7,symmetric,0.31,0.32326045221666627
7,symmetric,0.61,0.32733126441405247
7,symmetric,symmetric,0.31772672374302896
7,asymmetric,0.01,0.3203809678419697
7,asymmetric,0.31,0.3332953358102199
7,asymmetric,0.61,0.37503542130296863
7,asymmetric,symmetric,0.341362730086078
8,0.01,0.01,0.3146941636043802
8,0.01,0.31,0.3054162707764094
8,0.01,0.61,0.329946343184803
8,0.01,symmetric,0.3268327353833488
8,0.31,0.01,0.31012933325544856
8,0.31,0.31,0.3095559244529896
8,0.31,0.61,0.29230482697159615
8,0.31,symmetric,0.30200384102109024
8,0.61,0.01,0.3075707416570157
8,0.61,0.31,0.30833936149589103
8,0.61,0.61,0.3406297834241059
8,0.61,symmetric,0.3033819008374403
8,symmetric,0.01,0.3096537589477515
8,symmetric,0.31,0.2968120777737709
8,symmetric,0.61,0.3213872678552868
8,symmetric,symmetric,0.3150029099705467
8,asymmetric,0.01,0.31681170552135585
8,asymmetric,0.31,0.34327421681223363
8,asymmetric,0.61,0.39843986577981266
8,asymmetric,symmetric,0.32404681463348767
9,0.01,0.01,0.30639627139941056
9,0.01,0.31,0.32474164943276174
9,0.01,0.61,0.3011251487128484
9,0.01,symmetric,0.30808360851762856
9,0.31,0.01,0.29899954954253477
9,0.31,0.31,0.3218300886895401
9,0.31,0.61,0.3305611459066498
9,0.31,symmetric,0.3053720729006825
9,0.61,0.01,0.3089210568921722
9,0.61,0.31,0.32259201794893666
9,0.61,0.61,0.36614206013395406
9,0.61,symmetric,0.30612466150428624
9,symmetric,0.01,0.3065904680828591
9,symmetric,0.31,0.30332970873843124
9,symmetric,0.61,0.29224268625882593
9,symmetric,symmetric,0.3066180532918282
9,asymmetric,0.01,0.31657725065401654
9,asymmetric,0.31,0.29718941064499727
9,asymmetric,0.61,0.3499539548528645
9,asymmetric,symmetric,0.3334235534767848
