Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.40267001058100044
5,0.01,0.31,0.3628018567948429
5,0.01,0.61,0.3290296107086162
5,0.01,symmetric,0.3849700813778022
5,0.31,0.01,0.4082345025608598
5,0.31,0.31,0.3785856363031609
5,0.31,0.61,0.35688943288307423
5,0.31,symmetric,0.3925001026050911
5,0.61,0.01,0.4020795092462672
5,0.61,0.31,0.3959450157378429
5,0.61,0.61,0.36539432898483576
5,0.61,symmetric,0.39526142212927873
5,symmetric,0.01,0.4005010607954532
5,symmetric,0.31,0.35154293763370953
5,symmetric,0.61,0.33087505312723386
5,symmetric,symmetric,0.3816780652173525
5,asymmetric,0.01,0.36717050149517344
5,asymmetric,0.31,0.34315684395797746
5,asymmetric,0.61,0.3521191228036156
5,asymmetric,symmetric,0.36614585559530083
6,0.01,0.01,0.39888115288253156
6,0.01,0.31,0.37711587398543883
6,0.01,0.61,0.3715129913723509
6,0.01,symmetric,0.38892125633238267
6,0.31,0.01,0.40010636716994447
6,0.31,0.31,0.3910168049713368
6,0.31,0.61,0.34447714662983103
6,0.31,symmetric,0.3950458850984335
6,0.61,0.01,0.3897732354796601
6,0.61,0.31,0.4075278096892734
6,0.61,0.61,0.3476443124436914
6,0.61,symmetric,0.38693528825755474
6,symmetric,0.01,0.3980849203165991
6,symmetric,0.31,0.39937215742651677
6,symmetric,0.61,0.3459758360074312
6,symmetric,symmetric,0.3954732327940644
6,asymmetric,0.01,0.36245122586960377
6,asymmetric,0.31,0.3468806037473727
6,asymmetric,0.61,0.376641109579835
6,asymmetric,symmetric,0.3490133178856134
7,0.01,0.01,0.3867491120942382
7,0.01,0.31,0.3568265355335308
7,0.01,0.61,0.3816379062358136
7,0.01,symmetric,0.38445745077990084
7,0.31,0.01,0.38221100029018273
7,0.31,0.31,0.36518796431342
7,0.31,0.61,0.35084097330769076
7,0.31,symmetric,0.3684261641242477
7,0.61,0.01,0.37613819199020415
7,0.61,0.31,0.3629329774523911
7,0.61,0.61,0.3511489885823215
7,0.61,symmetric,0.38848033283033073
7,symmetric,0.01,0.3883300622368057
7,symmetric,0.31,0.35238345328401194
7,symmetric,0.61,0.3833531855677694
7,symmetric,symmetric,0.3641756821782832
7,asymmetric,0.01,0.36826834084351395
7,asymmetric,0.31,0.3259650443326444
7,asymmetric,0.61,0.35529907352923146
7,asymmetric,symmetric,0.3537599453205263
8,0.01,0.01,0.3778055712387762
8,0.01,0.31,0.37698404670710217
8,0.01,0.61,0.37011204552680366
8,0.01,symmetric,0.3841739491754466
8,0.31,0.01,0.38325924848032983
8,0.31,0.31,0.36502165372685236
8,0.31,0.61,0.32341880847670434
8,0.31,symmetric,0.3652679153525821
8,0.61,0.01,0.3711965199461399
8,0.61,0.31,0.3758178950679746
8,0.61,0.61,0.3493529479172157
8,0.61,symmetric,0.3728415528381692
8,symmetric,0.01,0.3836424201399815
8,symmetric,0.31,0.3975942357365464
8,symmetric,0.61,0.4174279694810137
8,symmetric,symmetric,0.3816884515391954
8,asymmetric,0.01,0.3617125933166942
8,asymmetric,0.31,0.33460175123525326
8,asymmetric,0.61,0.36573915339968455
8,asymmetric,symmetric,0.33334019570907597
9,0.01,0.01,0.3701481800362305
9,0.01,0.31,0.333990034616172
9,0.01,0.61,0.3699095598356467
9,0.01,symmetric,0.36327075225180866
9,0.31,0.01,0.3738170987250982
9,0.31,0.31,0.3477069260139336
9,0.31,0.61,0.32658676848847346
9,0.31,symmetric,0.3531437401677137
9,0.61,0.01,0.36595031547119156
9,0.61,0.31,0.33857433624474637
9,0.61,0.61,0.37974199603248243
9,0.61,symmetric,0.35054008528746755
9,symmetric,0.01,0.3694287602491101
9,symmetric,0.31,0.3663726497231947
9,symmetric,0.61,0.34193530309435094
9,symmetric,symmetric,0.3596696395523335
9,asymmetric,0.01,0.36284333979588884
9,asymmetric,0.31,0.35447561965525465
9,asymmetric,0.61,0.38913953859695494
9,asymmetric,symmetric,0.346090314527205
10,0.01,0.01,0.3726193534272893
10,0.01,0.31,0.36687778350474914
10,0.01,0.61,0.3552241391567215
10,0.01,symmetric,0.3571053182639404
10,0.31,0.01,0.3693997678046653
10,0.31,0.31,0.3705280101074575
10,0.31,0.61,0.35753112462790526
10,0.31,symmetric,0.3677414628295356
10,0.61,0.01,0.3568612345468519
10,0.61,0.31,0.3443385448063427
10,0.61,0.61,0.35100908142175113
10,0.61,symmetric,0.35597228898209293
10,symmetric,0.01,0.37071647298559884
10,symmetric,0.31,0.3691117821428947
10,symmetric,0.61,0.38797480982199334
10,symmetric,symmetric,0.3578995673939601
10,asymmetric,0.01,0.36526156512487035
