Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.31441964433726
5,0.01,0.31,0.3052969383709681
5,0.01,0.61,0.3314960078500692
5,0.01,symmetric,0.3055661087306572
5,0.31,0.01,0.300254716288058
5,0.31,0.31,0.2973031590469921
5,0.31,0.61,0.28704462073040576
5,0.31,symmetric,0.2922905026780051
5,0.61,0.01,0.3081566105744731
5,0.61,0.31,0.29391757625226966
5,0.61,0.61,0.29036430375102773
5,0.61,symmetric,0.29961974837510313
5,symmetric,0.01,0.3058922661710678
5,symmetric,0.31,0.3012211200346262
5,symmetric,0.61,0.31097436416236734
5,symmetric,symmetric,0.30251868109161206
5,asymmetric,0.01,0.31086349561893567
5,asymmetric,0.31,0.30384216968394845
5,asymmetric,0.61,0.3483261787028063
5,asymmetric,symmetric,0.28910574006104195
6,0.01,0.01,0.3280503863283217
6,0.01,0.31,0.2875137908569216
6,0.01,0.61,0.2884942651448604
6,0.01,symmetric,0.2974313184949171
6,0.31,0.01,0.30662215083671235
6,0.31,0.31,0.2850304733456847
6,0.31,0.61,0.2902959133378728
6,0.31,symmetric,0.3006828422907622
6,0.61,0.01,0.305786272209318
6,0.61,0.31,0.28566968338177817
6,0.61,0.61,0.28467453687366323
6,0.61,symmetric,0.3026591622375484
6,symmetric,0.01,0.3033943985317709
6,symmetric,0.31,0.29236574048847735
6,symmetric,0.61,0.31056699673357135
6,symmetric,symmetric,0.2959045013026302
6,asymmetric,0.01,0.3096358196529836
6,asymmetric,0.31,0.2881590878402462
6,asymmetric,0.61,0.3500982461561967
6,asymmetric,symmetric,0.2884631543788326
7,0.01,0.01,0.30891790532570906
7,0.01,0.31,0.2920067693710394
7,0.01,0.61,0.339122290024168
7,0.01,symmetric,0.30091358996941636
7,0.31,0.01,0.29792332616231765
7,0.31,0.31,0.2792527611603767
7,0.31,0.61,0.29325020291069714
7,0.31,symmetric,0.2875782324683613
7,0.61,0.01,0.3153233556134449
7,0.61,0.31,0.2909943960914618
7,0.61,0.61,0.3216757133597506
7,0.61,symmetric,0.3080979103627049
7,symmetric,0.01,0.29918258678905557
7,symmetric,0.31,0.28889358491965283
7,symmetric,0.61,0.3426680437043023
7,symmetric,symmetric,0.31546071808434906
7,asymmetric,0.01,0.316666497412435
7,asymmetric,0.31,0.27714247397943276
7,asymmetric,0.61,0.3433111672093701
7,asymmetric,symmetric,0.3126390805819533
8,0.01,0.01,0.30063957471838054
8,0.01,0.31,0.30146797327217295
8,0.01,0.61,0.30426518046566164
8,0.01,symmetric,0.3031305026312279
8,0.31,0.01,0.2909205464488296
8,0.31,0.31,0.29049872527243115
8,0.31,0.61,0.3010335349487758
8,0.31,symmetric,0.29907153807058406
8,0.61,0.01,0.2992006531836956
8,0.61,0.31,0.2847494207827604
8,0.61,0.61,0.3085373953477367
8,0.61,symmetric,0.30169931344613876
8,symmetric,0.01,0.3028925156456031
8,symmetric,0.31,0.31368675982105687
8,symmetric,0.61,0.31556946862877844
8,symmetric,symmetric,0.302266045639885
8,asymmetric,0.01,0.30803827817398893
8,asymmetric,0.31,0.30242866757321263
8,asymmetric,0.61,0.3425753511961778
8,asymmetric,symmetric,0.31383678498026607
9,0.01,0.01,0.29406037981960964
9,0.01,0.31,0.3043986902543055
9,0.01,0.61,0.33507262213908295
9,0.01,symmetric,0.3101828076984793
9,0.31,0.01,0.3001724628561722
9,0.31,0.31,0.31957332608232014
9,0.31,0.61,0.32067672386763074
9,0.31,symmetric,0.3024362794788747
9,0.61,0.01,0.28874449385390455
9,0.61,0.31,0.31005913035930815
9,0.61,0.61,0.32883913561212247
9,0.61,symmetric,0.28484348452472524
9,symmetric,0.01,0.29246066455470815
9,symmetric,0.31,0.3283242702408882
9,symmetric,0.61,0.36108285314874916
9,symmetric,symmetric,0.30347590790882734
9,asymmetric,0.01,0.30387241015286065
9,asymmetric,0.31,0.32773766136785176
9,asymmetric,0.61,0.39680548671394206
9,asymmetric,symmetric,0.31893292212740215
10,0.01,0.01,0.3028537168346105
10,0.01,0.31,0.3186255012993554
10,0.01,0.61,0.3367791046823686
10,0.01,symmetric,0.3062301477799645
10,0.31,0.01,0.29520312510980545
10,0.31,0.31,0.3149416696706262
10,0.31,0.61,0.359951506801493
10,0.31,symmetric,0.31041210289864307
10,0.61,0.01,0.28664438842654816
10,0.61,0.31,0.33428439856633
