Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.4199921964357773
5,0.01,0.31,0.3990289062649766
5,0.01,0.61,0.43984468099154495
5,0.01,symmetric,0.40855174997913685
5,0.31,0.01,0.4148270161928712
5,0.31,0.31,0.3952497053731953
5,0.31,0.61,0.4335126236989817
5,0.31,symmetric,0.41351410662711113
5,0.61,0.01,0.40376994690838625
5,0.61,0.31,0.41284310093501253
5,0.61,0.61,0.34605650018280043
5,0.61,symmetric,0.42087465670122165
5,symmetric,0.01,0.4101419128951534
5,symmetric,0.31,0.3849525402286173
5,symmetric,0.61,0.37073114459474954
5,symmetric,symmetric,0.4141613103986221
5,asymmetric,0.01,0.4173494697307616
5,asymmetric,0.31,0.3884031919550456
5,asymmetric,0.61,0.4057184390038905
5,asymmetric,symmetric,0.4053628830977961
6,0.01,0.01,0.40633957749625166
6,0.01,0.31,0.4184741995989804
6,0.01,0.61,0.40678334413551925
6,0.01,symmetric,0.4261930719167315
6,0.31,0.01,0.4070733093924445
6,0.31,0.31,0.4208124615567177
6,0.31,0.61,0.43907760132577994
6,0.31,symmetric,0.39135645591250995
6,0.61,0.01,0.40452109170643413
6,0.61,0.31,0.40642819675089
6,0.61,0.61,0.3751812787452768
6,0.61,symmetric,0.4019591085511854
6,symmetric,0.01,0.41685789504055015
6,symmetric,0.31,0.424374865527326
6,symmetric,0.61,0.44854845358037587
6,symmetric,symmetric,0.38677299086428646
6,asymmetric,0.01,0.41889589587126946
6,asymmetric,0.31,0.34950820498204554
6,asymmetric,0.61,0.4986735742739468
6,asymmetric,symmetric,0.38043746192949296
7,0.01,0.01,0.3990865403265703
7,0.01,0.31,0.3984652331779815
7,0.01,0.61,0.44020208096516
7,0.01,symmetric,0.3912653842496286
7,0.31,0.01,0.4079088698866821
7,0.31,0.31,0.41156070158672176
7,0.31,0.61,0.44075775796824984
7,0.31,symmetric,0.4003052934468334
7,0.61,0.01,0.4046308851822356
7,0.61,0.31,0.3639742722965883
7,0.61,0.61,0.44460655617658057
7,0.61,symmetric,0.4001574031030913
7,symmetric,0.01,0.4009363345858992
7,symmetric,0.31,0.447485190647044
7,symmetric,0.61,0.4521609669888153
7,symmetric,symmetric,0.4095764383203429
7,asymmetric,0.01,0.38400694376662786
7,asymmetric,0.31,0.39140907959000765
7,asymmetric,0.61,0.46912741272360226
7,asymmetric,symmetric,0.3840447858349445
8,0.01,0.01,0.41569943416270116
8,0.01,0.31,0.4283753524943794
8,0.01,0.61,0.4638607575464049
8,0.01,symmetric,0.3873763156397953
8,0.31,0.01,0.4040195705428938
8,0.31,0.31,0.43893354080151914
8,0.31,0.61,0.4848802577724911
8,0.31,symmetric,0.35131221225416154
8,0.61,0.01,0.40161671878553085
8,0.61,0.31,0.3546320285710213
8,0.61,0.61,0.4653257861838016
8,0.61,symmetric,0.40239048866077265
8,symmetric,0.01,0.39439459873171523
8,symmetric,0.31,0.44570458430110416
8,symmetric,0.61,0.4808858637747683
8,symmetric,symmetric,0.3651232987825719
8,asymmetric,0.01,0.399041803845178
8,asymmetric,0.31,0.45273290679840505
8,asymmetric,0.61,0.48339254857989233
8,asymmetric,symmetric,0.40181304252361116
9,0.01,0.01,0.40302292215002994
9,0.01,0.31,0.4189165236165117
9,0.01,0.61,0.4673494902008777
9,0.01,symmetric,0.40252905323190075
9,0.31,0.01,0.3974555492918192
9,0.31,0.31,0.4628389181694101
9,0.31,0.61,0.4576501325532438
9,0.31,symmetric,0.39996569106161906
9,0.61,0.01,0.390713844089132
9,0.61,0.31,0.3647134286017725
9,0.61,0.61,0.4814062953798245
9,0.61,symmetric,0.39053854948068983
9,symmetric,0.01,0.39202060230044644
9,symmetric,0.31,0.49207188539103225
9,symmetric,0.61,0.42632458417099467
9,symmetric,symmetric,0.39311933790376435
9,asymmetric,0.01,0.4039648546035372
9,asymmetric,0.31,0.4577269765619916
9,asymmetric,0.61,0.42391190827165437
9,asymmetric,symmetric,0.39918938293771095
10,0.01,0.01,0.4066284255001723
10,0.01,0.31,0.4699894158916117
10,0.01,0.61,0.45768918802144193
10,0.01,symmetric,0.41459619775645873
10,0.31,0.01,0.3930534159157649
10,0.31,0.31,0.4632238081225425
10,0.31,0.61,0.4488713105915635
10,0.31,symmetric,0.38480131063126277
10,0.61,0.01,0.37341123331567067
10,0.61,0.31,0.3495448660292654
10,0.61,0.61,0.47346753358923993
10,0.61,symmetric,0.3794479514728319
10,symmetric,0.01,0.40550415656448424
10,symmetric,0.31,0.42823008405672197
10,symmetric,0.61,0.41910928920906443
10,symmetric,symmetric,0.40508490277804876
10,asymmetric,0.01,0.3813950790372763
10,asymmetric,0.31,0.46558514206713647
10,asymmetric,0.61,0.4551388716648809
10,asymmetric,symmetric,0.39530571387687535
11,0.01,0.01,0.39046215446236054
11,0.01,0.31,0.4508301504767733
11,0.01,0.61,0.4421180861528789
11,0.01,symmetric,0.3782635276452008
11,0.31,0.01,0.38436126767720447
11,0.31,0.31,0.45079209940673726
11,0.31,0.61,0.4228541894747833
11,0.31,symmetric,0.36327380309805946
11,0.61,0.01,0.3877989676447827
11,0.61,0.31,0.34850927780915125
11,0.61,0.61,0.44123368262775114
11,0.61,symmetric,0.3775730959157071
11,symmetric,0.01,0.39278553695870033
11,symmetric,0.31,0.4756944516129289
11,symmetric,0.61,0.4445009069262343
11,symmetric,symmetric,0.38008753499459547
11,asymmetric,0.01,0.39207531264559864
11,asymmetric,0.31,0.4685414086875056
11,asymmetric,0.61,0.4822230685821635
11,asymmetric,symmetric,0.4193243167246185
12,0.01,0.01,0.3833552900730115
12,0.01,0.31,0.4334778510106397
12,0.01,0.61,0.4172314917007511
12,0.01,symmetric,0.4326049021141705
12,0.31,0.01,0.3780310237868631
12,0.31,0.31,0.45507873097233387
12,0.31,0.61,0.413395495807622
12,0.31,symmetric,0.3672202454166187
12,0.61,0.01,0.3848271624952666
12,0.61,0.31,0.38659024882890974
12,0.61,0.61,0.4513262569870442
12,0.61,symmetric,0.361134668092957
12,symmetric,0.01,0.38498096401916476
12,symmetric,0.31,0.436365019104832
12,symmetric,0.61,0.43842809852776776
12,symmetric,symmetric,0.4130213829392448
12,asymmetric,0.01,0.3974626696158079
12,asymmetric,0.31,0.4619998831261254
12,asymmetric,0.61,0.4728844794789267
12,asymmetric,symmetric,0.42769708948310425
13,0.01,0.01,0.3836681837739587
13,0.01,0.31,0.4341328047464422
13,0.01,0.61,0.4850372662374835
13,0.01,symmetric,0.42018514532601675
13,0.31,0.01,0.36327223146477533
13,0.31,0.31,0.4965717586409507
13,0.31,0.61,0.4451943236041706
13,0.31,symmetric,0.3475357307702148
13,0.61,0.01,0.3726350360595909
13,0.61,0.31,0.4105065690035674
13,0.61,0.61,0.40815892198082027
13,0.61,symmetric,0.3591895528798751
13,symmetric,0.01,0.38591983678043956
13,symmetric,0.31,0.46674990795796023
13,symmetric,0.61,0.4868562039633376
13,symmetric,symmetric,0.39532430276903097
13,asymmetric,0.01,0.373651508175479
13,asymmetric,0.31,0.4641007010326411
13,asymmetric,0.61,0.4351779148898413
13,asymmetric,symmetric,0.44313858894237923
14,0.01,0.01,0.3737325253825989
14,0.01,0.31,0.4829200604226383
14,0.01,0.61,0.4654210686142751
14,0.01,symmetric,0.38909470241721594
14,0.31,0.01,0.3594898803826193
14,0.31,0.31,0.4711502971709728
14,0.31,0.61,0.4450151265920259
14,0.31,symmetric,0.34796046874365055
14,0.61,0.01,0.3672999202391316
14,0.61,0.31,0.41625531488904194
14,0.61,0.61,0.4186915832513102
14,0.61,symmetric,0.3590698865482419
14,symmetric,0.01,0.37340906650735806
14,symmetric,0.31,0.4746144072600212
14,symmetric,0.61,0.46211028918103925
14,symmetric,symmetric,0.40968262708603237
14,asymmetric,0.01,0.37803171901231736
14,asymmetric,0.31,0.5065790734777585
14,asymmetric,0.61,0.4288088415559018
14,asymmetric,symmetric,0.42416408943883377
