Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.4326196876219937
5,0.01,0.31,0.3981934660525515
5,0.01,0.61,0.46613089826443155
5,0.01,symmetric,0.4181046938376446
5,0.31,0.01,0.42725252929886953
5,0.31,0.31,0.39040605215171925
5,0.31,0.61,0.4379262791970223
5,0.31,symmetric,0.40668044971231876
5,0.61,0.01,0.4309986103495664
5,0.61,0.31,0.41773465808472254
5,0.61,0.61,0.4282622009538254
5,0.61,symmetric,0.42569268540227084
5,symmetric,0.01,0.418631561449164
5,symmetric,0.31,0.39879398939227706
5,symmetric,0.61,0.45447629663464556
5,symmetric,symmetric,0.4203313909973752
5,asymmetric,0.01,0.4366104124199156
5,asymmetric,0.31,0.45655728339778234
5,asymmetric,0.61,0.4333864097901447
5,asymmetric,symmetric,0.4103650937886867
6,0.01,0.01,0.4236980292265071
6,0.01,0.31,0.41999782080307696
6,0.01,0.61,0.4322928124813654
6,0.01,symmetric,0.42121124495811824
6,0.31,0.01,0.4329410959173148
6,0.31,0.31,0.415745744532501
6,0.31,0.61,0.48356848979040196
6,0.31,symmetric,0.42492059165074886
6,0.61,0.01,0.42756464950722767
6,0.61,0.31,0.4368404828528994
6,0.61,0.61,0.41821745799169624
6,0.61,symmetric,0.4289246029301106
6,symmetric,0.01,0.4406726124057394
6,symmetric,0.31,0.4111462568509527
6,symmetric,0.61,0.4317600537602982
6,symmetric,symmetric,0.4148967753500117
6,asymmetric,0.01,0.4155092094663298
6,asymmetric,0.31,0.4637195964206191
6,asymmetric,0.61,0.4760902676267209
6,asymmetric,symmetric,0.40241912451300355
7,0.01,0.01,0.43116640929709815
7,0.01,0.31,0.39036870038377913
7,0.01,0.61,0.41711270870888334
7,0.01,symmetric,0.42625306415493364
7,0.31,0.01,0.42923102327047513
7,0.31,0.31,0.38625539496337435
7,0.31,0.61,0.4744226203334871
7,0.31,symmetric,0.42551645225775975
7,0.61,0.01,0.4250008015974644
7,0.61,0.31,0.4367710641939033
7,0.61,0.61,0.4835199192707919
