Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.3282561919753491
5,0.01,0.31,0.3130090720434261
5,0.01,0.61,0.31617057117281555
5,0.01,symmetric,0.3245819758739963
5,0.31,0.01,0.34248163349347405
5,0.31,0.31,0.3379122047171309
5,0.31,0.61,0.327824145304515
5,0.31,symmetric,0.3267210994771164
5,0.61,0.01,0.3203954952353561
5,0.61,0.31,0.3460934749139939
5,0.61,0.61,0.3268053132529305
5,0.61,symmetric,0.3240859400271562
5,symmetric,0.01,0.3266822079455016
5,symmetric,0.31,0.32955622191714024
5,symmetric,0.61,0.32504694262077427
5,symmetric,symmetric,0.3382002359937169
5,asymmetric,0.01,0.32817877432584497
5,asymmetric,0.31,0.2802938517983015
5,asymmetric,0.61,0.27245735274784316
5,asymmetric,symmetric,0.2897105601184557
6,0.01,0.01,0.3235262417868545
6,0.01,0.31,0.3290620485945274
6,0.01,0.61,0.339681457226316
6,0.01,symmetric,0.328343347521859
6,0.31,0.01,0.3097011327070692
6,0.31,0.31,0.3188660436186774
6,0.31,0.61,0.3237017493253984
6,0.31,symmetric,0.31190765974830303
6,0.61,0.01,0.3119518442684535
6,0.61,0.31,0.32315191285793615
6,0.61,0.61,0.29604596942339373
6,0.61,symmetric,0.3139613100683845
6,symmetric,0.01,0.31353179922561325
6,symmetric,0.31,0.3288148614742576
6,symmetric,0.61,0.33458821648440856
6,symmetric,symmetric,0.32546540002510177
6,asymmetric,0.01,0.3074029619644592
6,asymmetric,0.31,0.2896476511673037
6,asymmetric,0.61,0.31237031755367134
6,asymmetric,symmetric,0.3068628629213553
7,0.01,0.01,0.3154196266291978
7,0.01,0.31,0.3072864350477356
7,0.01,0.61,0.31349211264526383
7,0.01,symmetric,0.31848582879956316
7,0.31,0.01,0.3116854011242621
7,0.31,0.31,0.3136698949475797
7,0.31,0.61,0.3105871987704334
7,0.31,symmetric,0.31636008478294464
7,0.61,0.01,0.3128974347035616
7,0.61,0.31,0.32720774491322474
7,0.61,0.61,0.30876688155746745
7,0.61,symmetric,0.3172713229375632
7,symmetric,0.01,0.3091898783871949
7,symmetric,0.31,0.3028833362521039
7,symmetric,0.61,0.2974282688150512
7,symmetric,symmetric,0.3154489745090864
7,asymmetric,0.01,0.2909842333228127
7,asymmetric,0.31,0.30717404952504473
7,asymmetric,0.61,0.26905427096761264
7,asymmetric,symmetric,0.2833406543111016
8,0.01,0.01,0.32681521224121657
8,0.01,0.31,0.31241205790289905
8,0.01,0.61,0.299500719629555
8,0.01,symmetric,0.31419480478224293
8,0.31,0.01,0.30372132985986494
8,0.31,0.31,0.32126366637517156
8,0.31,0.61,0.30452583656707477
8,0.31,symmetric,0.3058316808231747
8,0.61,0.01,0.30395840486508485
8,0.61,0.31,0.29749850353981244
8,0.61,0.61,0.3168136223198959
8,0.61,symmetric,0.30075831426645605
8,symmetric,0.01,0.32866246062377125
8,symmetric,0.31,0.30961712399744196
8,symmetric,0.61,0.2925657184134973
8,symmetric,symmetric,0.3230432360394825
8,asymmetric,0.01,0.31824142648539433
8,asymmetric,0.31,0.28327123240290025
8,asymmetric,0.61,0.2994105034606471
8,asymmetric,symmetric,0.30256416419069
9,0.01,0.01,0.3126910288533398
9,0.01,0.31,0.3127745045441526
9,0.01,0.61,0.3221835737477566
9,0.01,symmetric,0.3089981813237588
9,0.31,0.01,0.29400187841082714
9,0.31,0.31,0.2946285526640837
9,0.31,0.61,0.29206294786987463
9,0.31,symmetric,0.28934089450031314
9,0.61,0.01,0.3047968951172978
9,0.61,0.31,0.29688068566814363
9,0.61,0.61,0.284439579993613
9,0.61,symmetric,0.3010018004748672
9,symmetric,0.01,0.29334511772504035
9,symmetric,0.31,0.2957476640320888
9,symmetric,0.61,0.3053758878949763
9,symmetric,symmetric,0.3084955074829442
9,asymmetric,0.01,0.3163957320117229
9,asymmetric,0.31,0.26362328241443045
9,asymmetric,0.61,0.34256059229967684
9,asymmetric,symmetric,0.2823813713394874
10,0.01,0.01,0.28262327869808607
10,0.01,0.31,0.2748302805614225
10,0.01,0.61,0.29380606096570205
10,0.01,symmetric,0.28806371619390714
10,0.31,0.01,0.28260501628797285
10,0.31,0.31,0.28597366911512434
10,0.31,0.61,0.2771107298359612
10,0.31,symmetric,0.28409318255223454
10,0.61,0.01,0.28698064669847445
10,0.61,0.31,0.27416555858966224
10,0.61,0.61,0.2971796772808322
10,0.61,symmetric,0.2823765132509358
10,symmetric,0.01,0.2845646327420074
10,symmetric,0.31,0.2725842426247256
10,symmetric,0.61,0.2974050754669041
10,symmetric,symmetric,0.2880205849694514
10,asymmetric,0.01,0.3075007028547231
10,asymmetric,0.31,0.2997166725511507
10,asymmetric,0.61,0.3544000703821363
10,asymmetric,symmetric,0.29982125083997535
11,0.01,0.01,0.29605986942531093
11,0.01,0.31,0.28847204540722593
11,0.01,0.61,0.29922747333857663
11,0.01,symmetric,0.29029240873404355
11,0.31,0.01,0.27155419630326516
11,0.31,0.31,0.31670949297571593
11,0.31,0.61,0.3122054164114175
11,0.31,symmetric,0.2943693602313336
11,0.61,0.01,0.29428091414291263
11,0.61,0.31,0.27267219506673324
11,0.61,0.61,0.2798244829484641
11,0.61,symmetric,0.2874930413726151
11,symmetric,0.01,0.28053622904120806
11,symmetric,0.31,0.27902443424469825
11,symmetric,0.61,0.2980254679127374
11,symmetric,symmetric,0.28637903389343256
11,asymmetric,0.01,0.28938054417144865
11,asymmetric,0.31,0.3062874377546891
11,asymmetric,0.61,0.29063078245266094
11,asymmetric,symmetric,0.29336523030998135
12,0.01,0.01,0.2985678152776317
12,0.01,0.31,0.2986824922259668
12,0.01,0.61,0.33815439994422564
12,0.01,symmetric,0.29729028831454196
12,0.31,0.01,0.2791981463822872
12,0.31,0.31,0.2761196093301667
12,0.31,0.61,0.3083469797561235
12,0.31,symmetric,0.28374850193551276
12,0.61,0.01,0.2881455850769148
12,0.61,0.31,0.281112612545131
12,0.61,0.61,0.34689890456857597
12,0.61,symmetric,0.28133943111791904
12,symmetric,0.01,0.32375622972473644
12,symmetric,0.31,0.298734506100019
12,symmetric,0.61,0.3102181839224701
12,symmetric,symmetric,0.31244330230785694
12,asymmetric,0.01,0.2914566753225163
12,asymmetric,0.31,0.2779241187446342
12,asymmetric,0.61,0.3440123566533244
12,asymmetric,symmetric,0.29748125590672386
13,0.01,0.01,0.2950417355292878
13,0.01,0.31,0.26855559086077607
13,0.01,0.61,0.29014684795275647
13,0.01,symmetric,0.30931757051455144
13,0.31,0.01,0.27989860502264957
13,0.31,0.31,0.28268879127177765
13,0.31,0.61,0.30674936591338703
13,0.31,symmetric,0.2991096355669195
13,0.61,0.01,0.29315693229198586
13,0.61,0.31,0.3043663797467831
13,0.61,0.61,0.37555231316844523
13,0.61,symmetric,0.2907517754578182
13,symmetric,0.01,0.3182528821100554
13,symmetric,0.31,0.3075533341603092
13,symmetric,0.61,0.30190647094766615
13,symmetric,symmetric,0.29554312519031384
13,asymmetric,0.01,0.2865838481568516
13,asymmetric,0.31,0.28704509267991213
13,asymmetric,0.61,0.2915823175490827
13,asymmetric,symmetric,0.2808265346122155
14,0.01,0.01,0.32246512879638667
14,0.01,0.31,0.28877193322589895
14,0.01,0.61,0.2747639356313414
14,0.01,symmetric,0.30975874060372055
14,0.31,0.01,0.29809406837352315
14,0.31,0.31,0.29783484859565196
14,0.31,0.61,0.3276704956497643
14,0.31,symmetric,0.28785556704085813
14,0.61,0.01,0.28157357063345284
14,0.61,0.31,0.27514110625902966
14,0.61,0.61,0.35630744622793414
14,0.61,symmetric,0.27190921542012353
14,symmetric,0.01,0.3167569670894411
14,symmetric,0.31,0.28948847976278325
14,symmetric,0.61,0.27859377802044044
14,symmetric,symmetric,0.30796099256984416
14,asymmetric,0.01,0.29142330139990286
14,asymmetric,0.31,0.3166881883783655
14,asymmetric,0.61,0.29854073897507627
14,asymmetric,symmetric,0.30240941913199115
