Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.32061036707714047
5,0.01,0.31,0.273843589940583
5,0.01,0.61,0.2636966534337829
5,0.01,symmetric,0.29064112360052236
5,0.31,0.01,0.2894486565967235
5,0.31,0.31,0.2798532539192714
5,0.31,0.61,0.3357633246026288
5,0.31,symmetric,0.28297008271365304
5,0.61,0.01,0.3062215594136685
5,0.61,0.31,0.2924800440640262
5,0.61,0.61,0.32184205746225336
5,0.61,symmetric,0.28262073608072236
5,symmetric,0.01,0.3101268555291511
5,symmetric,0.31,0.282862054194587
5,symmetric,0.61,0.286500430724813
5,symmetric,symmetric,0.2892762267402788
5,asymmetric,0.01,0.32562041277690507
5,asymmetric,0.31,0.2969936857791603
5,asymmetric,0.61,0.3179886092799854
5,asymmetric,symmetric,0.2693789530805347
6,0.01,0.01,0.28942270106376783
6,0.01,0.31,0.281364730951373
6,0.01,0.61,0.29724459853544816
6,0.01,symmetric,0.27410037292091866
6,0.31,0.01,0.28902092602764234
6,0.31,0.31,0.2814886739989448
6,0.31,0.61,0.2906920855693916
6,0.31,symmetric,0.27869347193194455
6,0.61,0.01,0.30142079729690274
6,0.61,0.31,0.26715301732069413
6,0.61,0.61,0.3339249390162633
6,0.61,symmetric,0.27695345207347183
6,symmetric,0.01,0.2869858093573297
6,symmetric,0.31,0.27621541303202235
6,symmetric,0.61,0.2903438774585651
6,symmetric,symmetric,0.2717499022123455
6,asymmetric,0.01,0.29056957372035
6,asymmetric,0.31,0.312017353207331
6,asymmetric,0.61,0.3767638613192141
6,asymmetric,symmetric,0.3260265045557933
7,0.01,0.01,0.32280842938028786
7,0.01,0.31,0.2779685389897747
7,0.01,0.61,0.2818479288436018
7,0.01,symmetric,0.28774034852007657
7,0.31,0.01,0.3097695553738228
7,0.31,0.31,0.29468047930418656
7,0.31,0.61,0.28730523466365704
7,0.31,symmetric,0.30239724189419614
7,0.61,0.01,0.3005257560125078
7,0.61,0.31,0.28983279536797074
7,0.61,0.61,0.27062729377176586
7,0.61,symmetric,0.2959054230325108
7,symmetric,0.01,0.3020479158782366
7,symmetric,0.31,0.28044116080457737
7,symmetric,0.61,0.29013168105390763
7,symmetric,symmetric,0.28726976352819233
7,asymmetric,0.01,0.30752773703736086
7,asymmetric,0.31,0.3047578056674424
7,asymmetric,0.61,0.2969980382058168
7,asymmetric,symmetric,0.3062444909906617
8,0.01,0.01,0.30631893389891657
8,0.01,0.31,0.2886291109325807
8,0.01,0.61,0.29907399414719793
