Topics,Alpha,Beta,Coherence
5,0.01,0.01,
5,0.01,0.31,0.32311709654668175
5,0.01,0.61,
5,0.01,symmetric,0.3266940853294893
5,0.31,0.01,
5,0.31,0.31,0.3172983944366112
5,0.31,0.61,
5,0.31,symmetric,
5,0.61,0.01,0.3433790353881652
5,0.61,0.31,
5,0.61,0.61,
5,0.61,symmetric,
5,symmetric,0.01,
5,symmetric,0.31,
5,symmetric,0.61,
5,symmetric,symmetric,0.3259518332310451
5,asymmetric,0.01,0.33789304616575394
5,asymmetric,0.31,
5,asymmetric,0.61,
5,asymmetric,symmetric,
6,0.01,0.01,0.3318677984032758
6,0.01,0.31,0.31827030657275884
6,0.01,0.61,
6,0.01,symmetric,0.32228412816560315
6,0.31,0.01,0.32741704439502944
6,0.31,0.31,0.3140156922154347
6,0.31,0.61,
6,0.31,symmetric,0.3322830161737495
6,0.61,0.01,0.3299802419369722
6,0.61,0.31,0.3195025774004849
6,0.61,0.61,
6,0.61,symmetric,0.3315512959487981
6,symmetric,0.01,0.32667019991208157
6,symmetric,0.31,0.3164773526927904
6,symmetric,0.61,
6,symmetric,symmetric,0.32510858158786565
6,asymmetric,0.01,0.3289292051918454
6,asymmetric,0.31,
6,asymmetric,0.61,
6,asymmetric,symmetric,0.3235165318165118
7,0.01,0.01,0.3266532534480035
7,0.01,0.31,0.29301462143575613
7,0.01,0.61,
7,0.01,symmetric,0.3286404470200421
7,0.31,0.01,0.32057470488269024
7,0.31,0.31,
7,0.31,0.61,
7,0.31,symmetric,0.3220938168061488
7,0.61,0.01,0.3313664194688212
7,0.61,0.31,0.3118441097862314
7,0.61,0.61,
7,0.61,symmetric,0.32930085247791985
7,symmetric,0.01,0.3218586102592723
7,symmetric,0.31,
7,symmetric,0.61,
7,symmetric,symmetric,0.3260071294261814
7,asymmetric,0.01,0.3391361359301563
7,asymmetric,0.31,
7,asymmetric,0.61,
7,asymmetric,symmetric,0.32002477630900955
8,0.01,0.01,0.3273028624092992
8,0.01,0.31,
8,0.01,0.61,
8,0.01,symmetric,
8,0.31,0.01,0.33206056553581875
8,0.31,0.31,
8,0.31,0.61,
8,0.31,symmetric,
8,0.61,0.01,
8,0.61,0.31,
8,0.61,0.61,
8,0.61,symmetric,0.31785244328638373
8,symmetric,0.01,0.32526581533778165
8,symmetric,0.31,
8,symmetric,0.61,
8,symmetric,symmetric,
8,asymmetric,0.01,
8,asymmetric,0.31,
8,asymmetric,0.61,
8,asymmetric,symmetric,
9,0.01,0.01,
9,0.01,0.31,
9,0.01,0.61,
9,0.01,symmetric,
9,0.31,0.01,
9,0.31,0.31,
9,0.31,0.61,
9,0.31,symmetric,
9,0.61,0.01,
9,0.61,0.31,
9,0.61,0.61,
9,0.61,symmetric,
9,symmetric,0.01,
9,symmetric,0.31,
9,symmetric,0.61,
9,symmetric,symmetric,
9,asymmetric,0.01,
9,asymmetric,0.31,
9,asymmetric,0.61,
9,asymmetric,symmetric,
10,0.01,0.01,
10,0.01,0.31,
10,0.01,0.61,
10,0.01,symmetric,
10,0.31,0.01,
10,0.31,0.31,
10,0.31,0.61,
10,0.31,symmetric,
10,0.61,0.01,
10,0.61,0.31,
10,0.61,0.61,
10,0.61,symmetric,
10,symmetric,0.01,
10,symmetric,0.31,
10,symmetric,0.61,
10,symmetric,symmetric,
10,asymmetric,0.01,
10,asymmetric,0.31,
10,asymmetric,0.61,
10,asymmetric,symmetric,
11,0.01,0.01,
11,0.01,0.31,
11,0.01,0.61,
11,0.01,symmetric,
11,0.31,0.01,
11,0.31,0.31,
11,0.31,0.61,
11,0.31,symmetric,
11,0.61,0.01,
11,0.61,0.31,
11,0.61,0.61,
11,0.61,symmetric,
11,symmetric,0.01,
11,symmetric,0.31,
11,symmetric,0.61,
11,symmetric,symmetric,
11,asymmetric,0.01,
11,asymmetric,0.31,
11,asymmetric,0.61,
11,asymmetric,symmetric,
12,0.01,0.01,
12,0.01,0.31,
12,0.01,0.61,
12,0.01,symmetric,
12,0.31,0.01,
12,0.31,0.31,
12,0.31,0.61,
12,0.31,symmetric,
12,0.61,0.01,
12,0.61,0.31,
12,0.61,0.61,
12,0.61,symmetric,
12,symmetric,0.01,
12,symmetric,0.31,
12,symmetric,0.61,
12,symmetric,symmetric,
12,asymmetric,0.01,
12,asymmetric,0.31,
12,asymmetric,0.61,
12,asymmetric,symmetric,
13,0.01,0.01,
13,0.01,0.31,
13,0.01,0.61,
13,0.01,symmetric,
13,0.31,0.01,
13,0.31,0.31,
13,0.31,0.61,
13,0.31,symmetric,
13,0.61,0.01,
13,0.61,0.31,
13,0.61,0.61,
13,0.61,symmetric,
13,symmetric,0.01,
13,symmetric,0.31,
13,symmetric,0.61,
13,symmetric,symmetric,
13,asymmetric,0.01,
13,asymmetric,0.31,
13,asymmetric,0.61,
13,asymmetric,symmetric,
14,0.01,0.01,
14,0.01,0.31,
14,0.01,0.61,
14,0.01,symmetric,
14,0.31,0.01,
14,0.31,0.31,
14,0.31,0.61,
14,0.31,symmetric,
14,0.61,0.01,
14,0.61,0.31,
14,0.61,0.61,
14,0.61,symmetric,
14,symmetric,0.01,
14,symmetric,0.31,
14,symmetric,0.61,
14,symmetric,symmetric,
14,asymmetric,0.01,
14,asymmetric,0.31,
14,asymmetric,0.61,
14,asymmetric,symmetric,
