Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.2773635894905903
5,0.01,0.31,0.26691918203239845
5,0.01,0.61,0.31549628530959434
5,0.01,symmetric,0.26566260416650467
5,0.31,0.01,0.2787700990194388
5,0.31,0.31,0.2697689574694926
5,0.31,0.61,0.30812240224207743
5,0.31,symmetric,0.27087596640204986
5,0.61,0.01,0.2811808856266631
5,0.61,0.31,0.27812011759241917
5,0.61,0.61,0.30772034843748186
5,0.61,symmetric,0.2777042106795208
5,symmetric,0.01,0.27865496336430723
5,symmetric,0.31,0.2671079141427312
5,symmetric,0.61,0.30804470707050663
5,symmetric,symmetric,0.2652673530702326
5,asymmetric,0.01,0.2850963611814323
5,asymmetric,0.31,0.2787854650270337
5,asymmetric,0.61,0.2791488619681567
5,asymmetric,symmetric,0.27684803585387885
6,0.01,0.01,0.28253993484664625
6,0.01,0.31,0.2762657998783922
6,0.01,0.61,0.2754946795061263
6,0.01,symmetric,0.28181053255494304
6,0.31,0.01,0.2847903212340957
6,0.31,0.31,0.2752888829075151
6,0.31,0.61,0.25912593225858604
6,0.31,symmetric,0.27866951039750837
6,0.61,0.01,0.2836538539085356
6,0.61,0.31,0.2826941940657529
6,0.61,0.61,0.28093578457170143
6,0.61,symmetric,0.28705069803246513
6,symmetric,0.01,0.2847426371342841
6,symmetric,0.31,0.2711369632615059
6,symmetric,0.61,0.26709147044544795
6,symmetric,symmetric,0.2767172209290692
6,asymmetric,0.01,0.2767976349455657
6,asymmetric,0.31,0.27823166718064457
6,asymmetric,0.61,0.30909952228686155
6,asymmetric,symmetric,0.2860865876443016
7,0.01,0.01,0.2886616629445181
7,0.01,0.31,0.2748752164860472
7,0.01,0.61,0.3030359739723783
7,0.01,symmetric,0.261827959408067
7,0.31,0.01,0.28604026216441686
7,0.31,0.31,0.3044007366595456
7,0.31,0.61,0.30286335495542727
7,0.31,symmetric,0.2841490444972514
7,0.61,0.01,0.290450171096213
7,0.61,0.31,0.2759008353226898
7,0.61,0.61,0.29703821334776354
7,0.61,symmetric,0.28695381041819373
7,symmetric,0.01,0.2845304691511519
7,symmetric,0.31,0.277812318895924
7,symmetric,0.61,0.2998330734122709
7,symmetric,symmetric,0.2864651746182955
7,asymmetric,0.01,0.27471707854116845
7,asymmetric,0.31,0.29964463459957985
7,asymmetric,0.61,0.3163714820534475
7,asymmetric,symmetric,0.2782251525331545
8,0.01,0.01,0.2913873166432762
8,0.01,0.31,0.28169927172635334
8,0.01,0.61,0.29358390931185285
8,0.01,symmetric,0.28605897694023985
8,0.31,0.01,0.29033539692539645
8,0.31,0.31,0.2705606651754159
8,0.31,0.61,0.30411093926742894
8,0.31,symmetric,0.2916042163909969
8,0.61,0.01,0.2934292728782866
8,0.61,0.31,0.2761691159454601
8,0.61,0.61,0.3045221828745437
8,0.61,symmetric,0.29343102820941536
8,symmetric,0.01,0.2879610324148101
8,symmetric,0.31,0.280759594930795
8,symmetric,0.61,0.2914304382032201
8,symmetric,symmetric,0.28994579694108025
8,asymmetric,0.01,0.2796467342612292
8,asymmetric,0.31,0.2988665325180952
8,asymmetric,0.61,0.32681862882541884
8,asymmetric,symmetric,0.2805334114144496
9,0.01,0.01,0.2788222810282271
9,0.01,0.31,0.26794351033275593
9,0.01,0.61,0.2931936121694579
9,0.01,symmetric,0.282589289832761
9,0.31,0.01,0.2877692988933523
9,0.31,0.31,0.2673896793322868
9,0.31,0.61,0.3055472353703026
9,0.31,symmetric,0.2807458383171661
9,0.61,0.01,0.2842459965037385
9,0.61,0.31,0.26763580655431785
9,0.61,0.61,0.29031091368943407
9,0.61,symmetric,0.2817332270578905
9,symmetric,0.01,0.28691182813636984
9,symmetric,0.31,0.26690976977237724
9,symmetric,0.61,0.297597161339737
9,symmetric,symmetric,0.279564615746326
9,asymmetric,0.01,0.2722453489962989
9,asymmetric,0.31,0.2884721237543294
9,asymmetric,0.61,0.3018723934349626
9,asymmetric,symmetric,0.27611261862092884
10,0.01,0.01,0.28147079055314767
10,0.01,0.31,0.2776538992457575
10,0.01,0.61,0.2797787644321761
10,0.01,symmetric,0.2736588617856312
10,0.31,0.01,0.2813748804281987
10,0.31,0.31,0.287911545459313
