Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.29901289641288764
5,0.01,0.31,0.31031188556165723
5,0.01,0.61,0.2819185979739401
5,0.01,symmetric,0.29758292253863805
5,0.31,0.01,0.299318320377415
5,0.31,0.31,0.2954324822321467
5,0.31,0.61,0.29985870314293966
5,0.31,symmetric,0.30057770501308934
5,0.61,0.01,0.29976593502320387
5,0.61,0.31,0.2949615742669437
5,0.61,0.61,0.28756218033969433
5,0.61,symmetric,0.3063494081806307
5,symmetric,0.01,0.302373385337647
5,symmetric,0.31,0.30557082074607156
5,symmetric,0.61,0.2995957729609657
5,symmetric,symmetric,0.3080800982714911
5,asymmetric,0.01,0.28667483987720754
5,asymmetric,0.31,0.29777184224387837
5,asymmetric,0.61,0.27841328694221157
5,asymmetric,symmetric,0.2922213429314318
6,0.01,0.01,0.300175614620863
6,0.01,0.31,0.2771930483647557
6,0.01,0.61,0.2926158661622202
6,0.01,symmetric,0.2930736866473967
6,0.31,0.01,0.2970173921990309
6,0.31,0.31,0.278802079248969
6,0.31,0.61,0.2792883408385128
6,0.31,symmetric,0.2991262737511322
6,0.61,0.01,0.28599113499120987
6,0.61,0.31,0.2917517042690898
6,0.61,0.61,0.299515544899367
6,0.61,symmetric,0.2828860949530975
6,symmetric,0.01,0.29271477775275173
6,symmetric,0.31,0.29784498046258007
6,symmetric,0.61,0.284674412064328
6,symmetric,symmetric,0.2944313327468319
6,asymmetric,0.01,0.305664773567693
6,asymmetric,0.31,0.2842002349814362
6,asymmetric,0.61,0.27568207891236324
6,asymmetric,symmetric,0.2752345866019153
7,0.01,0.01,0.29312002365854223
7,0.01,0.31,0.28411211628271005
7,0.01,0.61,0.27817619528843684
7,0.01,symmetric,0.2869167395233853
7,0.31,0.01,0.2916262987091431
7,0.31,0.31,0.27928489101447757
7,0.31,0.61,0.2665770032607859
7,0.31,symmetric,0.291252355024976
7,0.61,0.01,0.2745211150658877
7,0.61,0.31,0.26942189660343663
7,0.61,0.61,0.2814232961494356
7,0.61,symmetric,0.2766595266109525
7,symmetric,0.01,0.2871663670961449
7,symmetric,0.31,0.2772029924751026
7,symmetric,0.61,0.2803637610470865
7,symmetric,symmetric,0.2875395018756989
7,asymmetric,0.01,0.2874999326268034
7,asymmetric,0.31,0.28034824633164934
7,asymmetric,0.61,0.2766747660157963
7,asymmetric,symmetric,0.2836414874092526
8,0.01,0.01,0.2797598035756791
8,0.01,0.31,0.2889987542232433
8,0.01,0.61,0.2743985912449003
8,0.01,symmetric,0.2883802678726567
8,0.31,0.01,0.2812237558939611
8,0.31,0.31,0.284923359256782
8,0.31,0.61,0.2655919827808883
8,0.31,symmetric,0.28335546280415613
8,0.61,0.01,0.28205471484414535
8,0.61,0.31,0.27259828018544785
8,0.61,0.61,0.28193380144380537
8,0.61,symmetric,0.2878870689495089
8,symmetric,0.01,0.27976849408396637
8,symmetric,0.31,0.2832855171058881
8,symmetric,0.61,0.272599835631937
8,symmetric,symmetric,0.28953487647547127
8,asymmetric,0.01,0.288665733213215
8,asymmetric,0.31,0.27994849036880265
8,asymmetric,0.61,0.2803761422252768
8,asymmetric,symmetric,0.27318783465981034
9,0.01,0.01,0.27605802580357475
9,0.01,0.31,0.2785197798501151
9,0.01,0.61,0.2669434022388216
9,0.01,symmetric,0.28378644453087243
9,0.31,0.01,0.2723090265074897
9,0.31,0.31,0.27702972345970717
9,0.31,0.61,0.3002979340336365
9,0.31,symmetric,0.28488661764702095
9,0.61,0.01,0.2886445320532347
9,0.61,0.31,0.25778737876392593
9,0.61,0.61,0.3097406890676326
9,0.61,symmetric,0.28413083507792647
9,symmetric,0.01,0.2846469683081705
9,symmetric,0.31,0.27021873423069476
9,symmetric,0.61,0.2793211878644837
9,symmetric,symmetric,0.27842876477416934
9,asymmetric,0.01,0.28092265380999315
9,asymmetric,0.31,0.2941788804233259
9,asymmetric,0.61,0.3000294874555717
9,asymmetric,symmetric,0.2845972229918095
10,0.01,0.01,0.2874563906349402
10,0.01,0.31,0.2785431905886287
10,0.01,0.61,0.28395807509927773
10,0.01,symmetric,0.2907732070974288
10,0.31,0.01,0.28094057124704813
10,0.31,0.31,0.2701858019427554
10,0.31,0.61,0.27303351248350716
10,0.31,symmetric,0.2772471180937156
10,0.61,0.01,0.28830520144137484
10,0.61,0.31,0.2645199018493005
10,0.61,0.61,0.2706850307084011
10,0.61,symmetric,0.29851598359549514
10,symmetric,0.01,0.2885992171700398
10,symmetric,0.31,0.2809828340766619
10,symmetric,0.61,0.26747133459883704
10,symmetric,symmetric,0.28383651817116684
10,asymmetric,0.01,0.27769453577795766
10,asymmetric,0.31,0.2683653401309145
10,asymmetric,0.61,0.32839186723621255
10,asymmetric,symmetric,0.2848554964546125
11,0.01,0.01,0.2882384202977746
11,0.01,0.31,0.2805277043924901
11,0.01,0.61,0.28848287916379767
11,0.01,symmetric,0.2847341554512861
11,0.31,0.01,0.27686557354493607
11,0.31,0.31,0.28138154701459217
11,0.31,0.61,0.30289764068180336
11,0.31,symmetric,0.2645348472220232
11,0.61,0.01,0.28850504530062665
11,0.61,0.31,0.2997299565077271
11,0.61,0.61,0.2988609358451091
11,0.61,symmetric,0.2785285173909204
11,symmetric,0.01,0.28458311820313653
11,symmetric,0.31,0.27768887691963745
11,symmetric,0.61,0.28570416060922443
