Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.3203017905532184
5,0.01,0.31,0.3200841173903399
5,0.01,0.61,0.2953539208017353
5,0.01,symmetric,0.32011461519019646
5,0.31,0.01,0.3297123760040318
5,0.31,0.31,0.3260167350865951
5,0.31,0.61,0.2994453599426653
5,0.31,symmetric,0.33394133734563336
5,0.61,0.01,0.32892627192929347
5,0.61,0.31,0.3266683215553719
5,0.61,0.61,0.29299235955678127
5,0.61,symmetric,0.32799678461864784
5,symmetric,0.01,0.3270202960904263
5,symmetric,0.31,0.32315394949149806
5,symmetric,0.61,0.2878115700312708
5,symmetric,symmetric,0.3211706457170278
5,asymmetric,0.01,0.32841475074719034
5,asymmetric,0.31,0.33919323259478584
5,asymmetric,0.61,0.3005432236157795
5,asymmetric,symmetric,0.3341234890012591
6,0.01,0.01,0.33479746347731326
6,0.01,0.31,0.32398556868721984
6,0.01,0.61,0.30265073850366253
6,0.01,symmetric,0.33506445656291906
6,0.31,0.01,0.32976351025320727
6,0.31,0.31,0.32363560527406016
6,0.31,0.61,0.29108253856459126
6,0.31,symmetric,0.330691598065373
6,0.61,0.01,0.3208890169071319
6,0.61,0.31,0.3443736098573364
6,0.61,0.61,0.2850593372059098
6,0.61,symmetric,0.3406543282843281
6,symmetric,0.01,0.3340250750010585
6,symmetric,0.31,0.3249382679048582
6,symmetric,0.61,0.29468861984561734
6,symmetric,symmetric,0.3386636267949232
6,asymmetric,0.01,0.3344594225855105
6,asymmetric,0.31,0.3339028226766115
6,asymmetric,0.61,0.35028699942841185
6,asymmetric,symmetric,0.33945377808209876
7,0.01,0.01,0.32045313301326905
7,0.01,0.31,0.29980020585869704
7,0.01,0.61,0.31762936918816687
7,0.01,symmetric,0.3155180572993811
7,0.31,0.01,0.3294389836936951
7,0.31,0.31,0.3040455531135788
7,0.31,0.61,0.3335958339885103
7,0.31,symmetric,0.3291889260036755
7,0.61,0.01,0.3333714993691283
7,0.61,0.31,0.32111383206560934
7,0.61,0.61,0.31375297204096814
7,0.61,symmetric,0.32862128161605664
7,symmetric,0.01,0.3293559101815502
7,symmetric,0.31,0.2938467608381972
7,symmetric,0.61,0.3029724951976275
7,symmetric,symmetric,0.3271415215789499
7,asymmetric,0.01,0.3285220537690186
7,asymmetric,0.31,0.3333490407505239
7,asymmetric,0.61,0.3428177691121158
7,asymmetric,symmetric,0.328832959496446
8,0.01,0.01,0.3283757425770608
8,0.01,0.31,0.3072193103973707
8,0.01,0.61,0.37900957446122663
8,0.01,symmetric,0.3362602473400649
8,0.31,0.01,0.3312925067556721
8,0.31,0.31,0.30700428205806596
8,0.31,0.61,0.3685152368634588
8,0.31,symmetric,0.33145956380448227
8,0.61,0.01,0.3419198892312479
8,0.61,0.31,0.32226926889414365
8,0.61,0.61,0.3651611506228009
8,0.61,symmetric,0.33083877886093255
8,symmetric,0.01,0.3319174134941035
8,symmetric,0.31,0.3034948344036006
8,symmetric,0.61,0.3546332698445166
8,symmetric,symmetric,0.3210941480648377
8,asymmetric,0.01,0.3396655787342292
8,asymmetric,0.31,0.33815287611763245
8,asymmetric,0.61,0.3589574313652957
8,asymmetric,symmetric,0.3348827468879429
9,0.01,0.01,0.32735908518636125
9,0.01,0.31,0.32757205271200573
9,0.01,0.61,0.3687167609637778
9,0.01,symmetric,0.32331465609878096
9,0.31,0.01,0.3267053689146924
9,0.31,0.31,0.3007366829253334
9,0.31,0.61,0.37823945907109086
9,0.31,symmetric,0.33587469973963285
9,0.61,0.01,0.3301369590498031
9,0.61,0.31,0.3004477197566601
9,0.61,0.61,0.37072017556169645
9,0.61,symmetric,0.32148787572082266
9,symmetric,0.01,0.3303014889960869
9,symmetric,0.31,0.32241529125150153
9,symmetric,0.61,0.37344213431234746
9,symmetric,symmetric,0.3267025960273633
9,asymmetric,0.01,0.337624206031137
9,asymmetric,0.31,0.35141030449270816
9,asymmetric,0.61,0.3985947258942593
9,asymmetric,symmetric,0.33784172727234385
10,0.01,0.01,0.3307101596510941
10,0.01,0.31,0.3147766801105205
10,0.01,0.61,0.3660424936774945
10,0.01,symmetric,0.3269539698884189
10,0.31,0.01,0.3316719779582156
10,0.31,0.31,0.3254906635061299
10,0.31,0.61,0.37225502722049114
10,0.31,symmetric,0.3289328136554614
10,0.61,0.01,0.3359463559719803
10,0.61,0.31,0.3138625850717161
10,0.61,0.61,0.39223759688749876
10,0.61,symmetric,0.3319956226728606
10,symmetric,0.01,0.32806408447646723
10,symmetric,0.31,0.3284246556978798
10,symmetric,0.61,0.3472151415234813
10,symmetric,symmetric,0.32458545324863225
10,asymmetric,0.01,0.3462000691063679
10,asymmetric,0.31,0.3588883480174712
10,asymmetric,0.61,0.43180864938418423
10,asymmetric,symmetric,0.3368299253179094
11,0.01,0.01,0.32263761635318483
11,0.01,0.31,0.3238569479920459
11,0.01,0.61,0.39542988512955274
11,0.01,symmetric,0.3223155501620089
11,0.31,0.01,0.3314712942344569
11,0.31,0.31,0.334615193702086
11,0.31,0.61,0.3839408065220576
11,0.31,symmetric,0.32529166894195216
11,0.61,0.01,0.336393489453151
11,0.61,0.31,0.344420664896882
11,0.61,0.61,0.3538789524463447
11,0.61,symmetric,0.325637129235959
11,symmetric,0.01,0.3241130270633097
11,symmetric,0.31,0.3176311776054653
11,symmetric,0.61,0.3891799832103606
11,symmetric,symmetric,0.32447045722016077
11,asymmetric,0.01,0.3323062381398192
11,asymmetric,0.31,0.35449708243938793
11,asymmetric,0.61,0.3951619825194239
11,asymmetric,symmetric,0.33747749799372767
12,0.01,0.01,0.3195619865951114
12,0.01,0.31,0.31516221758794877
12,0.01,0.61,0.357174678734719
12,0.01,symmetric,0.31356429160173377
12,0.31,0.01,0.32174211339229225
12,0.31,0.31,0.3147264997658292
12,0.31,0.61,0.35432991480057047
12,0.31,symmetric,0.3171734618163404
12,0.61,0.01,0.3296340894378058
12,0.61,0.31,0.30818517248074023
12,0.61,0.61,0.3458216120651267
12,0.61,symmetric,0.3203372855668005
12,symmetric,0.01,0.32375687595175867
12,symmetric,0.31,0.31328110191943953
12,symmetric,0.61,0.3652497126695184
12,symmetric,symmetric,0.31647787839774183
12,asymmetric,0.01,0.32895228775922186
12,asymmetric,0.31,0.3473808279788044
12,asymmetric,0.61,0.40449230659147734
12,asymmetric,symmetric,0.3233809822926134
13,0.01,0.01,0.32451892320705605
13,0.01,0.31,0.3247587465832701
13,0.01,0.61,0.3743242954662512
13,0.01,symmetric,0.32441818410370915
13,0.31,0.01,0.32645442445049483
13,0.31,0.31,0.35141291395720464
13,0.31,0.61,0.36239946117174215
13,0.31,symmetric,0.3313101422016592
13,0.61,0.01,0.3309753422375483
13,0.61,0.31,0.34045012271402436
13,0.61,0.61,0.3227428502758369
13,0.61,symmetric,0.32983372611774503
13,symmetric,0.01,0.3296436499310574
13,symmetric,0.31,0.32863421648744057
13,symmetric,0.61,0.3586367727229373
13,symmetric,symmetric,0.32945120417510104
13,asymmetric,0.01,0.3250013585690954
13,asymmetric,0.31,0.3591333181799815
13,asymmetric,0.61,0.3730550113751057
13,asymmetric,symmetric,0.33661989577292667
14,0.01,0.01,0.3243578272026219
