Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.35776363738102807
5,0.01,0.31,0.36696569429981457
5,0.01,0.61,0.3501570703853461
5,0.01,symmetric,0.3474895808076154
5,0.31,0.01,0.3621156012371712
5,0.31,0.31,0.37213225680101253
5,0.31,0.61,0.38336958248504277
5,0.31,symmetric,0.35956687108157054
5,0.61,0.01,0.37773872616359794
5,0.61,0.31,0.38371440840759713
5,0.61,0.61,0.39608824045720514
5,0.61,symmetric,0.3904503307227025
5,symmetric,0.01,0.3596666383760009
5,symmetric,0.31,0.3518783974893166
5,symmetric,0.61,0.3638031084845913
5,symmetric,symmetric,0.35264897275071594
5,asymmetric,0.01,0.38645052152638293
5,asymmetric,0.31,0.38246267296099584
5,asymmetric,0.61,0.3679260267187477
5,asymmetric,symmetric,0.36379537474489904
6,0.01,0.01,0.38497734558656754
6,0.01,0.31,0.37286332694839747
6,0.01,0.61,0.381257181260082
6,0.01,symmetric,0.3640082606425325
6,0.31,0.01,0.3960470159911715
6,0.31,0.31,0.38190321716258
6,0.31,0.61,0.37715851051642124
6,0.31,symmetric,0.3797793610899359
6,0.61,0.01,0.38450062826664083
6,0.61,0.31,0.3527568369978163
6,0.61,0.61,0.3609132014945972
6,0.61,symmetric,0.36321890762226167
6,symmetric,0.01,0.3802962734748088
6,symmetric,0.31,0.365831941944468
6,symmetric,0.61,0.36937631828716694
6,symmetric,symmetric,0.3723188624456594
6,asymmetric,0.01,0.34620553490938466
6,asymmetric,0.31,0.3713466718090841
6,asymmetric,0.61,0.3594144984667744
6,asymmetric,symmetric,0.3686884742780085
7,0.01,0.01,0.3511526223143201
7,0.01,0.31,0.3745527239200777
7,0.01,0.61,0.3682298186829161
7,0.01,symmetric,0.3618870904894612
7,0.31,0.01,0.3578728186061717
7,0.31,0.31,0.3711786114126244
7,0.31,0.61,0.3885368656274169
7,0.31,symmetric,0.3714600551459072
7,0.61,0.01,0.36434344238735555
7,0.61,0.31,0.34419506216591683
7,0.61,0.61,0.3641628529820111
7,0.61,symmetric,0.3468976038329208
7,symmetric,0.01,0.364394472692895
7,symmetric,0.31,0.37722935634308546
7,symmetric,0.61,0.3635053825382494
7,symmetric,symmetric,0.37157631938239416
7,asymmetric,0.01,0.3381929590656813
7,asymmetric,0.31,0.34134473226479106
7,asymmetric,0.61,0.4098177965950712
7,asymmetric,symmetric,0.32608022862082275
8,0.01,0.01,0.34719492511576355
8,0.01,0.31,0.3423480972449805
8,0.01,0.61,0.3359423413022776
8,0.01,symmetric,0.3364103113460346
8,0.31,0.01,0.3740816517205675
8,0.31,0.31,0.3575873966721772
8,0.31,0.61,0.3299333094536129
8,0.31,symmetric,0.3384232480580728
8,0.61,0.01,0.3502512564872494
8,0.61,0.31,0.34386404686706795
8,0.61,0.61,0.363072368946197
8,0.61,symmetric,0.3555504597771084
8,symmetric,0.01,0.3366299389160841
8,symmetric,0.31,0.349792785068423
8,symmetric,0.61,0.34253224913595315
8,symmetric,symmetric,0.3442946576814909
8,asymmetric,0.01,0.3674950194346038
8,asymmetric,0.31,0.3880199802781088
8,asymmetric,0.61,0.5078515230039496
8,asymmetric,symmetric,0.33108290817787733
9,0.01,0.01,0.3243611326860776
9,0.01,0.31,0.3425964840416911
9,0.01,0.61,0.3608483265658655
9,0.01,symmetric,0.33038729789044397
9,0.31,0.01,0.3690272806015757
9,0.31,0.31,0.3178000168270136
9,0.31,0.61,0.38267198293309945
9,0.31,symmetric,0.3612120419126669
9,0.61,0.01,0.3450380322547591
9,0.61,0.31,0.3426789481493909
9,0.61,0.61,0.4147043538117298
9,0.61,symmetric,0.3337722691227997
9,symmetric,0.01,0.3376028775473505
9,symmetric,0.31,0.33870854428165176
9,symmetric,0.61,0.34079180305285584
9,symmetric,symmetric,0.3269373093372553
9,asymmetric,0.01,0.3386280153475582
9,asymmetric,0.31,0.33073987537295335
9,asymmetric,0.61,0.3471530909840736
9,asymmetric,symmetric,0.3413559773231299
10,0.01,0.01,0.3741537924322042
10,0.01,0.31,0.3724212184922013
10,0.01,0.61,0.37279529868885936
10,0.01,symmetric,0.36265368465713166
10,0.31,0.01,0.3749092215636843
10,0.31,0.31,0.38522682794909935
10,0.31,0.61,0.38293893402011026
10,0.31,symmetric,0.3706286114936292
10,0.61,0.01,0.3492644473490488
10,0.61,0.31,0.34570598570795824
10,0.61,0.61,0.39655410845342154
10,0.61,symmetric,0.34209974452176467
10,symmetric,0.01,0.3764450646004499
10,symmetric,0.31,0.374335420515438
10,symmetric,0.61,0.3571279488243683
10,symmetric,symmetric,0.37369615917480475
10,asymmetric,0.01,0.37226729068841236
10,asymmetric,0.31,0.38874847603911217
10,asymmetric,0.61,0.46608745485618297
10,asymmetric,symmetric,0.38391494588254255
11,0.01,0.01,0.3532505069678625
11,0.01,0.31,0.3689642612364541
11,0.01,0.61,0.3771961053311598
11,0.01,symmetric,0.34058321093440563
11,0.31,0.01,0.3572352114510238
11,0.31,0.31,0.34866253085830434
11,0.31,0.61,0.38520001550690247
11,0.31,symmetric,0.3473732226521476
11,0.61,0.01,0.37776250121832555
11,0.61,0.31,0.3716887411572318
11,0.61,0.61,0.38789383264819294
11,0.61,symmetric,0.3566007986677832
11,symmetric,0.01,0.36476081257374654
11,symmetric,0.31,0.3549934872451661
11,symmetric,0.61,0.35256073802178656
11,symmetric,symmetric,0.34254627569279367
11,asymmetric,0.01,0.3724855248449686
11,asymmetric,0.31,0.37124196107063734
11,asymmetric,0.61,0.47032755612450056
11,asymmetric,symmetric,0.3779748395438985
12,0.01,0.01,0.3649812155568027
12,0.01,0.31,0.3540879546912155
12,0.01,0.61,0.3942460892690443
12,0.01,symmetric,0.3636258653194071
12,0.31,0.01,0.3466248138783022
12,0.31,0.31,0.37052156087999744
12,0.31,0.61,0.41514155108383277
12,0.31,symmetric,0.3451037822468142
12,0.61,0.01,0.3488896217543532
12,0.61,0.31,0.3698555268786055
12,0.61,0.61,0.4782840569748164
12,0.61,symmetric,0.3316835220873952
12,symmetric,0.01,0.3484434061483616
12,symmetric,0.31,0.37103225045179067
12,symmetric,0.61,0.3965836772487113
12,symmetric,symmetric,0.3465552695359988
12,asymmetric,0.01,0.327044496604004
12,asymmetric,0.31,0.4081955759093269
12,asymmetric,0.61,0.4219417391994942
12,asymmetric,symmetric,0.40815875372265875
13,0.01,0.01,0.3611564632171672
13,0.01,0.31,0.341935974530216
13,0.01,0.61,0.3336346233999677
13,0.01,symmetric,0.35513540326570403
13,0.31,0.01,0.3542986082893131
13,0.31,0.31,0.35180902209346326
13,0.31,0.61,0.3954917273089207
13,0.31,symmetric,0.33487788198393265
13,0.61,0.01,0.3462086292441216
13,0.61,0.31,0.3677544606393487
13,0.61,0.61,0.38937937488186924
13,0.61,symmetric,0.36874931663588095
13,symmetric,0.01,0.35473442297577296
13,symmetric,0.31,0.374367296243522
13,symmetric,0.61,0.3565748331872046
13,symmetric,symmetric,0.3607176340094921
13,asymmetric,0.01,0.33340378227922857
13,asymmetric,0.31,0.41191481444668754
13,asymmetric,0.61,0.4822678766969956
13,asymmetric,symmetric,0.3388605840820503
14,0.01,0.01,0.3339416601437452
14,0.01,0.31,0.34443736170878125
14,0.01,0.61,0.3492299392396214
14,0.01,symmetric,0.326325160944327
14,0.31,0.01,0.35991203008139677
14,0.31,0.31,0.32783369589065686
14,0.31,0.61,0.3632306770812237
14,0.31,symmetric,0.3577335252709074
14,0.61,0.01,0.38326868569730477
14,0.61,0.31,0.4028964293540884
14,0.61,0.61,0.42102856826373786
14,0.61,symmetric,0.3937113527546306
14,symmetric,0.01,0.3364318940511624
14,symmetric,0.31,0.33965411824729885
14,symmetric,0.61,0.3461445628383205
14,symmetric,symmetric,0.34066129534071204
14,asymmetric,0.01,0.3656393608029936
14,asymmetric,0.31,0.3695441262290204
14,asymmetric,0.61,0.4201672338764665
14,asymmetric,symmetric,0.3731034877916484
