Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.35272626617961184
5,0.01,0.31,0.37456561145875666
5,0.01,0.61,0.35286463159443426
5,0.01,symmetric,0.35892571107685156
5,0.31,0.01,0.3719262263006816
5,0.31,0.31,0.3538396819865849
5,0.31,0.61,0.3525243106390213
5,0.31,symmetric,0.3473748183886897
5,0.61,0.01,0.35257579424522445
5,0.61,0.31,0.35619934739939413
5,0.61,0.61,0.3498419921574893
5,0.61,symmetric,0.3597945848708505
5,symmetric,0.01,0.370478467621429
5,symmetric,0.31,0.3561645250243223
5,symmetric,0.61,0.3606201677141527
5,symmetric,symmetric,0.34511046763349135
5,asymmetric,0.01,0.35224383113566116
5,asymmetric,0.31,0.3638773891905723
5,asymmetric,0.61,0.407026482830417
5,asymmetric,symmetric,0.34001429364954117
6,0.01,0.01,0.34912989931772137
6,0.01,0.31,0.3477940864995739
6,0.01,0.61,0.3496306599246739
6,0.01,symmetric,0.35023469275430696
6,0.31,0.01,0.352513021716067
6,0.31,0.31,0.35525345211451625
6,0.31,0.61,0.3586624798464224
6,0.31,symmetric,0.3499001319787296
6,0.61,0.01,0.336955682511305
6,0.61,0.31,0.33460341872295846
6,0.61,0.61,0.39922196231723306
6,0.61,symmetric,0.33018464482321114
6,symmetric,0.01,0.3706693790005227
6,symmetric,0.31,0.36458194400444416
6,symmetric,0.61,0.35738351195184875
6,symmetric,symmetric,0.34780970592506305
6,asymmetric,0.01,0.34200791624065413
6,asymmetric,0.31,0.3632007677363526
6,asymmetric,0.61,0.3748943802986988
6,asymmetric,symmetric,0.35307294775122616
7,0.01,0.01,0.3919859081840781
7,0.01,0.31,0.3907579711070332
7,0.01,0.61,0.37303027145340406
7,0.01,symmetric,0.40850803780048345
7,0.31,0.01,0.39300645062469336
7,0.31,0.31,0.40853506366191306
7,0.31,0.61,0.41452086875053823
7,0.31,symmetric,0.39932764313914915
7,0.61,0.01,0.36050697170488005
7,0.61,0.31,0.422188245098042
7,0.61,0.61,0.4322097597611525
7,0.61,symmetric,0.4024860659381296
7,symmetric,0.01,0.3870522622671305
7,symmetric,0.31,0.3879187483881549
7,symmetric,0.61,0.40323011032622835
7,symmetric,symmetric,0.3997696721048607
7,asymmetric,0.01,0.3796310220097071
7,asymmetric,0.31,0.3476609506229665
7,asymmetric,0.61,0.44207733091615464
7,asymmetric,symmetric,0.3804726616154319
8,0.01,0.01,0.3693338162087041
8,0.01,0.31,0.37872606762095895
8,0.01,0.61,0.3829144085360707
8,0.01,symmetric,0.3655604489202832
8,0.31,0.01,0.376697131908999
8,0.31,0.31,0.4026479017763714
8,0.31,0.61,0.4041299744461985
8,0.31,symmetric,0.37179105859541817
8,0.61,0.01,0.384836655875222
8,0.61,0.31,0.3847729900983246
8,0.61,0.61,0.4336684036529991
8,0.61,symmetric,0.39568400881444754
8,symmetric,0.01,0.3737436833361205
8,symmetric,0.31,0.3641747215311081
8,symmetric,0.61,0.3820928271888653
8,symmetric,symmetric,0.3674559323853198
8,asymmetric,0.01,0.38528215932976567
8,asymmetric,0.31,0.38442346089905743
8,asymmetric,0.61,0.3514648181669122
8,asymmetric,symmetric,0.3961153336756038
9,0.01,0.01,0.35318175463500695
9,0.01,0.31,0.3844159148089653
9,0.01,0.61,0.4062865361805751
9,0.01,symmetric,0.370981320972622
9,0.31,0.01,0.38969222162292994
9,0.31,0.31,0.3595503026008263
9,0.31,0.61,0.4406596381064438
9,0.31,symmetric,0.3755451803352867
9,0.61,0.01,0.3770853828265005
9,0.61,0.31,0.3804684811893331
9,0.61,0.61,0.32991250423684815
9,0.61,symmetric,0.36526923622327767
9,symmetric,0.01,0.3665363020825661
9,symmetric,0.31,0.3823210247111778
9,symmetric,0.61,0.42735766325042324
9,symmetric,symmetric,0.3686483593439836
9,asymmetric,0.01,0.3497912451899924
9,asymmetric,0.31,0.3923412677491248
9,asymmetric,0.61,0.39717071202796833
9,asymmetric,symmetric,0.3547224734497411
10,0.01,0.01,0.38757106139945174
10,0.01,0.31,0.3666248688795543
10,0.01,0.61,0.3792485188319072
10,0.01,symmetric,0.3727596966037484
10,0.31,0.01,0.37986660765326363
10,0.31,0.31,0.38731255663599196
10,0.31,0.61,0.42264639443537205
10,0.31,symmetric,0.4062560683210332
10,0.61,0.01,0.4155725491622836
10,0.61,0.31,0.4059591110682975
10,0.61,0.61,0.3869561377798312
10,0.61,symmetric,0.4042420897332361
10,symmetric,0.01,0.40318934201699574
10,symmetric,0.31,0.3831583651235347
10,symmetric,0.61,0.38799712889220694
10,symmetric,symmetric,0.3897147270858966
10,asymmetric,0.01,0.3923291482734085
10,asymmetric,0.31,0.38672536165600047
10,asymmetric,0.61,0.42670957445084745
10,asymmetric,symmetric,0.36930935669956594
11,0.01,0.01,0.36662413318000026
11,0.01,0.31,0.3770208685938975
11,0.01,0.61,0.37021541917504597
11,0.01,symmetric,0.39155907773090914
11,0.31,0.01,0.3746228753179226
11,0.31,0.31,0.3748955575521156
11,0.31,0.61,0.3560953637911097
11,0.31,symmetric,0.38064201308522283
11,0.61,0.01,0.39435278020368086
11,0.61,0.31,0.4232374450816118
11,0.61,0.61,0.3921260496913087
11,0.61,symmetric,0.4102871559622628
11,symmetric,0.01,0.3745473103489866
11,symmetric,0.31,0.39476842485920133
11,symmetric,0.61,0.3648539955894055
11,symmetric,symmetric,0.3706663871947366
11,asymmetric,0.01,0.33807498515907375
11,asymmetric,0.31,0.3947399423973356
11,asymmetric,0.61,0.5470457249410963
11,asymmetric,symmetric,0.37566867447834457
12,0.01,0.01,0.33222870826663026
12,0.01,0.31,0.36599579775173857
12,0.01,0.61,0.32307798738005994
12,0.01,symmetric,0.33348483614411645
12,0.31,0.01,0.37711476127995586
12,0.31,0.31,0.3706108892337376
12,0.31,0.61,0.3609846871830531
12,0.31,symmetric,0.35368559614761397
12,0.61,0.01,0.37391657705309966
12,0.61,0.31,0.3735067566909532
12,0.61,0.61,0.41947652604261365
12,0.61,symmetric,0.4114863949735111
12,symmetric,0.01,0.361895099475891
12,symmetric,0.31,0.3460373667125694
12,symmetric,0.61,0.32966279009026256
12,symmetric,symmetric,0.33485181318452595
12,asymmetric,0.01,0.34017616751118623
12,asymmetric,0.31,0.3565089738852893
12,asymmetric,0.61,0.40122730465952
12,asymmetric,symmetric,0.34043331425823564
13,0.01,0.01,0.38310543402493025
13,0.01,0.31,0.3751787032752436
13,0.01,0.61,0.4059703069137267
13,0.01,symmetric,0.3824544304996728
13,0.31,0.01,0.35794262798668447
13,0.31,0.31,0.38114448771426207
13,0.31,0.61,0.3978607644507815
13,0.31,symmetric,0.3660205038789993
13,0.61,0.01,0.3907550409681245
13,0.61,0.31,0.4261436190822171
13,0.61,0.61,0.4116215634221002
13,0.61,symmetric,0.3789395337948227
13,symmetric,0.01,0.37785450554338407
13,symmetric,0.31,0.3794423306633228
13,symmetric,0.61,0.37742752329485013
13,symmetric,symmetric,0.3774891119985701
13,asymmetric,0.01,0.3743286831778076
13,asymmetric,0.31,0.4339948129291286
13,asymmetric,0.61,0.4807053795534113
13,asymmetric,symmetric,0.3675920094147464
14,0.01,0.01,0.3665224749896842
14,0.01,0.31,0.34783070884991935
14,0.01,0.61,0.34583085492381066
14,0.01,symmetric,0.35539281774125564
14,0.31,0.01,0.3733943636910141
14,0.31,0.31,0.3967522815856984
14,0.31,0.61,0.43055169550254985
14,0.31,symmetric,0.3551043087803066
14,0.61,0.01,0.3701876132070728
14,0.61,0.31,0.4468375869372044
14,0.61,0.61,0.45461425658373755
14,0.61,symmetric,0.38296596399978416
14,symmetric,0.01,0.36258898762816616
14,symmetric,0.31,0.35612652118415367
14,symmetric,0.61,0.33119150833146926
14,symmetric,symmetric,0.3682889681390721
14,asymmetric,0.01,0.3415602067231775
14,asymmetric,0.31,0.47112662672927763
14,asymmetric,0.61,0.37929693063378667
14,asymmetric,symmetric,0.4169574255013045
