Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.4819712801980433
5,0.01,0.31,0.45892512794744594
5,0.01,0.61,0.3893571785711321
5,0.01,symmetric,0.48130508161733265
5,0.31,0.01,0.47731932340093247
5,0.31,0.31,0.46014749680677774
5,0.31,0.61,0.37602736471137693
5,0.31,symmetric,0.4635229847669227
5,0.61,0.01,0.4724711076143935
5,0.61,0.31,0.46397484811808987
5,0.61,0.61,0.38043590737265937
5,0.61,symmetric,0.47151087608499653
5,symmetric,0.01,0.47980562848091235
5,symmetric,0.31,0.45957610011228284
5,symmetric,0.61,0.410775604860018
5,symmetric,symmetric,0.4768784153647439
5,asymmetric,0.01,0.4641886217566419
5,asymmetric,0.31,0.40846247345542874
5,asymmetric,0.61,0.44289124024663556
5,asymmetric,symmetric,0.4282275698156638
6,0.01,0.01,0.46699661761574734
6,0.01,0.31,0.4472794118472779
6,0.01,0.61,0.3998203771373772
6,0.01,symmetric,0.4612086496005921
6,0.31,0.01,0.45632377692949105
6,0.31,0.31,0.44117426942586424
6,0.31,0.61,0.42526360767012283
6,0.31,symmetric,0.4577213823445179
6,0.61,0.01,0.4645842243230455
6,0.61,0.31,0.4299618759868998
6,0.61,0.61,0.39913255558733796
6,0.61,symmetric,0.4518728074559366
6,symmetric,0.01,0.4650321125607883
6,symmetric,0.31,0.4321748880334673
6,symmetric,0.61,0.3864760995960557
6,symmetric,symmetric,0.45588266172106784
6,asymmetric,0.01,0.47182474349322984
6,asymmetric,0.31,0.45511202205521056
6,asymmetric,0.61,0.47882956027090456
6,asymmetric,symmetric,0.42845522044367645
7,0.01,0.01,0.4602558883706093
7,0.01,0.31,0.41659845126783523
7,0.01,0.61,0.4050857559675192
7,0.01,symmetric,0.43715173526136
7,0.31,0.01,0.4633545114448721
7,0.31,0.31,0.3991462826364048
7,0.31,0.61,0.4255563981152543
7,0.31,symmetric,0.425582141469068
7,0.61,0.01,0.46415454719672056
7,0.61,0.31,0.42354222018890375
7,0.61,0.61,0.4089139588555836
7,0.61,symmetric,0.4462035191680466
7,symmetric,0.01,0.4676829001510893
7,symmetric,0.31,0.3918186438271912
7,symmetric,0.61,0.42977193098248917
7,symmetric,symmetric,0.45643662867242485
7,asymmetric,0.01,0.4444065053326352
7,asymmetric,0.31,0.4380554118788826
7,asymmetric,0.61,0.46829825350398374
7,asymmetric,symmetric,0.4487991757335075
8,0.01,0.01,0.4515482041201603
8,0.01,0.31,0.40868299944629993
8,0.01,0.61,0.44178312908856854
8,0.01,symmetric,0.4322614907440184
8,0.31,0.01,0.45299245341624883
8,0.31,0.31,0.3946651754453257
8,0.31,0.61,0.44834006623104383
8,0.31,symmetric,0.41776196837241397
8,0.61,0.01,0.45408253662141607
8,0.61,0.31,0.40207906792792425
8,0.61,0.61,0.44115858206876535
8,0.61,symmetric,0.4391566882193107
8,symmetric,0.01,0.447743392103495
8,symmetric,0.31,0.3940953827709412
8,symmetric,0.61,0.4688827640639682
8,symmetric,symmetric,0.4168954394164228
8,asymmetric,0.01,0.447666359763515
8,asymmetric,0.31,0.45951156260542403
8,asymmetric,0.61,0.3987526678704012
8,asymmetric,symmetric,0.4324116256238406
9,0.01,0.01,0.4560890390594743
9,0.01,0.31,0.403777181707323
9,0.01,0.61,0.43398386318273735
9,0.01,symmetric,0.4610235075884691
9,0.31,0.01,0.4458596219703709
9,0.31,0.31,0.4016590347204381
9,0.31,0.61,0.45719483360294916
9,0.31,symmetric,0.426757501961894
9,0.61,0.01,0.4541175362681515
9,0.61,0.31,0.37929230639296807
9,0.61,0.61,0.4466555175368212
9,0.61,symmetric,0.4303067622034378
9,symmetric,0.01,0.45519747761448254
9,symmetric,0.31,0.39832721991248293
9,symmetric,0.61,0.4457606470431521
9,symmetric,symmetric,0.41870801787417017
9,asymmetric,0.01,0.451373496714256
9,asymmetric,0.31,0.4355746926815168
9,asymmetric,0.61,0.4383092878651105
9,asymmetric,symmetric,0.42328799172607284
10,0.01,0.01,0.43606264233801684
10,0.01,0.31,0.3957680865802943
10,0.01,0.61,0.43716228576925903
10,0.01,symmetric,0.42406021772773694
10,0.31,0.01,0.4247266546574612
10,0.31,0.31,0.3794658201306643
10,0.31,0.61,0.4860857303847278
10,0.31,symmetric,0.4023939845925186
10,0.61,0.01,0.4236235862330096
10,0.61,0.31,0.398390331316148
10,0.61,0.61,0.4524693415185517
10,0.61,symmetric,0.4290083063938308
10,symmetric,0.01,0.44754980866536453
10,symmetric,0.31,0.4042941130762082
10,symmetric,0.61,0.41229377418659896
10,symmetric,symmetric,0.4307493052628068
10,asymmetric,0.01,0.44274625037824966
10,asymmetric,0.31,0.4578419617309623
10,asymmetric,0.61,0.400683770416444
10,asymmetric,symmetric,0.4166397933325442
11,0.01,0.01,0.442080086517441
11,0.01,0.31,0.41015309974782715
11,0.01,0.61,0.44022893478068953
11,0.01,symmetric,0.42968985268791376
11,0.31,0.01,0.4228067174919627
11,0.31,0.31,0.4127411492916914
11,0.31,0.61,0.4073962743965357
11,0.31,symmetric,0.42425752321522964
11,0.61,0.01,0.41734496267324117
11,0.61,0.31,0.3901228044964864
11,0.61,0.61,0.3713312092234437
11,0.61,symmetric,0.40163528217333616
11,symmetric,0.01,0.4261985079861301
11,symmetric,0.31,0.3892446949895359
11,symmetric,0.61,0.44023176546613246
11,symmetric,symmetric,0.42649230121846815
11,asymmetric,0.01,0.43561636562753864
11,asymmetric,0.31,0.43098977665085625
11,asymmetric,0.61,0.44793864666618005
11,asymmetric,symmetric,0.40436833357696017
12,0.01,0.01,0.44175872095296914
12,0.01,0.31,0.4253776914690925
12,0.01,0.61,0.4071845452308158
12,0.01,symmetric,0.4161418722924021
12,0.31,0.01,0.4192234707515355
12,0.31,0.31,0.44220740734142555
12,0.31,0.61,0.4120838920283323
12,0.31,symmetric,0.3977407738104426
12,0.61,0.01,0.4171999376571775
