Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.3806354592120133
5,0.01,0.31,0.3389172222000595
5,0.01,0.61,0.33510345068804787
5,0.01,symmetric,0.34649688371970117
5,0.31,0.01,0.360082770220539
5,0.31,0.31,0.33299625528426313
5,0.31,0.61,0.31598809489485435
5,0.31,symmetric,0.34661284680692417
5,0.61,0.01,0.36830313406876664
5,0.61,0.31,0.35391854451263277
5,0.61,0.61,0.335474783442158
5,0.61,symmetric,0.36233927543822747
5,symmetric,0.01,0.3662463226466271
5,symmetric,0.31,0.33452406071538077
5,symmetric,0.61,0.3253915572840017
5,symmetric,symmetric,0.34096049706316095
5,asymmetric,0.01,0.35821731784110106
5,asymmetric,0.31,0.36831585935492434
5,asymmetric,0.61,0.4024840603389837
5,asymmetric,symmetric,0.36733055621367344
6,0.01,0.01,0.3518568889743972
6,0.01,0.31,0.3410813082313225
6,0.01,0.61,0.3532320007053893
6,0.01,symmetric,0.33047434806129977
6,0.31,0.01,0.35604640072183913
6,0.31,0.31,0.33449236752405515
6,0.31,0.61,0.37496594008314227
6,0.31,symmetric,0.33089145601615716
6,0.61,0.01,0.34777058322681115
6,0.61,0.31,0.329766008371965
6,0.61,0.61,0.3533371198462465
6,0.61,symmetric,0.3492663052693244
6,symmetric,0.01,0.3482734853589185
6,symmetric,0.31,0.3381408837256794
6,symmetric,0.61,0.34929580328114
6,symmetric,symmetric,0.3322468179230512
6,asymmetric,0.01,0.3575209243334229
6,asymmetric,0.31,0.3548552498641828
6,asymmetric,0.61,0.3891823703345747
6,asymmetric,symmetric,0.35835459637843964
7,0.01,0.01,0.34870627153633144
7,0.01,0.31,0.31714976567114667
7,0.01,0.61,0.34271219886793813
7,0.01,symmetric,0.3315358456666347
7,0.31,0.01,0.3416195776557273
7,0.31,0.31,0.33597225413311904
7,0.31,0.61,0.3478089366102551
7,0.31,symmetric,0.3369068178681138
7,0.61,0.01,0.3449733068138423
7,0.61,0.31,0.3269619378916442
7,0.61,0.61,0.3659486430095564
7,0.61,symmetric,0.34362803210375514
7,symmetric,0.01,0.3437271662201812
7,symmetric,0.31,0.34026490721159786
