Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.4887747083281416
5,0.01,0.31,0.4977828921680528
5,0.01,0.61,0.4551391331426197
5,0.01,symmetric,0.4568085868093399
5,0.31,0.01,0.4976027139505431
5,0.31,0.31,0.4491712585056411
5,0.31,0.61,0.44337392252880736
5,0.31,symmetric,0.458716409746774
5,0.61,0.01,0.4897594768560503
5,0.61,0.31,0.46729959547703126
5,0.61,0.61,0.4631566089294153
5,0.61,symmetric,0.48406965632659266
5,symmetric,0.01,0.4929629787625308
5,symmetric,0.31,0.46102266298059114
5,symmetric,0.61,0.44992132445430244
5,symmetric,symmetric,0.4529714136998345
5,asymmetric,0.01,0.4655065336214504
5,asymmetric,0.31,0.48167286162407874
5,asymmetric,0.61,0.49310288276113273
5,asymmetric,symmetric,0.43645347168406756
6,0.01,0.01,0.4789835380516763
6,0.01,0.31,0.44372911591195946
6,0.01,0.61,0.5049036831076047
6,0.01,symmetric,0.4633827079396405
6,0.31,0.01,0.4965332580697271
6,0.31,0.31,0.4362825256510591
6,0.31,0.61,0.4669053698688728
6,0.31,symmetric,0.4712115440994871
6,0.61,0.01,0.48809185248016357
6,0.61,0.31,0.46299759152023195
6,0.61,0.61,0.4377453128288442
6,0.61,symmetric,0.487937999907192
6,symmetric,0.01,0.4940697279156813
6,symmetric,0.31,0.4397129215149187
6,symmetric,0.61,0.5020215903237591
6,symmetric,symmetric,0.47154276144230717
6,asymmetric,0.01,0.46201222050512647
6,asymmetric,0.31,0.4976675512634983
6,asymmetric,0.61,0.4827294386695928
6,asymmetric,symmetric,0.43677790626980656
7,0.01,0.01,0.47397325232622933
7,0.01,0.31,0.5042325701961653
7,0.01,0.61,0.47532527072831016
7,0.01,symmetric,0.486143559462004
7,0.31,0.01,0.4826942275452722
7,0.31,0.31,0.44660330935860093
7,0.31,0.61,0.5324041764058433
7,0.31,symmetric,0.4553560076238602
7,0.61,0.01,0.47222501957791935
7,0.61,0.31,0.43495959965873726
7,0.61,0.61,0.4084340830513537
7,0.61,symmetric,0.4586124385964299
7,symmetric,0.01,0.4774787527508507
7,symmetric,0.31,0.460946342023051
7,symmetric,0.61,0.4844327603154556
7,symmetric,symmetric,0.4636649792675627
7,asymmetric,0.01,0.48343094141879067
7,asymmetric,0.31,0.5066052647472998
7,asymmetric,0.61,0.508065201732976
7,asymmetric,symmetric,0.4368744276566532
8,0.01,0.01,0.4621272421157042
8,0.01,0.31,0.4603662719717955
8,0.01,0.61,0.4540676267098067
8,0.01,symmetric,0.4332797236779313
8,0.31,0.01,0.4439121517815816
8,0.31,0.31,0.4526803599917094
8,0.31,0.61,0.4672120778413425
8,0.31,symmetric,0.4274658601619652
8,0.61,0.01,0.4610673885488822
8,0.61,0.31,0.43046973266170074
8,0.61,0.61,0.44189617484940924
8,0.61,symmetric,0.44227765841334915
8,symmetric,0.01,0.45242370520126385
8,symmetric,0.31,0.4823946459347895
8,symmetric,0.61,0.49097339379085214
8,symmetric,symmetric,0.4390213441026556
8,asymmetric,0.01,0.4493173992934715
8,asymmetric,0.31,0.4944019247730641
8,asymmetric,0.61,0.4941871453497193
8,asymmetric,symmetric,0.44283662498022086
9,0.01,0.01,0.46372865133388064
9,0.01,0.31,0.43725980094796807
9,0.01,0.61,0.5076464345161413
9,0.01,symmetric,0.4612817631129001
9,0.31,0.01,0.43722700188688035
9,0.31,0.31,0.4662045982228741
9,0.31,0.61,0.5268598488976087
9,0.31,symmetric,0.45304299109085844
9,0.61,0.01,0.4477192686537109
9,0.61,0.31,0.4413901625442459
9,0.61,0.61,0.46731978487949277
9,0.61,symmetric,0.4458756713341479
9,symmetric,0.01,0.47443709350665564
9,symmetric,0.31,0.43911700923033786
9,symmetric,0.61,0.5118122174816352
9,symmetric,symmetric,0.4415944480770959
9,asymmetric,0.01,0.4393696642558553
9,asymmetric,0.31,0.49012625372635665
9,asymmetric,0.61,0.4856334238873096
9,asymmetric,symmetric,0.45167540055991917
10,0.01,0.01,0.4559284197718439
10,0.01,0.31,0.48558186643019746
10,0.01,0.61,0.5253773696519499
10,0.01,symmetric,0.47051748026008433
10,0.31,0.01,0.43931766785744175
10,0.31,0.31,0.4950757593084113
10,0.31,0.61,0.5237042586331659
10,0.31,symmetric,0.4530189507890974
10,0.61,0.01,0.4327890963771389
10,0.61,0.31,0.45908512213429464
10,0.61,0.61,0.5118386186432033
10,0.61,symmetric,0.44832748651612525
10,symmetric,0.01,0.45567064230789056
10,symmetric,0.31,0.5059442077035065
10,symmetric,0.61,0.5389612292719452
10,symmetric,symmetric,0.4527196421223425
