Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.519160104349569
5,0.01,0.31,0.5219330130013108
5,0.01,0.61,0.5183816689369357
5,0.01,symmetric,0.4791640925457646
5,0.31,0.01,0.4927684295328433
5,0.31,0.31,0.517685338005261
5,0.31,0.61,0.5301494008313745
5,0.31,symmetric,0.5263103952191808
5,0.61,0.01,0.5529654891805597
5,0.61,0.31,0.5075720495580345
5,0.61,0.61,0.49556422190091637
5,0.61,symmetric,0.5003521484592731
5,symmetric,0.01,0.5080817253649557
5,symmetric,0.31,0.5149309405887829
5,symmetric,0.61,0.5419609106793851
5,symmetric,symmetric,0.48307287710252494
5,asymmetric,0.01,0.5749105646392133
5,asymmetric,0.31,0.6013877822140271
5,asymmetric,0.61,0.4964211081844582
5,asymmetric,symmetric,0.6021846479373836
6,0.01,0.01,0.5219402004268726
6,0.01,0.31,0.4937164428100773
6,0.01,0.61,0.4906158618166599
6,0.01,symmetric,0.48690805315218194
6,0.31,0.01,0.5128146240117675
6,0.31,0.31,0.48441201040098947
6,0.31,0.61,0.4865187558208521
6,0.31,symmetric,0.4694557082016848
6,0.61,0.01,0.5481617995239586
6,0.61,0.31,0.49437513786606635
6,0.61,0.61,0.5184946226624136
6,0.61,symmetric,0.5044067890822911
6,symmetric,0.01,0.49825675313650425
6,symmetric,0.31,0.49823882298197586
6,symmetric,0.61,0.5104534990082251
6,symmetric,symmetric,0.48742434450805533
6,asymmetric,0.01,0.5382388148293207
6,asymmetric,0.31,0.5442016518515582
6,asymmetric,0.61,0.5695537837773584
6,asymmetric,symmetric,0.5622070636228088
7,0.01,0.01,0.5135400856465521
7,0.01,0.31,0.4818386385660154
7,0.01,0.61,0.5502019125163389
7,0.01,symmetric,0.5035863636450546
7,0.31,0.01,0.5089590446457709
7,0.31,0.31,0.5011476886364826
7,0.31,0.61,0.5033261832898207
7,0.31,symmetric,0.46295337329282554
7,0.61,0.01,0.5332693625442234
7,0.61,0.31,0.48499852267728066
7,0.61,0.61,0.42410165334126465
7,0.61,symmetric,0.5088236164568202
7,symmetric,0.01,0.5152074055193789
7,symmetric,0.31,0.4827049251225856
7,symmetric,0.61,0.5351830616675025
7,symmetric,symmetric,0.493517154404262
7,asymmetric,0.01,0.5227861908849872
7,asymmetric,0.31,0.5199735089996707
7,asymmetric,0.61,0.5356522077821992
7,asymmetric,symmetric,0.5318531578920408
8,0.01,0.01,0.5078216042908283
8,0.01,0.31,0.47779411638913594
8,0.01,0.61,0.5225381756560725
8,0.01,symmetric,0.45665950673192
8,0.31,0.01,0.5004819412462673
8,0.31,0.31,0.47229371890310606
8,0.31,0.61,0.4856681208527596
8,0.31,symmetric,0.4424891508655028
8,0.61,0.01,0.5154480567749273
8,0.61,0.31,0.45807628135885076
8,0.61,0.61,0.4360700054364586
8,0.61,symmetric,0.5172760139527729
8,symmetric,0.01,0.49074445484126167
8,symmetric,0.31,0.5110958913269397
8,symmetric,0.61,0.5457406024889042
8,symmetric,symmetric,0.4515082145201268
8,asymmetric,0.01,0.5362104997691699
8,asymmetric,0.31,0.5573376718940093
8,asymmetric,0.61,0.5080901086921799
8,asymmetric,symmetric,0.4851086945633123
9,0.01,0.01,0.5174787687114143
9,0.01,0.31,0.47719165224950344
9,0.01,0.61,0.4775837149857036
9,0.01,symmetric,0.4865951739149687
9,0.31,0.01,0.5006887264680687
9,0.31,0.31,0.5072603420123167
9,0.31,0.61,0.5128028553680203
9,0.31,symmetric,0.46919209574997583
9,0.61,0.01,0.5116178716987929
9,0.61,0.31,0.46366001602186036
9,0.61,0.61,0.44826602016984335
9,0.61,symmetric,0.5135248988677292
9,symmetric,0.01,0.49789819241594446
9,symmetric,0.31,0.4967040254940934
9,symmetric,0.61,0.49997616132809825
9,symmetric,symmetric,0.4719002680616647
9,asymmetric,0.01,0.4764466107084616
9,asymmetric,0.31,0.5456380355541495
9,asymmetric,0.61,0.46986492570522276
9,asymmetric,symmetric,0.5084109499590586
10,0.01,0.01,0.4983115993880154
10,0.01,0.31,0.5242855717590549
10,0.01,0.61,0.48848399465798054
10,0.01,symmetric,0.47357045963583594
10,0.31,0.01,0.48963383416541006
10,0.31,0.31,0.4895110526555335
10,0.31,0.61,0.4947179822515874
10,0.31,symmetric,0.44714989234464475
10,0.61,0.01,0.5036443939996321
10,0.61,0.31,0.44984464495060755
10,0.61,0.61,0.4400069057599447
10,0.61,symmetric,0.5067702319654995
10,symmetric,0.01,0.5009957643316844
10,symmetric,0.31,0.5130033122279058
10,symmetric,0.61,0.47236722640230944
10,symmetric,symmetric,0.46888528859246426
10,asymmetric,0.01,0.4567225074252403
10,asymmetric,0.31,0.5342494942022071
10,asymmetric,0.61,0.560133011770508
10,asymmetric,symmetric,0.5411445874131413
11,0.01,0.01,0.5143104540752982
11,0.01,0.31,0.5091061296274999
11,0.01,0.61,0.4905645522156872
11,0.01,symmetric,0.4664424182286692
11,0.31,0.01,0.5065929534227974
11,0.31,0.31,0.5237630504181419
11,0.31,0.61,0.5046593984563942
11,0.31,symmetric,0.4699565138834807
11,0.61,0.01,0.5029875531363416
11,0.61,0.31,0.4827983337344241
11,0.61,0.61,0.4677509806946562
11,0.61,symmetric,0.4981834041585637
11,symmetric,0.01,0.5037460249442262
11,symmetric,0.31,0.5204118054309299
11,symmetric,0.61,0.5058343638478726
11,symmetric,symmetric,0.47034051057099313
11,asymmetric,0.01,0.5024621008058638
11,asymmetric,0.31,0.5559004088200618
11,asymmetric,0.61,0.4778251599274837
11,asymmetric,symmetric,0.5265427421814685
12,0.01,0.01,0.503727094611167
12,0.01,0.31,0.48985972818916296
12,0.01,0.61,0.45872632850120704
12,0.01,symmetric,0.48567025837667743
12,0.31,0.01,0.48869403520162463
12,0.31,0.31,0.4910535033707511
12,0.31,0.61,0.45832647987218533
12,0.31,symmetric,0.4719067727994406
12,0.61,0.01,0.48853360710983024
12,0.61,0.31,0.46822460232719504
12,0.61,0.61,0.5043268001450162
12,0.61,symmetric,0.49562465813132234
12,symmetric,0.01,0.5173454114736799
12,symmetric,0.31,0.4821300067007817
12,symmetric,0.61,0.497099621728282
12,symmetric,symmetric,0.4675000555550282
12,asymmetric,0.01,0.4868368356879674
12,asymmetric,0.31,0.5241561928735174
12,asymmetric,0.61,0.4653716402366208
12,asymmetric,symmetric,0.4944193904716387
13,0.01,0.01,0.4699597509156575
13,0.01,0.31,0.513005809785816
13,0.01,0.61,0.45920639299983257
13,0.01,symmetric,0.4563896206709532
13,0.31,0.01,0.477871447879197
13,0.31,0.31,0.48309858438917935
13,0.31,0.61,0.5275990847578206
13,0.31,symmetric,0.4794562494599676
13,0.61,0.01,0.46052666142606713
13,0.61,0.31,0.44510082019288605
13,0.61,0.61,0.4838956653243857
13,0.61,symmetric,0.4641519074080606
13,symmetric,0.01,0.46678658890764535
13,symmetric,0.31,0.5022537726479985
13,symmetric,0.61,0.46461103103889284
13,symmetric,symmetric,0.4703187864272509
13,asymmetric,0.01,0.4755812121479846
13,asymmetric,0.31,0.5279534895967211
13,asymmetric,0.61,0.5048248576971118
13,asymmetric,symmetric,0.4633141067916235
14,0.01,0.01,0.473572888793858
14,0.01,0.31,0.5233836551635044
14,0.01,0.61,0.44171354013698466
14,0.01,symmetric,0.4412328535172453
14,0.31,0.01,0.44832841974326804
14,0.31,0.31,0.4894940030481581
14,0.31,0.61,0.4505525865225125
14,0.31,symmetric,0.4521042147206501
14,0.61,0.01,0.4492681752550388
14,0.61,0.31,0.44221975120311796
14,0.61,0.61,0.4641439129319143
14,0.61,symmetric,0.45935788676284617
14,symmetric,0.01,0.46846015131145224
14,symmetric,0.31,0.49684657490117773
14,symmetric,0.61,0.48753744792599624
14,symmetric,symmetric,0.43994447513000107
14,asymmetric,0.01,0.4702143987832566
14,asymmetric,0.31,0.5025231698220264
14,asymmetric,0.61,0.5089502137325217
14,asymmetric,symmetric,0.4589879608654656
