Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.3854397814172894
5,0.01,0.31,0.4154252773219239
5,0.01,0.61,0.40698014504155394
5,0.01,symmetric,0.42112083818208335
5,0.31,0.01,0.35993652994179903
5,0.31,0.31,0.40671631383085416
5,0.31,0.61,0.4236009445976553
5,0.31,symmetric,0.388615197294811
5,0.61,0.01,0.34153527786837945
5,0.61,0.31,0.34541375140176855
5,0.61,0.61,0.39083456525679944
5,0.61,symmetric,0.3674555685135834
5,symmetric,0.01,0.4165869927846516
5,symmetric,0.31,0.4301994949091748
5,symmetric,0.61,0.40442019823744657
5,symmetric,symmetric,0.41284848053265816
5,asymmetric,0.01,0.35518986843262984
5,asymmetric,0.31,0.47409157376249383
5,asymmetric,0.61,0.4550473975731256
5,asymmetric,symmetric,0.44998217500864096
6,0.01,0.01,0.3789384088620468
6,0.01,0.31,0.38561547496390847
6,0.01,0.61,0.37742947818678213
6,0.01,symmetric,0.37240335545387343
6,0.31,0.01,0.3849922225766975
6,0.31,0.31,0.3982701086094314
6,0.31,0.61,0.39695294814488674
6,0.31,symmetric,0.36295182093929496
6,0.61,0.01,0.3593538741814295
6,0.61,0.31,0.3654462029353162
6,0.61,0.61,0.3863734876840022
6,0.61,symmetric,0.3425675599693483
6,symmetric,0.01,0.3569899734375556
6,symmetric,0.31,0.3771323782700798
6,symmetric,0.61,0.40604488609449735
6,symmetric,symmetric,0.39460096585949356
6,asymmetric,0.01,0.3845927414891574
6,asymmetric,0.31,0.4302989060595434
6,asymmetric,0.61,0.4624160117941023
6,asymmetric,symmetric,0.4112363976610669
7,0.01,0.01,0.36824273416026526
7,0.01,0.31,0.38466949977802795
7,0.01,0.61,0.3849742371688421
7,0.01,symmetric,0.383620575826381
7,0.31,0.01,0.351480962051789
7,0.31,0.31,0.4046346151440637
7,0.31,0.61,0.40324138555017225
7,0.31,symmetric,0.38045279224738154
7,0.61,0.01,0.32911853037979444
7,0.61,0.31,0.354480997882149
7,0.61,0.61,0.38979095778544803
7,0.61,symmetric,0.3422238245832659
7,symmetric,0.01,0.3836593443607277
7,symmetric,0.31,0.3635423801305787
7,symmetric,0.61,0.3838145388155519
7,symmetric,symmetric,0.3639719508448373
7,asymmetric,0.01,0.3695817848644464
7,asymmetric,0.31,0.45619848931153584
7,asymmetric,0.61,0.4755478788486092
7,asymmetric,symmetric,0.4002193379053015
8,0.01,0.01,0.3875075905873051
8,0.01,0.31,0.36894122009304764
8,0.01,0.61,0.39452964597243356
8,0.01,symmetric,0.383527834933621
8,0.31,0.01,0.3758157266946951
8,0.31,0.31,0.3934524467085113
8,0.31,0.61,0.4086910191816596
8,0.31,symmetric,0.3648499264553471
8,0.61,0.01,0.35392383040242437
8,0.61,0.31,0.38811579196551327
8,0.61,0.61,0.39472206443319957
8,0.61,symmetric,0.38078213224551155
8,symmetric,0.01,0.4009749411175454
8,symmetric,0.31,0.4049482799763891
8,symmetric,0.61,0.37396697080015223
8,symmetric,symmetric,0.381763175400735
8,asymmetric,0.01,0.340977133183184
