Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.46061654994297224
5,0.01,0.31,0.4266234615541677
5,0.01,0.61,0.4118028966112779
5,0.01,symmetric,0.42754853484145955
5,0.31,0.01,0.42733729357689604
5,0.31,0.31,0.41854652056061353
5,0.31,0.61,0.4134916554686005
5,0.31,symmetric,0.4073420729107518
5,0.61,0.01,0.4571206296233826
5,0.61,0.31,0.4393150620256579
5,0.61,0.61,0.4449080133298541
5,0.61,symmetric,0.45281716751963075
5,symmetric,0.01,0.41908180810879925
5,symmetric,0.31,0.39370129346045035
5,symmetric,0.61,0.44244615483167965
5,symmetric,symmetric,0.4180924212092614
5,asymmetric,0.01,0.37849934171650995
5,asymmetric,0.31,0.45809363889987453
5,asymmetric,0.61,0.5247184903032618
5,asymmetric,symmetric,0.44778210977610133
6,0.01,0.01,0.42377695148337535
6,0.01,0.31,0.4312523714974475
6,0.01,0.61,0.44447182859458073
6,0.01,symmetric,0.4329336629675063
6,0.31,0.01,0.38718133500633184
6,0.31,0.31,0.3812425944391336
6,0.31,0.61,0.39108459198211376
6,0.31,symmetric,0.3937501516878708
6,0.61,0.01,0.41974632879000806
6,0.61,0.31,0.3972283444169055
6,0.61,0.61,0.4156127124860181
6,0.61,symmetric,0.3856032764542261
6,symmetric,0.01,0.3964883509752182
6,symmetric,0.31,0.3882937513967799
6,symmetric,0.61,0.42229336434973624
6,symmetric,symmetric,0.38848565193132845
6,asymmetric,0.01,0.41764458147171424
6,asymmetric,0.31,0.4853071990431245
6,asymmetric,0.61,0.5414152227815617
6,asymmetric,symmetric,0.44645489049135284
7,0.01,0.01,0.39913588538578754
7,0.01,0.31,0.41646361834530865
7,0.01,0.61,0.3825816607867824
7,0.01,symmetric,0.4300464021755034
7,0.31,0.01,0.39118511340261636
7,0.31,0.31,0.3754492436430691
7,0.31,0.61,0.39368737432907974
7,0.31,symmetric,0.38753334280759083
7,0.61,0.01,0.3872117085106161
7,0.61,0.31,0.3742021851940991
7,0.61,0.61,0.3854527962773305
7,0.61,symmetric,0.3684656245469377
7,symmetric,0.01,0.3735319292241705
7,symmetric,0.31,0.43015581203256736
