Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.5219735919461649
5,0.01,0.31,0.5048227698022494
5,0.01,0.61,0.5110566480773847
5,0.01,symmetric,0.5132604218312602
5,0.31,0.01,0.4791178808885904
5,0.31,0.31,0.47971056680699864
5,0.31,0.61,0.45967492221272277
5,0.31,symmetric,0.5058358265956578
5,0.61,0.01,0.4978765495264076
5,0.61,0.31,0.502114997910852
5,0.61,0.61,0.5038021140601454
5,0.61,symmetric,0.4990881550242078
5,symmetric,0.01,0.5154183738083183
5,symmetric,0.31,0.4776870163733298
5,symmetric,0.61,0.47598253401325363
5,symmetric,symmetric,0.4737860853099848
5,asymmetric,0.01,0.48975005852654413
5,asymmetric,0.31,0.46602963042427126
5,asymmetric,0.61,0.5305387812506994
5,asymmetric,symmetric,0.4534221823301583
6,0.01,0.01,0.44859208415699303
6,0.01,0.31,0.3882202633052699
6,0.01,0.61,0.38948542289507654
6,0.01,symmetric,0.41277027433082575
6,0.31,0.01,0.4727338978759043
6,0.31,0.31,0.4106378957922736
6,0.31,0.61,0.4091048246280067
6,0.31,symmetric,0.4517785530468163
6,0.61,0.01,0.4677689102707987
6,0.61,0.31,0.4869075044423529
6,0.61,0.61,0.45967179272327846
6,0.61,symmetric,0.4823717306457855
6,symmetric,0.01,0.4433336057197912
6,symmetric,0.31,0.3902227516974159
6,symmetric,0.61,0.411390087272352
6,symmetric,symmetric,0.40711364114101717
6,asymmetric,0.01,0.4487020837747903
6,asymmetric,0.31,0.4802697526604502
6,asymmetric,0.61,0.5537417826264652
6,asymmetric,symmetric,0.3974025678709963
7,0.01,0.01,0.457079840175688
7,0.01,0.31,0.4033806929223188
7,0.01,0.61,0.3861603732091064
7,0.01,symmetric,0.42068661209947933
7,0.31,0.01,0.46003647999623914
7,0.31,0.31,0.4137150116728838
7,0.31,0.61,0.4143279570081052
7,0.31,symmetric,0.44745328350482744
7,0.61,0.01,0.4499730019833797
7,0.61,0.31,0.45896260859646315
7,0.61,0.61,0.4349257303986282
7,0.61,symmetric,0.4556516561182521
7,symmetric,0.01,0.4406567428000771
7,symmetric,0.31,0.42741507875095636
7,symmetric,0.61,0.39985485158885653
7,symmetric,symmetric,0.4275736567432287
7,asymmetric,0.01,0.4388621681126369
7,asymmetric,0.31,0.44991178519272224
7,asymmetric,0.61,0.5073034117284789
7,asymmetric,symmetric,0.4271022001672025
8,0.01,0.01,0.405057257082981
8,0.01,0.31,0.3855181266644764
8,0.01,0.61,0.4031437154291168
8,0.01,symmetric,0.393121892938038
8,0.31,0.01,0.4120278854533342
8,0.31,0.31,0.40554484696096826
8,0.31,0.61,0.40197528225941254
8,0.31,symmetric,0.3922887562004497
8,0.61,0.01,0.427790781883189
8,0.61,0.31,0.43437823472102527
8,0.61,0.61,0.4151397258020588
8,0.61,symmetric,0.4236690071678413
8,symmetric,0.01,0.42546204850709907
8,symmetric,0.31,0.38026674823988604
8,symmetric,0.61,0.3782508750265792
8,symmetric,symmetric,0.4028766439530624
8,asymmetric,0.01,0.4486886899475156
8,asymmetric,0.31,0.4590807135576066
8,asymmetric,0.61,0.5214885193632673
8,asymmetric,symmetric,0.42263180909322484
9,0.01,0.01,0.3996964010655996
9,0.01,0.31,0.40675182178121133
9,0.01,0.61,0.42251238452264417
9,0.01,symmetric,0.42216268271364266
9,0.31,0.01,0.4045278075578753
9,0.31,0.31,0.40236986505676925
9,0.31,0.61,0.40445975793815064
9,0.31,symmetric,0.4144534506769204
9,0.61,0.01,0.4081272639977389
9,0.61,0.31,0.4125765772276985
9,0.61,0.61,0.4040103002608107
9,0.61,symmetric,0.412377090839802
9,symmetric,0.01,0.39473977300348495
9,symmetric,0.31,0.3834307018519915
9,symmetric,0.61,0.3902308253898426
9,symmetric,symmetric,0.44776221719022125
9,asymmetric,0.01,0.39978068504389674
9,asymmetric,0.31,0.4474171945937212
9,asymmetric,0.61,0.48153199935415564
9,asymmetric,symmetric,0.3927904307538836
10,0.01,0.01,0.366662446763652
10,0.01,0.31,0.3818689649162725
10,0.01,0.61,0.4127172813183183
10,0.01,symmetric,0.36977241856574383
10,0.31,0.01,0.3879678463262689
10,0.31,0.31,0.36241011889878455
10,0.31,0.61,0.37066799509432075
10,0.31,symmetric,0.38080542072282064
10,0.61,0.01,0.3798592404874087
10,0.61,0.31,0.4037931471083386
10,0.61,0.61,0.38439542415870404
10,0.61,symmetric,0.4039035845372874
10,symmetric,0.01,0.38090408734848175
10,symmetric,0.31,0.3889535425374868
10,symmetric,0.61,0.3967130558685523
10,symmetric,symmetric,0.3767820329862764
10,asymmetric,0.01,0.39077198477233044
10,asymmetric,0.31,0.46025071250349353
10,asymmetric,0.61,0.5645228399897397
10,asymmetric,symmetric,0.40304148489679215
11,0.01,0.01,0.37502461798304354
11,0.01,0.31,0.4036448284692866
11,0.01,0.61,0.42436695096776944
11,0.01,symmetric,0.41444342380636134
11,0.31,0.01,0.3560240076960621
11,0.31,0.31,0.37902680970078123
11,0.31,0.61,0.3828819136207441
11,0.31,symmetric,0.38343395077262504
11,0.61,0.01,0.39165533825103016
11,0.61,0.31,0.3810242458420103
11,0.61,0.61,0.3976066821302211
11,0.61,symmetric,0.3890928094543764
11,symmetric,0.01,0.3947424944487617
11,symmetric,0.31,0.38649715824536784
11,symmetric,0.61,0.4359403358617919
11,symmetric,symmetric,0.39958206040128635
11,asymmetric,0.01,0.36407523073983145
11,asymmetric,0.31,0.4781981609693261
11,asymmetric,0.61,0.5256180471001412
11,asymmetric,symmetric,0.379690068457325
12,0.01,0.01,0.3480213125888791
12,0.01,0.31,0.37416959348606466
12,0.01,0.61,0.41667981454394526
12,0.01,symmetric,0.3784813415379887
12,0.31,0.01,0.36076565279502076
12,0.31,0.31,0.3867376355988666
12,0.31,0.61,0.38561092111305034
12,0.31,symmetric,0.3686024689712079
12,0.61,0.01,0.33648164474342
12,0.61,0.31,0.36678724322895767
12,0.61,0.61,0.37589460542539516
12,0.61,symmetric,0.3569608080157169
12,symmetric,0.01,0.3700279301724895
12,symmetric,0.31,0.37522224476403293
12,symmetric,0.61,0.40230005503087374
12,symmetric,symmetric,0.38225471023309243
12,asymmetric,0.01,0.35528732877562624
12,asymmetric,0.31,0.49099661423508806
12,asymmetric,0.61,0.5478638381873284
12,asymmetric,symmetric,0.40331745595188306
13,0.01,0.01,0.35853860206412286
13,0.01,0.31,0.44127671295231086
13,0.01,0.61,0.46666393023927016
13,0.01,symmetric,0.3793513951703078
13,0.31,0.01,0.35588827071083967
13,0.31,0.31,0.37205392136226123
13,0.31,0.61,0.38340072967311
13,0.31,symmetric,0.35656554465836676
13,0.61,0.01,0.3280103853599107
13,0.61,0.31,0.3740299550224473
13,0.61,0.61,0.37849497676698274
13,0.61,symmetric,0.34291494698749625
13,symmetric,0.01,0.3675861958657513
13,symmetric,0.31,0.40751728489078853
13,symmetric,0.61,0.445011546586031
13,symmetric,symmetric,0.37554720229096195
13,asymmetric,0.01,0.37363390656939227
13,asymmetric,0.31,0.47118108206933174
13,asymmetric,0.61,0.5503800204635328
13,asymmetric,symmetric,0.38866136997665984
14,0.01,0.01,0.3490104723282658
14,0.01,0.31,0.39877587423457456
14,0.01,0.61,0.42218303890195596
14,0.01,symmetric,0.35839675522836595
14,0.31,0.01,0.35959778042711094
14,0.31,0.31,0.3982665374534894
14,0.31,0.61,0.39494897298598747
14,0.31,symmetric,0.3562879536028816
14,0.61,0.01,0.3320885993357254
14,0.61,0.31,0.3724446554050042
14,0.61,0.61,0.41713829682688497
14,0.61,symmetric,0.35205631400198073
14,symmetric,0.01,0.34285103685103274
14,symmetric,0.31,0.3911579708081638
14,symmetric,0.61,0.43122559678621414
14,symmetric,symmetric,0.3432577293581986
14,asymmetric,0.01,0.36701801780231375
14,asymmetric,0.31,0.5017896963627142
14,asymmetric,0.61,0.5363533497209033
14,asymmetric,symmetric,0.3831097559771482
