Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.52502649859307
5,0.01,0.31,0.501208789828257
5,0.01,0.61,0.519231683965862
5,0.01,symmetric,0.5703243190873882
5,0.31,0.01,0.4840941497062931
5,0.31,0.31,0.4580178404224461
5,0.31,0.61,0.5060077101705422
5,0.31,symmetric,0.49537933016385455
5,0.61,0.01,0.4768662228510676
5,0.61,0.31,0.4742011283981696
5,0.61,0.61,0.4645508806866635
5,0.61,symmetric,0.49142005960701096
5,symmetric,0.01,0.49591236049983234
5,symmetric,0.31,0.5392689382235487
5,symmetric,0.61,0.5326606112783154
5,symmetric,symmetric,0.5423526547470773
5,asymmetric,0.01,0.4738507267428648
5,asymmetric,0.31,0.46843161325005306
5,asymmetric,0.61,0.5020799988481822
5,asymmetric,symmetric,0.46442938355898367
6,0.01,0.01,0.49169402483499186
6,0.01,0.31,0.5070180402018977
6,0.01,0.61,0.4845990756621537
6,0.01,symmetric,0.5320151842959663
6,0.31,0.01,0.4293850265438311
6,0.31,0.31,0.4302707424840749
6,0.31,0.61,0.40881739024622266
6,0.31,symmetric,0.4443855422560861
6,0.61,0.01,0.43437078927380496
6,0.61,0.31,0.4425234776906682
6,0.61,0.61,0.4135349190646056
6,0.61,symmetric,0.3938277362205305
6,symmetric,0.01,0.44953236604075547
6,symmetric,0.31,0.48340193914695145
6,symmetric,0.61,0.5246162167650262
6,symmetric,symmetric,0.49110490813703395
6,asymmetric,0.01,0.46170594887035676
6,asymmetric,0.31,0.4725670608799318
6,asymmetric,0.61,0.5091903465980647
6,asymmetric,symmetric,0.43010064010872356
7,0.01,0.01,0.4392895790506705
7,0.01,0.31,0.4837582036072114
7,0.01,0.61,0.4528537058528869
7,0.01,symmetric,0.44051666849460336
7,0.31,0.01,0.41976457520651317
7,0.31,0.31,0.4366063691462677
7,0.31,0.61,0.44160444154145967
7,0.31,symmetric,0.41469028021467286
7,0.61,0.01,0.4072843933072025
7,0.61,0.31,0.41279002913568746
7,0.61,0.61,0.41613341400119186
7,0.61,symmetric,0.4175512437389335
7,symmetric,0.01,0.47389908253453833
7,symmetric,0.31,0.42336606075291455
7,symmetric,0.61,0.46151765161145286
7,symmetric,symmetric,0.4273791808564006
7,asymmetric,0.01,0.4093904263724947
7,asymmetric,0.31,0.4697250231659084
7,asymmetric,0.61,0.5228012137081012
7,asymmetric,symmetric,0.4082598242700702
8,0.01,0.01,0.45677483351727255
8,0.01,0.31,0.472808839732389
8,0.01,0.61,0.47321838067625194
8,0.01,symmetric,0.45480090903737747
8,0.31,0.01,0.39989363598176286
8,0.31,0.31,0.4223899569801755
8,0.31,0.61,0.43899408926992145
8,0.31,symmetric,0.42043912472136635
8,0.61,0.01,0.3656884395216326
8,0.61,0.31,0.40342474935566736
8,0.61,0.61,0.3918392119578987
8,0.61,symmetric,0.3943748681889375
8,symmetric,0.01,0.4286555101719625
8,symmetric,0.31,0.4463728076101779
8,symmetric,0.61,0.4483515543858331
8,symmetric,symmetric,0.4473339888363176
8,asymmetric,0.01,0.4221920734943072
8,asymmetric,0.31,0.4680192507539286
8,asymmetric,0.61,0.5157132994711962
8,asymmetric,symmetric,0.4824120527842354
9,0.01,0.01,0.41363658865319464
9,0.01,0.31,0.4548901801746453
9,0.01,0.61,0.42638912338765617
9,0.01,symmetric,0.4254578270963562
9,0.31,0.01,0.3486997879223323
9,0.31,0.31,0.38588721416123617
9,0.31,0.61,0.3888974807903645
9,0.31,symmetric,0.3586469644626236
9,0.61,0.01,0.3637708957588825
9,0.61,0.31,0.3800691245452264
9,0.61,0.61,0.3846576794284762
9,0.61,symmetric,0.3639422723147332
9,symmetric,0.01,0.3958104205989812
9,symmetric,0.31,0.42797771954283703
9,symmetric,0.61,0.4488007224296832
9,symmetric,symmetric,0.42171102716264786
9,asymmetric,0.01,0.39826810004326263
9,asymmetric,0.31,0.4860292303889927
9,asymmetric,0.61,0.5179172385695946
9,asymmetric,symmetric,0.451386873333151
10,0.01,0.01,0.39617199684558757
10,0.01,0.31,0.462369461202021
10,0.01,0.61,0.46836906914635923
10,0.01,symmetric,0.43259045191574214
10,0.31,0.01,0.3703213929572069
10,0.31,0.31,0.3947159075319391
10,0.31,0.61,0.39913923320384703
10,0.31,symmetric,0.37876829693199016
10,0.61,0.01,0.36499746099423425
10,0.61,0.31,0.364283822384674
10,0.61,0.61,0.3802162367777949
10,0.61,symmetric,0.3687988748763996
10,symmetric,0.01,0.37844552544570154
10,symmetric,0.31,0.45292732721992535
10,symmetric,0.61,0.4807691833100945
10,symmetric,symmetric,0.39589078253467125
10,asymmetric,0.01,0.3968886306389929
10,asymmetric,0.31,0.47702934888560156
10,asymmetric,0.61,0.5384038786489072
10,asymmetric,symmetric,0.45273829862067183
11,0.01,0.01,0.376760403684812
11,0.01,0.31,0.3846842878876889
11,0.01,0.61,0.41345009058381454
11,0.01,symmetric,0.4147905245402725
11,0.31,0.01,0.3561836296389363
11,0.31,0.31,0.3966780295245874
11,0.31,0.61,0.3804328741367986
11,0.31,symmetric,0.37643951111553337
11,0.61,0.01,0.33685876374650126
11,0.61,0.31,0.3647692897874656
11,0.61,0.61,0.38865722014888376
11,0.61,symmetric,0.3501269015644332
11,symmetric,0.01,0.38841789780496244
11,symmetric,0.31,0.4179105516821698
11,symmetric,0.61,0.4271312504661589
11,symmetric,symmetric,0.39970041988409494
11,asymmetric,0.01,0.4171734080446717
11,asymmetric,0.31,0.4910654357774212
11,asymmetric,0.61,0.5451899443193988
11,asymmetric,symmetric,0.43510959045088116
12,0.01,0.01,0.3816662957653299
12,0.01,0.31,0.43167063808290745
12,0.01,0.61,0.4589526646628876
12,0.01,symmetric,0.39384159500936894
12,0.31,0.01,0.3589484198854818
12,0.31,0.31,0.40701827275940056
12,0.31,0.61,0.43539220609546225
12,0.31,symmetric,0.3482260743037912
12,0.61,0.01,0.3412320637295552
12,0.61,0.31,0.36008267635304264
12,0.61,0.61,0.38034697624766634
12,0.61,symmetric,0.34863756305524557
12,symmetric,0.01,0.3738719913829127
12,symmetric,0.31,0.39868589363725443
12,symmetric,0.61,0.44943467650770935
12,symmetric,symmetric,0.38052146147396315
12,asymmetric,0.01,0.3855140825698078
12,asymmetric,0.31,0.4959920816475631
12,asymmetric,0.61,0.50098647084709
12,asymmetric,symmetric,0.4251683212898632
13,0.01,0.01,0.38451228660009384
13,0.01,0.31,0.3976152620547438
13,0.01,0.61,0.4086192506089346
13,0.01,symmetric,0.37088488226264776
13,0.31,0.01,0.37544226096115535
13,0.31,0.31,0.3913595478773241
13,0.31,0.61,0.4171595141652765
13,0.31,symmetric,0.35594960818280946
13,0.61,0.01,0.3546982221078988
13,0.61,0.31,0.3580185061082525
13,0.61,0.61,0.3755799016351128
13,0.61,symmetric,0.3438656694173313
13,symmetric,0.01,0.36769286738511914
13,symmetric,0.31,0.412307222661144
13,symmetric,0.61,0.40473220475610083
13,symmetric,symmetric,0.401473570774054
13,asymmetric,0.01,0.37212809896390847
13,asymmetric,0.31,0.4539718832471233
13,asymmetric,0.61,0.5000995556640748
13,asymmetric,symmetric,0.42459227719187803
14,0.01,0.01,0.3881716772648783
14,0.01,0.31,0.4156222721851313
14,0.01,0.61,0.45647527148017375
14,0.01,symmetric,0.38265632776663433
14,0.31,0.01,0.36269626429132723
14,0.31,0.31,0.3910733724980712
14,0.31,0.61,0.4023693644620255
14,0.31,symmetric,0.3705758604725074
14,0.61,0.01,0.3582396099204562
14,0.61,0.31,0.37241904692061845
14,0.61,0.61,0.41357457470657405
14,0.61,symmetric,0.35294692769805197
14,symmetric,0.01,0.36555767124020583
14,symmetric,0.31,0.4177232848943415
14,symmetric,0.61,0.4453032188951252
14,symmetric,symmetric,0.37621234960814454
14,asymmetric,0.01,0.37063914897884337
14,asymmetric,0.31,0.5085053020823308
14,asymmetric,0.61,0.5003685341371027
