Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.43899441290157554
5,0.01,0.31,0.4301827694600167
5,0.01,0.61,0.4493127689624158
5,0.01,symmetric,0.45718456664827134
5,0.31,0.01,0.36462997655565815
5,0.31,0.31,0.4073065730437029
5,0.31,0.61,0.4587602174177313
5,0.31,symmetric,0.4082897177284477
5,0.61,0.01,0.39993803470647665
5,0.61,0.31,0.409629493470561
5,0.61,0.61,0.3745166466843507
5,0.61,symmetric,0.40244089109089665
5,symmetric,0.01,0.4276638381732136
5,symmetric,0.31,0.4371639226666081
5,symmetric,0.61,0.4324416949564281
5,symmetric,symmetric,0.44405292573440464
5,asymmetric,0.01,0.3553077008070221
5,asymmetric,0.31,0.518269733341775
5,asymmetric,0.61,0.5540406980559306
5,asymmetric,symmetric,0.49323217726304786
6,0.01,0.01,0.3835829910358804
6,0.01,0.31,0.4134046262584597
6,0.01,0.61,0.4685945554170441
6,0.01,symmetric,0.43260831736196953
6,0.31,0.01,0.3950262002915501
6,0.31,0.31,0.41252211184737736
6,0.31,0.61,0.4318611025402037
6,0.31,symmetric,0.40483860475973676
6,0.61,0.01,0.3657639998142183
6,0.61,0.31,0.3886234082132745
6,0.61,0.61,0.38193163159949334
6,0.61,symmetric,0.3936509249075077
6,symmetric,0.01,0.40914620365170246
6,symmetric,0.31,0.42217383252073043
6,symmetric,0.61,0.4370570888397412
6,symmetric,symmetric,0.4135384467082617
6,asymmetric,0.01,0.38811117194691236
6,asymmetric,0.31,0.5203942057276237
6,asymmetric,0.61,0.5546234245237618
6,asymmetric,symmetric,0.4462080893076992
7,0.01,0.01,0.39223527344454084
7,0.01,0.31,0.45764486576650903
7,0.01,0.61,0.44166782962128337
7,0.01,symmetric,0.4607101381356823
7,0.31,0.01,0.39511036278149714
7,0.31,0.31,0.40994747665713793
7,0.31,0.61,0.40976223760534536
7,0.31,symmetric,0.3876078356063948
7,0.61,0.01,0.36212506070753253
7,0.61,0.31,0.3529945243119933
7,0.61,0.61,0.3451495404933069
7,0.61,symmetric,0.3505594659382409
7,symmetric,0.01,0.4087709224288793
7,symmetric,0.31,0.4234005596116535
7,symmetric,0.61,0.4466912312964534
7,symmetric,symmetric,0.41836033387256855
7,asymmetric,0.01,0.36169351054940907
7,asymmetric,0.31,0.49014386942504856
7,asymmetric,0.61,0.5609790168698127
7,asymmetric,symmetric,0.4476060746525627
8,0.01,0.01,0.3925269473067803
8,0.01,0.31,0.4128170381795977
8,0.01,0.61,0.433234671172997
8,0.01,symmetric,0.42847492947923915
8,0.31,0.01,0.31781846988005413
8,0.31,0.31,0.37415630031341784
8,0.31,0.61,0.3752132655621101
8,0.31,symmetric,0.3375798016778357
8,0.61,0.01,0.3370589700214381
8,0.61,0.31,0.33593874950686214
8,0.61,0.61,0.35354108513307486
8,0.61,symmetric,0.35360062483648025
8,symmetric,0.01,0.3692236019432696
8,symmetric,0.31,0.373699257007982
8,symmetric,0.61,0.43089197172823646
8,symmetric,symmetric,0.38892012084778604
8,asymmetric,0.01,0.32099641040508325
8,asymmetric,0.31,0.5039749597688857
8,asymmetric,0.61,0.5438241169249569
8,asymmetric,symmetric,0.442194568716183
9,0.01,0.01,0.3443704902291981
9,0.01,0.31,0.4069265320375626
9,0.01,0.61,0.39446237541947177
9,0.01,symmetric,0.3935630782497637
9,0.31,0.01,0.3063493700633402
9,0.31,0.31,0.3486608580988631
9,0.31,0.61,0.3542616572449348
9,0.31,symmetric,0.345784710190939
9,0.61,0.01,0.3208519729324551
9,0.61,0.31,0.3304613551353161
9,0.61,0.61,0.3519245132883557
9,0.61,symmetric,0.32924290949180013
9,symmetric,0.01,0.3491835020370766
9,symmetric,0.31,0.3737591386846357
9,symmetric,0.61,0.3893596175745666
9,symmetric,symmetric,0.3821744086244707
9,asymmetric,0.01,0.3348783948582241
9,asymmetric,0.31,0.5150491008061078
9,asymmetric,0.61,0.5606227103586238
9,asymmetric,symmetric,0.4005032988985266
10,0.01,0.01,0.35113006125434826
10,0.01,0.31,0.4046746733354717
10,0.01,0.61,0.43513762322404786
10,0.01,symmetric,0.39548563380471113
10,0.31,0.01,0.3145695703550057
10,0.31,0.31,0.34943342746123063
10,0.31,0.61,0.3958810631516055
10,0.31,symmetric,0.33663001540774967
10,0.61,0.01,0.3202218691091824
10,0.61,0.31,0.32698413280567434
10,0.61,0.61,0.32735045914820277
10,0.61,symmetric,0.32758363630907933
10,symmetric,0.01,0.33400284542105974
10,symmetric,0.31,0.4129922151313091
10,symmetric,0.61,0.4474600001272096
10,symmetric,symmetric,0.35478750373520823
10,asymmetric,0.01,0.3356478014695202
10,asymmetric,0.31,0.5135994182492025
10,asymmetric,0.61,0.5719247186579832
10,asymmetric,symmetric,0.44456129094259805
11,0.01,0.01,0.35758894024003607
11,0.01,0.31,0.4033575122877979
11,0.01,0.61,0.4129606406751591
11,0.01,symmetric,0.37799375809893127
11,0.31,0.01,0.34458186454392914
11,0.31,0.31,0.36327274398350906
11,0.31,0.61,0.3980864044650536
11,0.31,symmetric,0.3359699778242644
11,0.61,0.01,0.3194342390077415
11,0.61,0.31,0.34485823812500155
11,0.61,0.61,0.3409843090407716
11,0.61,symmetric,0.32817884522669133
11,symmetric,0.01,0.3606424164620568
11,symmetric,0.31,0.40902301440779926
11,symmetric,0.61,0.39552045494187493
11,symmetric,symmetric,0.3716826491961418
11,asymmetric,0.01,0.3566235521812929
11,asymmetric,0.31,0.47635101874328095
11,asymmetric,0.61,0.5483349586567732
11,asymmetric,symmetric,0.457435712398086
12,0.01,0.01,0.34933008821973366
12,0.01,0.31,0.39093525823216874
12,0.01,0.61,0.4295862887839128
12,0.01,symmetric,0.36854759478649846
12,0.31,0.01,0.331701965216824
12,0.31,0.31,0.3657968387427133
12,0.31,0.61,0.37612222675504375
12,0.31,symmetric,0.3560366406159918
12,0.61,0.01,0.34058557529153916
12,0.61,0.31,0.36201722199225506
12,0.61,0.61,0.3684276419601062
12,0.61,symmetric,0.34472975486744956
12,symmetric,0.01,0.3620257865945931
12,symmetric,0.31,0.37293604047850387
12,symmetric,0.61,0.40291490756142184
12,symmetric,symmetric,0.3855390602746222
12,asymmetric,0.01,0.3267598643379746
12,asymmetric,0.31,0.538837509306355
12,asymmetric,0.61,0.5038547828738105
12,asymmetric,symmetric,0.4116923056137705
13,0.01,0.01,0.3689057062163045
13,0.01,0.31,0.3839252286574927
13,0.01,0.61,0.4177607794706215
13,0.01,symmetric,0.374592052012682
13,0.31,0.01,0.3780249885110327
13,0.31,0.31,0.39723828116759036
13,0.31,0.61,0.4177983599110237
13,0.31,symmetric,0.3858515549981868
13,0.61,0.01,0.3430438876234692
13,0.61,0.31,0.38388806627037525
13,0.61,0.61,0.3834176115924688
13,0.61,symmetric,0.356209138133105
13,symmetric,0.01,0.3821709046061788
13,symmetric,0.31,0.38402002951028147
13,symmetric,0.61,0.41743028515977176
