Topics,Alpha,Beta,Coherence
5,0.01,0.01,0.4783096994632623
5,0.01,0.31,0.48095016422529124
5,0.01,0.61,0.43870807809805623
5,0.01,symmetric,0.4377031918294019
5,0.31,0.01,0.5198832978023289
5,0.31,0.31,0.4514825511329
5,0.31,0.61,0.4175458278924502
5,0.31,symmetric,0.4571561539456487
5,0.61,0.01,0.5018776559534344
5,0.61,0.31,0.4557997045861864
5,0.61,0.61,0.4493993431397135
5,0.61,symmetric,0.45465699219566913
5,symmetric,0.01,0.49237556516184267
5,symmetric,0.31,0.42940374582240126
5,symmetric,0.61,0.4404405695504304
5,symmetric,symmetric,0.46151697885863896
5,asymmetric,0.01,0.4792528602746594
5,asymmetric,0.31,0.5022070165606543
5,asymmetric,0.61,0.4678684841107293
5,asymmetric,symmetric,0.5243925348186468
6,0.01,0.01,0.4278065813929921
6,0.01,0.31,0.417598467330847
6,0.01,0.61,0.4261995830713747
6,0.01,symmetric,0.4069938387356036
6,0.31,0.01,0.4634584669796202
6,0.31,0.31,0.3968374086466819
6,0.31,0.61,0.40328736800317677
6,0.31,symmetric,0.4394545933844847
6,0.61,0.01,0.500756622702221
6,0.61,0.31,0.42755926119142934
6,0.61,0.61,0.4454862446956001
6,0.61,symmetric,0.4409163004611861
6,symmetric,0.01,0.44430906204461
6,symmetric,0.31,0.4198872411317418
6,symmetric,0.61,0.4003230470513755
6,symmetric,symmetric,0.37762958189323953
6,asymmetric,0.01,0.4490042313517215
6,asymmetric,0.31,0.5081315547493079
6,asymmetric,0.61,0.49521556204382255
6,asymmetric,symmetric,0.5101933644339843
7,0.01,0.01,0.40226699359754353
7,0.01,0.31,0.42022553162966986
7,0.01,0.61,0.39717656802753515
7,0.01,symmetric,0.4286248450147281
7,0.31,0.01,0.42470198781312923
7,0.31,0.31,0.38538214984021957
7,0.31,0.61,0.3782406016865714
7,0.31,symmetric,0.4179131814823795
7,0.61,0.01,0.4417082649584715
7,0.61,0.31,0.44670613564565953
7,0.61,0.61,0.4408741450241826
7,0.61,symmetric,0.41994448410961205
7,symmetric,0.01,0.4116269801022672
