User_name,Review title,Review Rating,Review date,Review_body
sisubalan,"Great Season 2, Best Graphic and Faithful Ending",8/10,26 December 2022,"A manga or comic book adapted live action series. 2 seasons of 50 minutes to 1+hr series. Falls in action, adventure, horror, thriller, fantasy, scifi and family categories. Despite the family category, its not much of a family friendly series as it full with horrofic scenes for adults. Its about several groups of people stuck in limbo (a world between life and death), surviving every day in that world by participating in a death match to extend their stay until beating the leaders so that they can escape to the real world without knowing the reasons behind all the misery & losses.Season 1 was okay for me and not much of a fan since the storyline was not fully followed the manga/comic book. Meanwhile, season 2 was the best as it was faithful to the comic till the end. Although i felt it was rushed but the graphics and acting skills of the casts were tremendously improved since the previous season. Great audio and action scenes. New amazing line of casts and huge improvements on the previous main casts. Some parts were tearjerking, some games were exciting to be watched on bigger screen. Exceed my expectations, hence its one of my favorite show of the year 2022. Highly recommended."
secret_arash,Surprisingly Great!,9/10,29 December 2022,"This show is definitely among my 20 favorite shows, ever. It is exciting, it is fun, it is amusing, and it is full of emotions. The thing that I find stranger than the fact that so few people have watched it, is how low its ratings are. Honestly, people what more do you want?! The episodes ratings are so unfair. Each and everyone of them deserve much higher than this; especially the ending (if that is in fact the ending). Season 2 Finale was the best ending possible for the show. However, I do hope that they renew it for a third one because it has a lot of potential.Anyway, if you're looking for a 16-hour worth of time roller coaster that makes you stay awake for two days, Alice in Borderland is your answer.
                
                    134 out of 175 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
tachiiderp,Probably the best anime/manga live adaptation I've seen,9/10,28 December 2022,"To be fair, it's not that big of a feat, especially considering Netflix produced Death Note and Cowboy Bebop, iconic stories in their own right, and failed miserably with them.But boy, they hit a home run with Alice in Borderland. The post-apocalyptic landscape of Japan looks incredible, the design and stage of each games are fantastic, and for the most part, the characters aren't all weirdos, *cough*, well a lot of them are but that's the charm, right?Now you can probably find a ton of plot holes with how some of the games went, and you will totally see this in many other reviews. But, just the sheer volume of so many types of survival games to be adapted was a delight to see.Not all games are equal in quality, but some really stands out, like most games that involves Chishiya and most of the games in season 1. All the games are absolutely brutal, whether it is a physical challenge, a mental challenge, or both. I was very surprised to see how some of the action scenes are done so well, like Usagi's parkour scenes, and probably the most memorable one that involves a katana.As far as the story goes, you're watching this and reading this review because you have some interest at least with the survival games genre like Saw and Battle Royale. Alice in Borderland mixes Battle Royale with a decent amount of wit and a bit more set of relatable characters. I even thought some character progression to be delightfully done even if they're simple and straight-forward.Alice in Borderland has gotten a lot of things right, and is probably the best anime/manga live adaptation right now. It certainly makes someone like me who has seen way too many terrible live adaptations of anime/manga interested to see if Netflix can hit another home run next time.* I would love to talk about the ending but this will not be a spoiler review. But I do appreciate the adaptation for faithfully adapting the ending (which I enjoyed, but it's certainly not everyone's cup of tea). *"
gazzalodi,Japanese Gut Punching,8/10,12 January 2021,"If you get tired of OP characters in non-existent peril with Netflix's US productions, this one will fix that for you. After we watched several episodes my son walked away shaking his head and said, ""I'm going to go read All Quiet on the Western Front"" to cheer myself up.It's pretty darn good. A couple of the games had some holes in them, and some of the character behaviors didn't make sense outside of it's what the writers wanted them to do at that moment. But really watching this is more about feeling like the last year wasn't so bad compared to what these characters are going through. Hoping Season 2 can keep pace.
                
                    89 out of 115 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
thekhpro,I'm shocked and paralyzed by this tv show! SUPER ENORMOUSLY RECOMMENDED!,10/10,14 January 2023,"I wasn't waiting for this at all! Japan has always been known for 'inventing' technologies and others are just for 'plagiarising'. I do think that the same thing happened with this masterpiece. It didn't get the fame 'Squid Game' got which actually had reasonable motive to copy the fragments from the movie. After all, it's all about the power of the marketing. Simple excuse: 'the genre didn't appeal to all the audiences' But still, that's the best fantasy, mystery and thriller genre tv series I've ever watched so far. How hard the other competitors try to do better, It's the least likely that it will cease to be my bestie series of all time...
                
                    21 out of 26 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
Tweekums,Impressive 'trapped-in-a-deadly-game' action,8/10,25 December 2020,"Arisu Ryohei is unemployed and spends most of his time playing video games. One day he meets up with two friends in the middle of Tokyo. After some mild hijinks they hide in a cubicle in a public lavatory... suddenly the lights go out and they can no longer hear the general hubbub of the busy city. They emerge to find the city empty. Not long afterwards signs lead them to a building, where they are joined by two girls. Here they are forced to play a deadly game, after which they are awarded a playing card. It emerges that they will be forced to take place in such games on a regular basis. Later we are introduced to Usagi, a skilled climber, who later joins up with Usagi. They gradually learn more about the games and what the cards signify while trying to discover if there is a way back to their previous lives.I really enjoyed this series; little time is wasted with set-up; the viewers are thrown into the action along with our protagonists. We know as little about the world they are in as they do and only learn more as they do. Early games make it clear just how dangerous this world is; just because a character is introduced early does not guarantee their survival. The scenes within the games are very tense, and frequently quite gory; there is also a fair amount of fan-service as characters wear beachwear in later episodes for reasons explained in the series. The way the dynamic between the characters changes is interesting; especially after our surviving protagonists find a location with many more players. The cast, both main and secondary does a solid job making the fantastical situation believable. The effects are mostly good but a couple of times the CGI is a bit obvious. As the final episode ends many questions are answered but more are raised; these people's problems clearly aren't over... hopefully there will be at least one more season.These comments are based on watching the series in Japanese with English subtitles."
gyutaxx,Much better than Squid Game,10/10,27 October 2021,"It is a little long-drawn, like an anime, but thats the japanese production. It is much more exciting and entertainment than the Squid Game.It is undervalued compared to squid game.
                
                    232 out of 318 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
andrewchristianjr,SEASON 1.,8/10,26 December 2022,"Deserves the hype that Squid Game later received. Unorthodox and unprepareable, often cruel, situations brought on by some god's sick sense of humour contrast with the good and bad of humanity which bring this series to life. Recommended.Synopsis:
An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive. It covers the Borderland Games' first phase with the arrival of the players and the completion of the Spot Card Games.An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive. It covers the Borderland Games' first phase with the arrival of the players and the completion of the Spot Card Games.
                
                    31 out of 45 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
bscale,Season two is watchable but not as good as the first,7/10,23 December 2022,"The first season of Alice in Borderland is one of the most gruesome and exciting pieces of TV show. For me it is better than Squidgame even it has its flaws.I highly expected to see the sequel but after binge watching, it is still entertaining with higher budget for CG, more blockbuster actions, but it the end the story failed flat. It has nothing exciting anymore, the games seem easier than the first season.The ending is alright but along the way it becomes normal action TV show with very high budget. Anyway I recommended only the first season if you don't have much time.First 8/10
Second 6/10.
                
                    88 out of 133 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
shanayneigh,Such a shame,6/10,29 September 2021,"This show started out great. There was a real sense of suspense and mystery. The images of an empty Tokyo, and especially the Shibuya scramble, looks outstanding. Save for some green screen fuzz in their hair, the environment looks absolutely real. The story in the first half is engaging and the acting quite good, with very little of the Japanese style overacting which is far too common.And then we get to the beach where the show falls flat right on its face. The show loses momentum and its mysterious appeal. The isolation in the first part of this show really worked in its favor, but once they get to the beach seemingly half of Tokyo has shown up there to party. The beach is riddled with bad actors, especially the guy with the assault rifle and the guy with face tattoos and a katana. Everything they do is so over the top. They have drama school rejects written all over them.Perhaps this is a very faithful adaptation of the manga. Supposedly the manga was inspired by Lewis Carroll's Alice in Wonderland, but I don't see how except in the most superficial sense in the form of a couple of the characters' names. If there is a second season I'll probably watch it, but if I said I'm dying to see it, that would be a lie.Edit: Well, season 2 was also stretched pretty thinly. It felt like we spent almost an eternity at the container park and the prison. But the ending was very beautiful, which was enough for me to raise my score by one star. I've read about the comic on which this show is based, and it seems like the characters, the antagonists in particular, are more fleshed out. Because I felt like they lacked motivation, especially considering the ending."
