User_name,Review title,Review Rating,Review date,Review_body
Valhala90,Why not?,7/10,17 September 2018,"Yeah sure, there were things I disliked and casting that I couldn't quite digest (Byakuya and Renji look like home made cosplay, I won't go there), but It was fun watching this movie. I have mixed feelings, but the ""good old Bleach feeling"" is there. It's certainly better than most, if not all, anime/manga live action adaptation, it's not quite on Rurouni Kenshin live action level, but I like it. I also think, when doing live action, that they have to respect certain absolute things in manga/anime storyline, but also change a few things, and that's exactly what this live action adaptation of Bleach did. I also hope there will be sequel since the whole saving Rukia and soul society arc is the best arc in Bleach.
                
                    96 out of 106 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
chintok91,It's decent,8/10,17 September 2018,"We all know feature films of animes are trash. Dragon Balls, Full Metal Alchemist, Attack on Titan etc. But this one is decent. I think Japanes just starting to find that grey area between movie and anime. /Blade of Immortal, this one/ I would give this movie about 7 stars, but I gave 8 because, I know there are people who would just give a star only for sake of being picky.
                
                    63 out of 76 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
tenshi_ippikiookami,A pleasant surprise,7/10,2 June 2019,"Taking into account how much live action movies based on manga have disappointed me in the past, I came into ""Bleach"" with low expectations (probably not the only one). However, this movie adaptation is funny, with acceptable action set pieces and relatable characters (on top of not stretching its running time endlessly and pointlessly (even if it falls a little bit into this trap in its third act)). And, even if you don't know anything about the manga, it is easy to jump into the story, as the movie does a great job of introducing the world and building it up from scratch. Totally worth watching!
                
                    11 out of 12 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
alisonc-1,A Wild Ride,8/10,28 July 2018,"Ichigo (Sota Fukushi) is a high school student who happens to see ghosts and other beings invisible to most humans. When he encounters a Soul Reaper named Rukia (Hana Sugisaki), against his will he helps her to dispatch a Hollow, an evil soul, and by doing so becomes a Soul Reaper himself. He doesn't want the job, but only he can help a now-wounded Rukia recover her own powers and return to her plane of reality. Too bad there are other entities out there that don't appreciate a human taking on a Soul Reaper's job.... This film is based on a very popular manga which I haven't actually read, so I can't say how faithful it is or isn't to the original. I *can* say that the action scenes are accompanied by perfect heavy metal on the soundtrack, the monsters are *really* cool looking and the two leads are adorable. See it for yourself and see if you agree!"
claudiu111,A must see.,9/10,20 July 2018,"A very good adaptation of the first arc of Bleach(well half of it anyway). Just go see this movie when you can.
                
                    109 out of 142 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
renardscifi,"Multiple rewatches in, it just keeps getting better.",10/10,27 July 2018,"Go see it. There is a reason people are raving about it as the first decently done adaptation of an anime. It's not perfect, but it is legitimately great and keeps the spirit and feel of the series. Most of the negative reviews of this I've seen so far seem to be coming from people who either don't know the series very well (a hazard with professional reviewers, since they cover so many things), don't understand Japanese cinema (some acting techniques/nuances are different between East and West), or who are just determined to hate it because everything doesn't look 100% identical to the manga (I've seen far worse anime to live-action with far bigger budgets, believe me). This movie condenses the entire half of the first season of the anime (books 1-6), and leaves room for a sequel without leaving hanging threads in the event one never happens.Like many other fans, I was very, VERY skeptical of this movie when it first was announced. I was honestly that person going, ""Oh god, another live action movie of an anime. Can't wait to see how cheesy and bad this ends up.""I'm a convert. You win, Mr. Sato. Take my left kidney and sell it, and whatever else you need to fund the next movie in your trilogy. I've seen it three times now (I live in Japan) and am going again tomorrow. I'm still not bored watching it. It's the sort of movie that fans of the series will keep finding new gems tucked away with each rewatch. If you're not intimately familiar with the manga or anime however, don't sweat it - this is very accessible to newcomers.Characters - 9/10 There are some physical differences (Urahara is older, Masaki's hair isn't red, etc.), but the acting is solid and the character dynamics/relationships are exactly the way they are in the manga. Even if the character looked a bit different, I believed the actors as the characters. Ichigo and Rukia may not have the exact same hair or face as you'd expect, but they absolutely nailed the characters - Ichigo's determination and grit, Rukia's spunky sarcasm, it's all really great.Costumes - 8/10 There was some saving of the budget here for fight scenes - you won't see exact replicas of captain's haoris or the tabi with straw sandals. Rather, the film tries to make things more realistic (i.e. a more natural orange for Ichigo's hair, smaller size hairpins for Orihime, etc.) It looks less like the wacky cosplay of the Rock Musical for Bleach and more like a legit world people actually live in.Music - 10/10 Invokes the anime without copying it, and Alexandros has two kickass songs that make Bleach feel fresh and edgy and hip with a touch of Japan's ancient history and the otherwordliness of the Soul Society.Plot - 9/10 Whenever possible, the film follows the manga almost exactly. For the purposes of sticking 6 manga volumes into one movie, some minor characters (Jinta, Mizuiro, Ururu, etc.) are not introduced, and some events get condensed (i.e. Uryu's hollow bait kicks off the Hexapodus fight that makes Ichigo take being a shinigami seriously, not a Menos Grande). Overall, the story is still very close to the way the manga told it, just condensed.Props - 8/10 Soul Pagers get replaced with something more like a glowing, teardrop shaped stone that looks more otherwordly (let's be honest, when Bleach debuted flip phones were cool, now they're a bit ancient), the zanpakuto are very accurate (yes, even Ichigo's, ignore the reviewers claiming he gets a different sword - the iconic one he's constantly shown with was not the first one he ended up with, and that first sword is what's used here). Rukia's glove and many other things are exactly like the manga.Set - 9/10 Rather than waste the tiny budget this film had in exactly reproducing floorplans and sets (a mere 3.5 million, which is nothing in terms of filmmaking on this level), things are made to feel similar. Ichigo's room is not laid out exactly the same as the manga/anime, but it still has a bed, desk, closet for Rukia to hide in, etc. and feels like Ichigo's room. Same with the Kurosaki household - it feels convincing, if not exactly the same as the manga showed it.Fights: 9.5/10 There are so many good moments here I can't list them all. Is there some visible wire-fu jumping at points? Yes. Does it ruin the action? No, it's no worse than some of the jumps Captain America made in a few films (you know, where they land far too lightly and stiffly to be actually ""falling/landing""?) The Hollows look less cartoonishly simple and more menacing, yet they still have the same mechanics (Cero, claws, medusa-like fur). At one point Ichigo's sword gets stuck in the ground and Renji RUNS UP THE BLADE EDGE and attacks. The swordplay is fantastic.Seriously, give it a chance. There is enough here to please all but the hardcore sticklers (who were never really going to like anything made on less than a Marvel Avengers budget). I was pleasantly surprised, and the movie feels enough like falling in love with the series all over again that I keep going back. I've never dropped $60 and counting on tickets for one movie, especially not an anime adaptation. GO SEE IT!"
ciolo,Well done!,9/10,17 September 2018,"I'm fan of anime series and what I just saw in this Bleach movie didn't disapoint me. I consider it an excellent pilot episode for the amazing sequels to come!
                
                    37 out of 51 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
JabbaTheHans,Fun to watch and definitely worth your time,7/10,19 September 2018,"The movie focused on the 1st arc of the anime-- it remained loyal to the story, but changed some things too, so there's something to look forward to. Acting was not that great, but decent. Some plot holes and underutilized characters, but those can be forgiven. However those who haven't watched the anime / read the manga will have difficulty in understanding certain parts of the story because some of the explanations were incomplete (I think the writers assume viewers should have at least watched the anime already before watching the movie). When I first saw the trailer months back, I was worried that the CGI will be disappointing, but I was wrong. CGI was excellent and the hollows were awesome! This is a must watch for anime / manga fans!
                
                    10 out of 13 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
softtama,Good adaptation from anime into the live action,7/10,19 September 2018,"This is my first time to write a movie review. Note that I have read/watched all chapters/episodes of Bleach before I watch this movie. Let's be honest, everything in this movie is excellent in terms of live action adaptation! CGI of the special effects are done very well (the Hollows are too!). But of course there's no such thing as perfection out there especially when we are talking about anime live action movie. I can only complain two things here. The portrayal of Byakuya and Renji, I think they could be way much better, especially at their hair style. The last from me, and one of the most important aspects of movie success, is the music. Throughout the entire movie, I don't feel the big hype with the music as much as when I'm watching the anime. I really hope they will bring some aspects from the anime OST to the sequel and that will be a huge yes from me!7.5/10 👏"
billkmc,Finally a manga to live action done right,10/10,14 September 2018,"I have to admit I was taken aback by how good this was, as a massive fan of the manga I was worried they would make a mess of it like many of the other live action adaptations. 
I'll keep it brief as I don't was to add any spoilers. This keeps the feel of the manga and the humour is spot on without getting silly. 
Obviously there are changes in the story but it's done so it doesn't get bogged down and keeps the story flowing. 
The main antagonist is grand fisher with renji and byakuya more in the background driving the story to its conclusion. It also sets up pretty much perfectly for the Ryoka Invasion to be the sequel. 
Ok I appear to had added spoilers but to be fair this isn't anything you wouldn't have gathered from the trailers. 
Overall it looks great it's well acted and the hollows look menacing without them being over done. 
Roll on part two I'm counting down already."
