User_name,Review title,Review Rating,Review date,Review_body
ruidanielbarrossss,Cowboy Bebop 2021 doesn't deserve a rating of ten or one.,7/10,20 November 2021,"I won't make comparisons with the original animation.I think this show in general is an excellent production. The actors are ok and have great chemistry together.But this show takes a bold approach to the way it tells the story.It tries, perhaps excessively, to be faithful to an Anime narrative structure.It's a western. It's a space opera. It's a buddy cop comedy. It has a noir atmosphere mixed with ultra-over the top action scenes. All mixed in a crazy colored juice.This cocktail isn't easy to make into a live series.And the end result is a highly stylized TV show that is beautiful to watch, well interpreted, but not everything blends in very well.This will certainly work for many people, but for many it won't.So, in the end, what counts is a matter of taste.Try it and you may like it or not.I personally enjoyed some episodes more than others, but I wouldn't mind seeing more.A solid 7 out of 10 for me."
ladyliliroche,Did not expect it to be this enjoyable,8/10,19 November 2021,"Watched the anime like ages ago and went into this with no expectation and got hook.First episode wasn't that great as a pilot but things pick up by the second episode.The fight can look a bit slow sometimes but everything else is enjoyable. The set designs are amazing. I love the retro feel of it. Really captured the cowboy bebop mood.And god the music... Yoko Kanno's Tank! Is that amazing that I didn't skip the intro at all. The whole jazz soundtracks feel so refreshing after watching movies with similar sounds.John Cho is amazing too as Spike. He got the mannerism and coolness, and so is Faye Valentine. I love the witty humour and sarcasm. Jet Black also holds the team together.Plus point for Ein. Adorable."
gabriel_sanchez,"Take it with a grain of salt, but it is a good show if not by their crazy fanbase mad because their beloved anime is being adapted",8/10,29 November 2021,"A funky adaptation that can be seen as its standalone-alternate version of the original Cowboy Bebop.I get it fans are trashing the show because they either are not following the source material fatefully or are following it too much when not necessary, like Radical Ed's introduction, but, hey, I don't mind the adaptation. I take it as a fresher look into the original.Overall, the show is good. All actors fit their role in either a good way or a corky way, but it works.It is goofy, very goofy at times. I believe the show is a work of passion too, so I understand they try to be as ""anime-like"" as they can.With today's Hollywood standards, I don't mind these adaptations. The tech is here, we just need to make it happen. It is definitely way better than Dragonball Evolution (2009)."
catdogmanfish,How is this rated so low?!,10/10,21 November 2021,"Let me start by saying I went into this thinking it would be terrible, boy was I wrong. This series is very well done. They may have some tech not in the anime, and they take a couple liberties with some characters, but they really went deep in their adaptation. The characters, John Cho's Spike is a perfect example, move and speak just like their anike counterparts, the detail is so intricate, it is amazing. I hate to be ""that guy"" but I daresay alot of the negative reviews are probably from people who haven't even seen the show and they just rated it low based on the casting and their dogged defense of the anime. Give this a shot, it is so very good.
                
                    224 out of 383 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
yooniverse,Captures the spirit of the original,8/10,21 November 2021,"I know a lot of people are going to be upset that it's not 100% faithful to the anime series, but it manages to capture the style without all the gender or race bending that seems to be so prevalent these days with adaptations. The first episode pays homage to the original, before venturing off to on its own.The show does a good job with the little details, like screen splits and wipes, the soundtrack, ship designs, astral gates, and so on. The humor and the jokes are spot on in the spirit of the original, as are the space western feel, though it's missing a little bit of grittiness. Things are a little too sparkly like JJ Abrams' Star Trek.Acting feels a little forced, but by the third episode or so, I got used to it or they got the screen chemistry right.All in all, with all the recent disappointing adaptations like Foundation, Wheel of Time, Star Trek Discovery, Picard, etc., I'm enjoying Bebop and watching it with a smile on my face."
dubwize,Great adaptation with hints of Firefly,8/10,20 November 2021,"Cowboys, western themes mixed with Sci Fi, Bounty Hunters done with ostentatious flair. That is Cowboy Bebop. Witty, charming and while it is clever, sometimes the camp is overdone. Smart humor, great CGi and worthy of many more episodes.
                
                    126 out of 208 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
knedb,People need to stop comparing...,9/10,21 November 2021,"Rate the show based on its own entity. Stop comparing to the anime series. It's a completely different take on the idea and so it doesn't make sense to compare. It makes the other reviews very misleading.Anyways, this show is awesome. It's one of the most entertaining series I've seen in awhile. The action is great. The comedy is great. A perfect blend. I highly recommend.
                
                    202 out of 354 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
Turanic,I'll take it,7/10,19 November 2021,"There are three types of people who will watch this show, but it will probably appeal to only two types...
Type one : you love space tv shows, they give you a possibility to see civilization in 500 years, you probably seen everything from Star Trek to LEXX and you are starving for a new space show...
Type two : you happen to be Cowboy Bebop fan by default...
Type three to whom this show might not appeal , people who were randomly looking what to watch in between their Breaking Bad /Brasic/ Peaky Blinders marathon..."
rogier-86785,"Sharp, bloody and witty film-noir scifi",7/10,20 November 2021,"Cowboy Bebop is a live adaptation of a popular anime featuring a group of space bounty hunters nicknamed 'cowboys' who roam the now-populated solar system a few centuries in the future. The tone of the series is light-hearted, featuring typical down-on-their-luck yet likeable main characters who stumble their way into victories against equally incompetent bad guys. It's basically all in good fun.It's universe is a combination of Americana influences from the '50's up to the '70's, Japanese mafia tropes and old-skool visceral science fiction, with a film noir-detective glue that holds it together. It consist of over-the-top but well designed set pieces with characters that find themselves in absurd situations, mostly created by their own antics. Fair warning, it can get pretty bloody at times between all the sarcasm, true to anime heritage.The music is excellent, especially the jazz pieces from all the greats that seem hand-picked to fit the scenes. It's general feel is reminiscent of comic books, with lots of different color schemes, shots from strange angels and short, witty comebacks that could've just as easily been dropped in captions. Blood doesn't drip, it flashes over the screen, that sort of thing.My main criticism are the predictable plot-lines, with one or two nice surprises. Also, not all the jokes land because the editing can be off beat, slowing down the comedic timing of the actors. On these review pages it has been compared to the original, well-loved anime, which I didn't do. Without the comparison, the end-result is a production that could have had a sharper finish, but that doesn't take away much from this futuristic noir-detective that got stuck in the seventies.Don't expect the world and you'll root for these cowboys."
dmerette,I'm enjoying this,9/10,20 November 2021,"I think its well done. Fun dialog. Music is great. Good acting. I'm really enjoying it and I'm not even a anime fan, so give it a try. I dont understand all the bad reviews.
                
                    75 out of 128 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
