User_name,Review title,Review Rating,Review date,Review_body
GomezAddams666,I wish I could rate it ZERO,01/10,25-Aug-17,"WARNING: THIS REVIEW CONTAINS SPOILERS!Netflix's Death Note - SPOILER Review.I believe a movie THIS bad deserves to be completely spoiled, if anything to be avoided like the plague.Director Adam Wingard has achieved the impossible, he has taken the title of ""Worst live-action manga adaptation"" away from Dragonball: Evolution. DBE doesn't even come close to the complete disregard of source material this horrendous movie is guilty of.Nat Wolff's Light Turner is nothing like Yagami Light from the manga. Light Turner is a bullied kid who starts his killing spree with a bully. Besides that he is a scarily child who is in way over his head with the book he's been bestowed upon so he reveals his secret to his High School crush, a cheerleader named Mia Sutton (Margaret Qualley), which we are supposed to believe that on the mere sight of the book becomes a raging psychopath that wants to kill everyone, and I mean everyone she feels like, and this was supposed to be the new version of Misa, right?All the intelligence, all the cold and calculating aspects that made Yagami charismatic are completely gone, instead of Death Note we get ""The Killer Diary of a Wimpy Kid.""But nothing compares to what's done to L. The famous detective who is also cold, incredibly intelligent, and astute, is horribly played by Keith Stanfield as a maniac, and frenzy detective vigilante of sorts. Too many times in the film he loses it and even comes close to murdering Light in cold blood, either by running him over with a car or by shooting him. That is something L would never do.The book has about 70 rules, and they are revealed when it is convenient to the plot. And not even Willem Dafoe's Ryuk can save this abomination, his character appears like 10 minutes of the film, and Ryuk is not a bored Shinigami anymore, in this version he is a sadistic god of death who enjoys seen people die.Adam Wingard is a complete hack, someone who either did not understand the manga, or thought of himself better and more capable to tell this story than the original writers. His movie is not even worthy to be called Death Note, it is barely worthy to be called a movie as it is an outright blasphemy to the manga and the anime. It is by far the worst live-action adaptation I have ever seen.I rate it 1 out of 10, simply because I cannot rate it lower on IMDb. I had to watch it hoping I was wrong, but I encourage you to stay away from this filth."
Platypuschow,Death Note: Where would I even begin?,02/10,25-Aug-17,"The original Death Note was a masterpiece, some of the legitimately smartest most well written television of all time so all these years later hearing it was getting the American treatment I was understandably concerned.Sadly my fears were confirmed, all of them. It's as if the creators were given a 30 second explanation of Death Note and based a movie on what they were told.The characters are simply nothing like the originals, the plot is a compacted mess, this simply isn't Death Note.Light has gone from an arrogant, smart, cool calm and collected person to a weak screaming baby.L has gone from a savant secretive quirky quiet child to an out in the open gun wielding threat spewing idiot.Misa has become Mia and no longer a ditsy blonde bimbo but now a devious manipulative brunette.The original plot? Forget about it, straight out the window and something that misses the point of the story altogether in to replace it.I could rant about what an embarrassment this is for ages, I think I could quite frankly write a book on how much of a slap in the face to the fans this is but I'll resist.But make no mistake, that's exactly what this is.The Good:Willem Defoe as RyukThe Bad:An offensive cluster crap to fans of the originalLight Turner........really!?Terrible representation of LightTerrible representation of LTerrible representation of Mia/MisaMisa becomes Mia.....really!?So........many..........changes to the rules of the Death Note!So........many..........changes to the plotThe soundtrack during the big wheel scene.......really!?"
Come-and-Review,A clumsy and thoughtless adaptation with a few highlights,03/10,25-Aug-17,"I'm often on the defending party for films. I notice that many reviewers seem to complain much about any movie is released. That was the case with Alien: covenant, for example. That movie was far superior to this one. Prior to the film, I watched in about three days the entire Death Note series. Because I really just got into it and don't plan on watching the anime again soon, I don't consider myself a fan (never watched animes before, by the way), but I reckon it was a very clever series. At times it had its cheesiness, but still worked pretty well. When the source material is well written, I don't think that departing from it is the right choice. The Martian proved that, for instance. Changching the plot should be always for the benefit of it, and not to overly simplify the story and to take out some of it core aspects.Death Note's film adaptation chose this second route. I have the feeling that they didn't understand at all what was the series about. The anime mostly focused on L and Light's intellectual fight, battles of tricks and making one and another be unsure about what his intentions are. Ryuk (who I thought would be a practical effect and not CGI, as instead it sadly proved to be) had more importance. Truth is, this movie had also a very low runtime in order to cover up the plot well, it might have needed an extra 40 minutes (so a 2h 30m film), but it would have needed an entirely different plot.Instead, when the movie finished, it turned out to be just a rushed sequence of events, most of which seemed incoherent if seen next to the anime, which was a very clever story. Ultimately, the film settles for a needless and overly bloody gore feast. The speed of this film is so fast paced that, by when I arrived to the 1 hour mark, I could not believe that we had forty minutes left. And I came to realise that nothing that happened felt relevant to the whole storyline. Death note should have been adapted in a slightly slower paced film, and had minimal gore (most of people died by heart attack). That wouldn't mean that it had to be necessarily a boring film, or a non-R rated one. The themes of moral ambiguity and killing powers make it anyways a very dark story to tell.The only positive note I could find in all of this is that sometimes both L and Light's actor delivered scenes which made me suggest that they where up to the roles, if the original anime was to be followed. L sometimes used the anime character's same line delivery, Light seemed capable of behaving as a bloodthirsty, dark and evil character. Sadly, the movie didn't allow the actors to perform their characters rightfully. Williem Dafoe's voice sounded exactly like the original Ryuk's. That said, Ryuk appeared for about 4 minutes, so there wasn't much there.Ultimately, this is the perfect example on how an adaptation of a good source material can simply suck. I recall only Eragon being such an unfaithful, unrightful and almost offensive adaptation to a very clever and deep story."
LaLaLandSucks,A movie that gets 98% everything wrong,02/10,25-Aug-17,"This movie was a mess. From a directional standpoint, to acting, to script writing, everything. The VFX is horrible in this movie. It's so low budget, you'd imagine it be a cheap TV show. Ryuk's forehead is too big and feels nonexistent within the mise-en-scene. Light Yagami is everything wrong, changed to a bullied kid to feel politically relevant and correct. He's just eccentric, over the top, and a creepy looking mofo. Mia is supposed to be Misa? She is changed to a typical short girl cheerleader who follows Light around. Also, why would anyone name their kid Light in America is beyond me. This movie was rushed. From the start, we already see the book falling down. There is no build up to this or tension, it just falls and it's one of the cheapest looking movie production props I have ever seen. The design is something you'd see from a fanmade film. Then, the title sequence. They got the colors right at first, but then they went with complete blue, when it should be red and a bit of purple. All of the dialogue is awkward and choppy. Terrible line deliveries from each actor, just overcooked and several mumbling moments. The deaths were immoral, stupid, and just goes to Final Destination B-movie horror territory. The writers they hired wrote Immortal, a terrible movie with Henry Cavill. So, it was doomed to suck to begin with. They hired Adam Wingard too who directed the overrated The Guest. He's just bad, they should stop hiring him. His camera tricks are cheap, choppy, and horrible to look at. Blair Witch was unwatchable, this one is almost too. Ugliest looking cinematography of the year, muddy, unsmooth, bad shot composition, and student film level. The music choice is pop/techno like music and it is all wrong. Death Note was Gothic, operatic, and heavy metal. The only thing they got right was Ryuk's voice.2/10."
TrundleTheGr8,An absolute disservice to the source material,01/10,25-Aug-17,"I don't even know where to begin with this, it is rare that an anime adaptation ever turns out to be good, so I didn't go into this movie with high expectations. Having seen the anime twice now I was completely underwhelmed and disappointed throughout the whole movie. The characters in this movie had little to no similarities to their originals. There's honestly way too many things for me to say about this that I simply just don't have the time to do so. I tried to watch this movie as it's own thing and not compare it to the original but that was basically impossible for me. If you're a fan of the anime and manga, honestly don't even watch this, it's not worth your time.
                
                    515 out of 719 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
BeyondEternity,Skip it and watch the original instead,02/10,25-Aug-17,"As a fan of the original Death Note anime I am very disappointed in this film. It was poorly acted, horribly paced, and the drama felt more edgy than composed. The characters personalities were completely changed to the point where I didn't see why they even bothered maintaining the original names and The events of the story were changed so drastically I forgot that I was watching Death Note. In the original anime both L and Light were very calm and rational in how they made each decision, creating a suspenseful psychological drama, but in the film both of them do things that were very out of character and essentially made no sense. Overall this felt very rushed and poorly directed, I wouldn't be surprised if the director had never even heard of the original anime before doing this film.
                
                    819 out of 1,009 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
AntonioCalcano,An insult to the original Death Note (Desu Nōto),01/10,25-Aug-17,"I have never felt compelled to write any reviews but I felt that I needed to say something for this movie.I normally like Netflix TV shows but movies lately have been really sub- par with this one being the worst I've seen from them.This is a total waste of time and this movie should have never been made, it's an insult to the original Death Note (Desu Nōto). The plot was totally ruined since it was changed from the original, yeah they kept the premise but they decided it was a good idea to mix it up with stupid teen drama/relationship and a bunch of other nonsensical BS.Go watch Desu Nōto instead if you haven't or if you have then watch it again!
                
                    721 out of 935 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
TheLittleSongbird,Death to potential,03/10,01-Nov-18,"As others have said, the source material is amazing, full of depth, cleverly intricate with complex themes and characters that feel real. So there were glimmers of hope that the film adaptation would be halfway decent on its own, despite a lot of people hating it. Really did want to like it and be one of those people to go against the general consensus, which has happened quite a few times before (though have found myself agreeing with critics more and more these days, seemingly a sacrilegious thing to say these days with so much over-the-top hate for them).Sadly, 'Death Note' is yet another film that sees me agreeing with the general consensus and what they have said about it. Not much for me to add. It is not just that it is an abortion of an adaptation, that is the complete opposite of every element of the source material and completely forgot in translation what made it so great. Would go as far to say that it didn't seem to even understand it or what it was about. Having said that, have always believed in judging an adaptation on its own terms, there have been numerous instances of a film or TV series to be not so good as adaptations but good to classic on their own. 'Death Note' manages to be a failure on its own.Does 'Death Note' have good things? Not many but they are there. There are some creative visuals and touches, this is not a cheap-looking film on the most part by all means and often quite striking. The (incidental) music is suitably moody.There is also Willem Dafoe who brings menace and gravitas to Ryuk (although the character is nowhere near sadistic enough and that is the fault of the writers not Dafoe, who was giving his all to what he was given), managing to make a memorable impression despite far too little screen time. His performance comes off best of the cast and the only good one.Found the rest of the acting however to be bland and forced, nobody gets deep into their characters and most don't even seem to understand them. The characters have lost their complexity and substance, they are all stereotypical clichés with no substance or even worse distorted beyond recognition. Complete with far too much emphasis on teen drama that was not really needed and was really not well written (cheesy, shallow and predictable). With more of a psychological drama focus there would have been far more depth and atmosphere and the characters would have been far more interesting.Early on and sadly throughout, suspense and mystery are lacking and as said the characters are bland and often behave irrationally and out of character to an irritating degree. The dialogue is very stilted and the direction lacking control or tautness, didn't get the sense they were at ease or even they wanted to do it. The editing tended to be nauseating, but it's the story treatment that's most disappointing. It's not just the lack of suspense and surprises, it also feels dumbed down and too tame, anything that made one shocked or biting nails were treated with indifference, and events are far too rushed to the point that parts are incoherent. With nothing to the story or characters, the 'Death Note' manages to also be dull due to not being invested in it.Overall, a few saving graces but a mess on the whole. 3/10 Bethany Cox"
sebastian-g-brewer,Absolute garbage and typical Hollywood adaptation,01/10,25-Aug-17,"First time ever writing a review here. Had to do it now because I don't want people like me who enjoyed the original anime/manga to waste their time on this movie. Firstly i didn't know this was a movie until it was released on Netflix. I'm not going into detail, but there is a reason its a long manga/anime and not a movie.Anyway, the protagonist isn't interesting, L is not interesting and the plot is garbage. They took all the good thing from the original and butchered it and made another bad American adaptation.Everyone involved in this movie should be ashamed.Save yourself the misery and never watch this.
                
                    543 out of 728 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
ramoncarrasquel,The only thing that shares with the source material is the title,01/10,26-Aug-17,"Warning: long review ahead, I don't usually do this but this time I wanted to express myselfI understand that adaptations have to change some things from the source material in order to work in a full length feature film. However most of the changes in Death Note 2017 were so drastic and so unnecessary that it feels like I'm watching another movie, it removes everything that made the original great and instead replaces it with American clichés and tropes that nobody asked for.The biggest change was in the characters, especially with the main character Light Yagami, or in this case Light Turner. The original Light was a character with a sense of morality that he thought he was always doing the right thing, in order to create a New World with no crime and then claim himself as the God of this New World in which he would judge every person if they deserved to die or not. He was a prodigy, the smartest kid in his class, he made always the best decisions in order to execute his plans, he was always decided and he eliminated everyone who got in his way, he was basically perfect, and that what makes him an interesting character, not only that, but also when he showed us he was a complete psychopath and a total maniac.Netflix Light on the other hand is the exact opposite, he was a normal teenager with no charisma, who always questions himself, always makes dumb decisions, and was really unlikable, he pretty much sucked as a protagonist, and was pretty annoying.Doesn't help that the guy playing him did a terrible performance, I have nothing against Nate Wolff, but he pretty much sucked in this movie.You could argue that the change was made for a more ""realistic"" take on Death Note, but doesn't matter in the end because the guy they went with was pretty much unbearable to watch, also I want to ask you a question, what would you rather watch, a show about a smart guy killing criminals while being chased by the best detective in the world or a 1 hour movie with a dumb teenager who doesn't know how to use the Death Note?Speaking of L, I think his character was really weird in this movie, at first he kinda resembled the original L, with his quirks and the way he talks, but halfway trough the movie he completely changes after Watari is gone, he start to act like a complete different character that the movie already setup.Ryuk was kinda OK I guess, Willem Dafoe was great but the way the character was written makes him look pretty different, when in the original he was pretty much the viewer who only saw Light's actions to entertain himself, while in here he pretty much manipulates Light to use the Death Note in the first place.Mia was probably the worst character in the film (besides Light), and it's not because she was completely different from Misa (since I never really liked Misa) but it's because she is basically Kira, when in reality Light should be Kira, she was the one who manipulated Light trough out the whole movie, and she was pretty much the one who did Kira's actions. Not only that she wasn't really likable either, she's pretty much your typical bad-ass female character, that doesn't obey the rules and does pretty much what she wants. The rest of the cast is pretty forgettable.The story was awful, it was pretty much a mess from start to finish, Light gets the notebook an doesn't know how to use it properly, so he shows it to the girl that he likes for some reason, he later to starts killing criminals just because his mother was killed by one, and then L shows up, and doesn't do too much on the investigation, so when he came to the conclusion that Light was Kira it felt rushed and made no sense.The romance in this movie was pretty much what ruined it for me, why would you add romance to Death Note? this is a psychological thriller, not a stupid teenage movie.The climax of this movie also felt pretty rushed and was executed so bad, that it pretty much can confuse anyone, the last minutes of the film were the only thing that kinda resembled Death Note and the story ends with a cliffhanger so that we could get a sequel.The pacing was atrocious, since they tried to include so much in so little time, and the editing was terrible too, with it's constant use of slow-motion for absolutely no reason, and the music selection was awfulThe only thing that could have saved this movie was if it focused on the cat and mouse game between Light and L, since that what made the original interesting in the first place, but instead we focus on a shitty romance sub-plot and cringe dialogue.Even as it's own thing it is still pretty bad, if you haven't seen the anime or read the manga, and you go to see this movie with no expectations, you still gonna be disappointed, since it has terrible characters, plot, editing, and dialogueTL;DR: This movie was a mess, it fails both as an adaptation and as it's own thing, with terrible characters, badly written dialogue, bad acting, horror movie clichés, and a overall a lack of misunderstanding of what a makes a good film in the first place.I would recommend reading the manga or watch the anime since they are so much better than this."
