User_name,Review title,Review Rating,Review date,Review_body
educallejero,"Insulting as a Dragon Ball fan, as a movies fan, and probably as human(?)",1/10,16 August 2018,"As a Dragon Ball fan this was clearly not anything even similar.As a movie fan, this was atrocious.Its hard to understand what kind of drugs all the people involved were in
                
                    53 out of 57 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
TheLittleSongbird,A contender for the worst live-action film for an animated TV series,1/10,9 March 2011,"As bad as Inspector Gadget and The Last Airbender are, they look like masterpieces compared to Dragonball Evolution. The TV series was very, very good, the movie was half-baked and bland. The only good thing was James Marsters, while he mayn't look exactly like Piccolo he at least tries to capture the essence of the character. Just a shame he isn't in enough of the movie to elevate it even more.Why do I say that Dragonball Evolution is a contender for the worst live-action film for an animated TV series? The scenery and costumes are nice to look at, but the cinematography does nothing for me, the editing is shoddy and the lighting is dull. The special effects don't impress either, they do distract rather than enhance and it doesn't help that some of them are half-baked.The film is also too rushed, and in all honesty I was left bored by the end, nothing really interesting in my view happens. The story is juvenile and predictable, the dialogue is terrible either being cheesy or due to the delivery very rarely ringing true and the direction is bland. The acting is nothing to smile about, Goku and Yamuka especially are complete disasters and show a complete lack of acting ability. Not only that, the characters here are treated in the most banal way possible and are difficult to like as a result.Overall, a very poor movie. 1/10 Bethany Cox"
DICK STEEL,A Nutshell Review: Dragonball Evolution,3/10,12 March 2009,"Hollywood plundering Japanese pop culture isn't something new. From ""Americanizing"" television series for the kids from Power Rangers to Ultraman, and adapting famed characters from Japanese film, games and manga to frequent disastrous effect, it still wouldn't stop the studios from going after one property after another. This time round it's the long running Dragonball series, because the assumption is that the built-in fan base would translate to instant dollars at the box office. Not.You have to give the filmmakers a little bit of credit though, being either foolhardy, or just plain ballsy. It's a given that they cannot condense and distill the rich content into a surprisingly less than 90 minute movie, and live in the hopes of producing a sequel, or to generate a franchise (i.e. don't leave the cinema hall when the end credits start to roll). But what they successfully do, is to super-summarize the entire mythos by throwing out everything except the main gist of the entire manga, making it extremely simplistic in poor lazy-man standards in adaptation.For the uninitiated, the film would serve as a quick launchpad to the original manga. For those with a wee bit of knowledge of what it's about (like myself), the film just treads along the same lines and doesn't offer you new information. For the fanboys, I guess you'll only get some kicks at seeing some of your favorite characters come alive, only that they look more Caucasian, and have a head full of hair when they're not supposed to (someone forgot to insist that in the contract?) That's all you're gonna get. Period.As far as film-making and story-telling techniques go, you can see cliché after cliché being thrown at you, with the poorly and cheaply rendered special effects offering no consolation. Justin Chatwin's Goku is your typical teenager who possesses innate potential yet to be realized, and in his frustration he gets treated by peers as a loser geek. He lives with his grandpa Gohan (Randall Duk Kim in stereotypical know-it-all like in Kung Pu Panda), and develops a crush on school hottie Chi Chi (Jamie Chung). Goku's calling in life is to prevent an apocalypse from happening with the return of chief cardboard baddie Lord Piccolo (an instant shoo-in as one of the worst cinematic villains, ever!) and his temporary sidekick Mai (Eriko Tamura) who attempt to collect 7 dragonballs to fulfill an ancient myth. And of course Goku needs a Fellowship, in the form of irritating tech-wizard Bulma (Emmy Rossum last seen in the sinker Poseidon), mercenary Yum Cha (Joon Park who probably copied Rain's uninspiring cinematic turn in Speed Racer to a T) and Chow Yun-Fat the biggest name of them all here trying his darnest best to act cute as Master Roshi, who imparts skills in double quick time to Goku.Speaking of time, or the lack thereof, everything is compressed. From two weeks to two days and the day of the blood moon shielding the yellow sun (OK so I made that up), everything moves at so fast a pace, that all you get are cheesy lines of dialog, and an excuse to paste some action sequences together. And James Wong certainly can't direct action (despite being at the helm of Jet Li's The One, which was of course bland and bad), opting to pay homage to Zack Snyder's slow-mo technique, and midway changing the style to having the camera being too close to the action, in the dark, coupled with quick MTV cuts that you don't get to see a thing.And the rush job just doesn't stop at the narrative or the action. Special effects wise, they look really cheap, and I wonder whether Producer Stephen Chow would roll his eyes at what would be extremely pale when put side by side with his Kung Fu Hustle done many years ago. Ayumi Hamasaki's contribution of the theme song Rule sounded really bad as well (I may get flak from her fans), and I guess having some Asian participation doesn't legitimize what is essentially a poorly done movie. Not even Chow Yun-Fat's star status could save this, and you wonder what figured when this is the movie that he gave up Red Cliff for.This is basically a movie that only children below the age of 5 will enjoy tremendously, despite having to see 6 half-balls, contributed courtesy of the 3 lead female characters, being continuously flashed on screen, thanks to some neck plunging wardrobe (where's that malfunction when you need one?) Totally bland and really uninteresting, I would suggest sticking to the manga instead."
robin_dhanju-1,A beyond Sub-par interpretation of Dragon Ball onto the big screens.,1/10,24 March 2009,"This is a total butchering of what I had held great hopes of seeing. The movies attempts to follow the dragon ball story line, meanwhile adding a ""modern"" spin on it (ie. chi chi's castle, and Master Roshi lives in a regular semi whats up with that?). What the viewers want to see is a storyline that follows the cartoon series without any changes, and additions. Overall, the plot is weak, the characters do not look like the cartoons (ie. Yamcha, Master Roshi), the 2D cartoon series had better special effects than the movie (and the series had NO special effects, thats how terrible it was). I created an IMDb account JUST to comment on how they butchered Dragonball for me and I hope that Hollywood is smarter next time as to when they bring such a strong fan based series onto the big screens or they will only infuriate more of the audience.
                
                    380 out of 462 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink"
Rectangular_businessman,Even those who aren't fans of the original cartoon will hate this.,1/10,10 July 2010,"""Dragonball Evolution"" must be one of the most pathetic movies ever made. I wasn't expecting this to be like the anime series, I only was expecting this to be remotely good and yet even on this it fails miserably. ""Dragonball Evolution"" combines a lot of predictable clichés and stereotypes from every single fantasy movie from the recent years with terrible performances and horrible, really horrible special effects. No only none of the characters were remotely likable (If the idea was to attract a new audience changing the personality of the characters of the anime show, it fails mostly because this new vision of these ""original"" characters is based on the most uninspiring and bland kind of stereotypes) ""Dragonball Evolution"" is the perfect example of everything what is wrong with live action adaptations of cartoons: Neither the story or the characters have at least a slight resemblance to the source material, the visual effects are extremely poor, the script is incredibly stupid and childish. And the worst part is that not even remotely entertaining to watch, being one of the most boring, generic-looking movies I've seen in my entire life.""Dragonball Evolution"" is like a combination of the Power Rangers and High School Musical. It sucks. If you like the anime series ""Dragonball"", avoid this. And if you don't I still recommend you to avoid this horrible film because is boring, dumb and poorly made.0/10 (And I would rate with a negative score if I could)"
Meven_Stoffat,"So bad it's... well... bad, really",1/10,19 March 2009,"As you may or may not already know, Dragonball Evolution is officially leaked online. Directed by James Wong, the film was released a month early in Asia, and even watching the leaked version is even a waste of time. I watched the leaked version and even then I wanted my money back.So pretty much we see Goku on his 18th birthday, and he gets the dragonball. At school, he fantasizes about Chi Chi eating strawberries in science class (WTF???), opens every locker with his powers, and a whole bunch of other crap. At Chi Chi's party, he fights with these random guys and gets in, when Piccolo, who looks like a potato, destroys Goku's house and kills his Grandfather, and this leads Goku on some quest to get all 7 dragonballs.This movie is a pure suck-fest from beginning to end. Watch as Goku fantasizes about Chi Chi eating strawberries! Gawk at the lame performances from such lame stars as Justin Chatwin (who is ESPECIALLY bad), Chow-Yun Fat, and others! Laugh out loud at the bad dialog! Cringe at the cringe-inducing special effects! Watch as the writers get characters wrong! Or don't. Just spare yourself really.Apparently the official American version has 22 extra minutes of footage. But at this point I don't care, because this movie is already enough torture. What are the going to add? A Bulma/Goku sex scene? A scene where Goku masturbates with that Chi Chi fantasy in his head? A scene where Piccolo turns into a woman and gives birth to a ninja turtle??? A whole subplot involving Piccolo and a sex change operation? With that said, please don't watch this movie. If you have to so desperately watch it, just watch the bootleg version."
Ali_John_Catterall,A load of old Dragonballs,1/10,7 April 2009,"It must be a real drag being a Jungian archetype. Aside from the inconvenience of possessing a thousand faces, imagine minding your own business, practicing judo with some wise and wily sage, when you're suddenly handed a magic sword or glowing swishy stick or cosmic catapult and tipped headlong into some damn-fool quest to go and rescue a princess and kill your dad - no, hang on, wrong shrink - or confront some Dark Lord (who may actually turn out to be your dad, bummer), while also confronting the darkness within your own soul (look harder, not using the recycling bin doesn't count). And the real bore of it all is, the thing that makes you want to stick your arms in a mincer, is that you know exactly what's going to happen next, which charming rogue you're going to meet on the road, which cuckolding temptress you're going to wind up married to for the next 100 years, and precisely which one of your battle-hungry, blood-crazed stepsons is going to do you in with a pillow when you're no longer fit to preside over a model railway set.The story is old, but it goes on. And it's always a pleasure when it's well told. But when plots and characters are as insultingly stock as they are in Dragonball Evolution, you start fervently praying for a bit of Jodorowsky-style subversion, possibly involving the heroine, the Dark Lord, a sackful of syringes and a malnourished donkey called Carlos. This resembles a fever dream you might have had after slipping into an E-number-aggravated blood sugar crash while watching The Star Wars Trilogy. Dragonball Evolution is so derivative, such a bare-faced rip-off of George Lucas' pension, that it actually seems completely pointless to pick holes in it. You might as well just attack the originals for their myriad faults and get two birds with one stone.""In an ancient time, Earth was nearly destroyed"" begins the ponderous voice-over.""Not by man, but by Gods from the sky..."" Most dramas smuggle their exposition in via the dialogue. This one just ram raids it out of the store. For what it's worth, the story involves a young hero called Goku, played by the Westerner Justin Chatwin (slightly creepily playing an 18 year-old at age 26) who embarks on a quest for the titular world-saving Dragon Balls after his martial artist grandpa Gohan is killed off by the evil Lord Piccolo (Marsters, resembling an over-sized Jawa with food poisoning). Will Goku manage to harness the powerful force called Ki and confront his own werewolf side? Find Master Roshi - who trained grandpa in turn? Defeat Piccolo - probably the only villain named after a small flute? And win the love of ass-kicking classmate Chi Chi? Seriously?There's probably a point to be made about the eternal exchange of cultural currency; Japan wresting back characters and plot lines from Lucas, then flogging them to the West again; Eastern aesthetics filtered through American sensibilities. But frankly, that's just the way the world works. The good news is this is only 84 minutes long. And if they knocked another 80 minutes off, it would be just about perfect."
classiccase-1,Even the 7 Dragonballs Can't Save This Movie,2/10,20 March 2009,"For manga and anime fans around the world, the story of Dragonball has to be at the top, or at least in the top 3 of their most beloved manga/anime stories ever written. There is already an existing live action Dragonball movie called Dragonball: The Magic Begins (http://www.imdb.com/title/tt0122050/) made in Taiwan back in 1989. That movie tried really hard to stay as close as possible to the original story of Dragonball as written by Akira Toriyama, but it ended up being more of a comedy. The entire story also only went up to the Pilaf storyline, which was way before the first Piccolo appearance. This movie, although aged and not exactly a direct interpretation of the Dragonball story, was still appreciated by most fans due to the comedic entertainment value.Now, another live action Dragonball movie has come, called Dragonball: Evolution. When the first few pictures of this movie appeared on the internet, a lot of the fans already predicted that the movie would turn out horrible because the characters don't look like themselves. The characters were heavily changed and westernized too much, especially Piccolo, the main villain, who didn't look like the one from the manga and anime. Fast forward to a few weeks before the latest Dragonball movie was released, a trailer was leaked on the internet. That trailer spelled the certain doom of the movie to the fans of the show. Most of the comments described the movie as ""Not Dragonball, but another action movie"".This writer was fortunate enough to be invited to a private screening of the movie, and boy was I surprised! I was already expecting the movie to be bad and not a ""real"" Dragonball, but what I witnessed was something much more horrible! Granted that the movie was really different, but the way the movie progressed, the introduction of characters, the fight scenes, oh wow, you'd think it was a movie created by elementary kids who had no idea what Dragonball was about, except for the ""Kamehameha"" move and the 7 dragon balls, just with the financial backing of a millionaire. Everything seemed rushed in the movie and characters would just pop out of nowhere and decide to join together to beat Piccolo. The love angle in the story seemed forced as well, everybody was simply out of character. Goku's a powerful but lame school boy, Chi Chi's a martial art school girl who can't even open her own locker, Master Roshi's some crazy dude living in the city (at least he still wears a Hawaiian shirt and seems a little perverted), Bulma became Lara Croft and Rambo combined in another body with a bizarre voice, Mai (originally one of Pilaf's hilarious henchmen in the manga) became a cold blooded, shape-shifting killer, Yamcha became a weird cross between a desert bandit who can't fight and a hobo with unwashed hair, and Piccolo became a weird vampire whose outfit seems to be inspired by the Matrix. I think only Grandpa Gohan was close enough to the original character, except for the way he exits the movie early on.The fight scenes were lame. Dragonball was about epic sized battles that could not be contained in one location. Characters would get punched through mountains, cities would be destroyed, the earth would rumble and split up due to the massive forces of the fighters. In this movie, everything seemed so lame. Even the Kamehameha attack was used to light some candles! Talk about total weakening!The only ""good"" things about the movie were the special effects, although the energy blasts seemed very weak.My advise is, if you're going to pay to watch this movie, DON'T DO IT. Listen to what almost everybody has been saying because they're right, the movie is worse than what you currently have in mind!"
ashtree80,:*(,1/10,29 December 2009,"Yes, as soon as I heard about this movie, I was convinced it would be horrible. I avoided it like the plague. Finally, I wanted to test ""just how awful is awful?"".Upon watching the first 45 seconds of this, I am convinced that it is likely to be the worst ""movie"" I have ever seen. Next time I want to play the ""how awful is awful?"" game, somebody please stop me. Somebody have mercy and take my life before I make anymore poor life decisions of this magnitude."
GirishGowda,Stomped All Over My Childhood Hero & Fantasies..!!,1/10,30 March 2010,"Dragonball Evolution was one of the films which I was terribly excited about. Goku had been one of my heroes all through my childhood. I used to hog the TV whenever it came and didn't even leave the TV for my parents to watch their favourite shows.Goku is humanity personified. He was never a boy who would go after the girl, rather he would go after the bad guys without a damn care in the world for his own safety. He was the reason why I stood up to the bullies in school and never backed down even when I would get beaten up by 4 guys at once. I always thought in my mind that if Goku could be honest, innocent and proud of his actions, so would I be. That was until my 17th year. Then the need to fit in and be cool with my peers when in college took over and all the ideals I had crashed down one by one. But, now I think back, just 4 years down the line, I am more proud of who I was rather than who I am now. That says a great deal about DRAGONBALL - the cartoon. It always stressed about the importance of love in friendships and not exclusively about love with the opposite sex. Of course, there was Master Roshi, the pervert, but it never played a part in how I grew up or how Goku developed. So, to see all my beliefs and ideals get destroyed in the film EVOLUTION, I was heart-broken. I literally wanted to strangle every damn person involved in this film (except for Emmy Rossum. She can do no wrong). The special effects are a joke. Seriously who would spend $100 million on this worthless piece of junk? I'm only glad that I didn't pay for this when it released. It was my friend's treat last year. I recently joined IMDb and had to write a review for this horrible movie.Goku never had teenage angst or crushes. It was fate that he got married to Chi Chi. I've said enough about Goku, there are his best friends Bulma and Krillin as well. In the movie (can I even call this 80 minute headache a movie??!!), Krillin wasn't even there and Bulma was the only one who got close to the actual character. Of course, in the anime also she falls for Yamcha immediately, but in the film, Yamcha's character was dumb. Chi Chi was a joke. Literal translation of Chi Chi is milk or breasts. The whole film looked like it was aimed at kids below the age of 15 and the people more than that age who have not matured past staring at the different breasts at display here. Goku's fantasy of Chi Chi eating a strawberry looked like a sex fantasy. It was disgusting. The story and some characters aren't even in the 400 episode long saga, which is divided into 3 sub-parts..!! The Kamehameha blast was ridiculous. It stomped on my childhood hero and fantasies. I wish they would re-do the whole thing. This is a hateful, irritable movie. Why couldn't they make this like the Batman, Ironman, The Hulk or Spiderman?!! This deserves -100 on 10.. But what to do IMDb doesn't let us give less than 1. So, a 1 on 10 for the actors. They couldn't do much with the terrible script here.1/10"
